match,away_team,home_team,player_name,line,over_price,under_price,market_name,agency,player_team,opposition_team
Brooklyn Nets v Oklahoma City Thunder,Oklahoma City Thunder,Brooklyn Nets,Ajay Mitchell,2.5,1.31,NA,Player Assists,Bet365,Oklahoma City Thunder,Brooklyn Nets
Brooklyn Nets v Oklahoma City Thunder,Oklahoma City Thunder,Brooklyn Nets,Ajay Mitchell,3.5,1.76,2.02,Player Assists,Bet365,Oklahoma City Thunder,Brooklyn Nets
Brooklyn Nets v Oklahoma City Thunder,Oklahoma City Thunder,Brooklyn Nets,Ajay Mitchell,4.5,2.6,NA,Player Assists,Bet365,Oklahoma City Thunder,Brooklyn Nets
Brooklyn Nets v Oklahoma City Thunder,Oklahoma City Thunder,Brooklyn Nets,Ajay Mitchell,6.5,7.5,NA,Player Assists,Bet365,Oklahoma City Thunder,Brooklyn Nets
Brooklyn Nets v Oklahoma City Thunder,Oklahoma City Thunder,Brooklyn Nets,Ajay Mitchell,9.5,29,NA,Player Assists,Bet365,Oklahoma City Thunder,Brooklyn Nets
Brooklyn Nets v Oklahoma City Thunder,Oklahoma City Thunder,Brooklyn Nets,Cason Wallace,2.5,1.62,2.25,Player Assists,Bet365,Oklahoma City Thunder,Brooklyn Nets
Brooklyn Nets v Oklahoma City Thunder,Oklahoma City Thunder,Brooklyn Nets,Cason Wallace,2.5,1.62,NA,Player Assists,Bet365,Oklahoma City Thunder,Brooklyn Nets
Brooklyn Nets v Oklahoma City Thunder,Oklahoma City Thunder,Brooklyn Nets,Cason Wallace,4.5,4.2,NA,Player Assists,Bet365,Oklahoma City Thunder,Brooklyn Nets
Brooklyn Nets v Oklahoma City Thunder,Oklahoma City Thunder,Brooklyn Nets,Cason Wallace,6.5,12,NA,Player Assists,Bet365,Oklahoma City Thunder,Brooklyn Nets
Brooklyn Nets v Oklahoma City Thunder,Oklahoma City Thunder,Brooklyn Nets,Cason Wallace,9.5,36,NA,Player Assists,Bet365,Oklahoma City Thunder,Brooklyn Nets
Brooklyn Nets v Oklahoma City Thunder,Oklahoma City Thunder,Brooklyn Nets,Chet Holmgren,1.5,1.95,1.83,Player Assists,Bet365,Oklahoma City Thunder,Brooklyn Nets
Brooklyn Nets v Oklahoma City Thunder,Oklahoma City Thunder,Brooklyn Nets,Danny Wolf,2.5,2,1.8,Player Assists,Bet365,Brooklyn Nets,Oklahoma City Thunder
Brooklyn Nets v Oklahoma City Thunder,Oklahoma City Thunder,Brooklyn Nets,Danny Wolf,2.5,2,NA,Player Assists,Bet365,Brooklyn Nets,Oklahoma City Thunder
Brooklyn Nets v Oklahoma City Thunder,Oklahoma City Thunder,Brooklyn Nets,Danny Wolf,4.5,6,NA,Player Assists,Bet365,Brooklyn Nets,Oklahoma City Thunder
Brooklyn Nets v Oklahoma City Thunder,Oklahoma City Thunder,Brooklyn Nets,Danny Wolf,6.5,17,NA,Player Assists,Bet365,Brooklyn Nets,Oklahoma City Thunder
Brooklyn Nets v Oklahoma City Thunder,Oklahoma City Thunder,Brooklyn Nets,Drake Powell,1.5,2.22,1.64,Player Assists,Bet365,Brooklyn Nets,Oklahoma City Thunder
Brooklyn Nets v Oklahoma City Thunder,Oklahoma City Thunder,Brooklyn Nets,Drake Powell,2.5,4.5,NA,Player Assists,Bet365,Brooklyn Nets,Oklahoma City Thunder
Brooklyn Nets v Oklahoma City Thunder,Oklahoma City Thunder,Brooklyn Nets,Drake Powell,4.5,18,NA,Player Assists,Bet365,Brooklyn Nets,Oklahoma City Thunder
Brooklyn Nets v Oklahoma City Thunder,Oklahoma City Thunder,Brooklyn Nets,Drake Powell,6.5,36,NA,Player Assists,Bet365,Brooklyn Nets,Oklahoma City Thunder
Brooklyn Nets v Oklahoma City Thunder,Oklahoma City Thunder,Brooklyn Nets,Isaiah Joe,1.5,2.25,1.62,Player Assists,Bet365,Oklahoma City Thunder,Brooklyn Nets
Brooklyn Nets v Oklahoma City Thunder,Oklahoma City Thunder,Brooklyn Nets,Isaiah Joe,2.5,4.75,NA,Player Assists,Bet365,Oklahoma City Thunder,Brooklyn Nets
Brooklyn Nets v Oklahoma City Thunder,Oklahoma City Thunder,Brooklyn Nets,Isaiah Joe,4.5,19,NA,Player Assists,Bet365,Oklahoma City Thunder,Brooklyn Nets
