match,away_team,home_team,player_name,line,over_price,under_price,market_name,agency,player_team,opposition_team
Houston Rockets v Cleveland Cavaliers,Cleveland Cavaliers,Houston Rockets,Jarrett Allen,0.5,1.42,2.75,Player Blocks,Bet365,Cleveland Cavaliers,Houston Rockets
Houston Rockets v Cleveland Cavaliers,Cleveland Cavaliers,Houston Rockets,Lonzo Ball,0.5,5,1.15,Player Blocks,Bet365,Cleveland Cavaliers,Houston Rockets
Houston Rockets v Cleveland Cavaliers,Cleveland Cavaliers,Houston Rockets,Darius Garland,0.5,7,1.09,Player Blocks,Bet365,Cleveland Cavaliers,Houston Rockets
Houston Rockets v Cleveland Cavaliers,Cleveland Cavaliers,Houston Rockets,De'Andre Hunter,0.5,5,1.15,Player Blocks,Bet365,Cleveland Cavaliers,Houston Rockets
Houston Rockets v Cleveland Cavaliers,Cleveland Cavaliers,Houston Rockets,Sam Merrill,0.5,4,1.22,Player Blocks,Bet365,Cleveland Cavaliers,Houston Rockets
Houston Rockets v Cleveland Cavaliers,Cleveland Cavaliers,Houston Rockets,Donovan Mitchell,0.5,3.75,1.25,Player Blocks,Bet365,Cleveland Cavaliers,Houston Rockets
Houston Rockets v Cleveland Cavaliers,Cleveland Cavaliers,Houston Rockets,Evan Mobley,1.5,2.8,1.41,Player Blocks,Bet365,Cleveland Cavaliers,Houston Rockets
Houston Rockets v Cleveland Cavaliers,Cleveland Cavaliers,Houston Rockets,Jaylon Tyson,0.5,3.1,1.33,Player Blocks,Bet365,Cleveland Cavaliers,Houston Rockets
Houston Rockets v Cleveland Cavaliers,Cleveland Cavaliers,Houston Rockets,Dean Wade,0.5,2.65,1.44,Player Blocks,Bet365,Cleveland Cavaliers,Houston Rockets
Houston Rockets v Cleveland Cavaliers,Cleveland Cavaliers,Houston Rockets,Steven Adams,0.5,1.9,1.83,Player Blocks,Bet365,Houston Rockets,Cleveland Cavaliers
Houston Rockets v Cleveland Cavaliers,Cleveland Cavaliers,Houston Rockets,Kevin Durant,0.5,1.58,2.3,Player Blocks,Bet365,Houston Rockets,Cleveland Cavaliers
Houston Rockets v Cleveland Cavaliers,Cleveland Cavaliers,Houston Rockets,Tari Eason,0.5,1.66,2.1,Player Blocks,Bet365,Houston Rockets,Cleveland Cavaliers
Houston Rockets v Cleveland Cavaliers,Cleveland Cavaliers,Houston Rockets,Reed Sheppard,0.5,2.32,1.57,Player Blocks,Bet365,Houston Rockets,Cleveland Cavaliers
Houston Rockets v Cleveland Cavaliers,Cleveland Cavaliers,Houston Rockets,Jabari Smith Jr.,0.5,1.83,1.9,Player Blocks,Bet365,Houston Rockets,Cleveland Cavaliers
Houston Rockets v Cleveland Cavaliers,Cleveland Cavaliers,Houston Rockets,Amen Thompson,0.5,2.4,1.52,Player Blocks,Bet365,Houston Rockets,Cleveland Cavaliers
Miami Heat v Indiana Pacers,Indiana Pacers,Miami Heat,Jay Huff,2.5,2.1,1.66,Player Blocks,Bet365,Indiana Pacers,Miami Heat
Miami Heat v Indiana Pacers,Indiana Pacers,Miami Heat,Bennedict Mathurin,0.5,3.4,1.29,Player Blocks,Bet365,Indiana Pacers,Miami Heat
Miami Heat v Indiana Pacers,Indiana Pacers,Miami Heat,Andrew Nembhard,0.5,5,1.15,Player Blocks,Bet365,Indiana Pacers,Miami Heat
Miami Heat v Indiana Pacers,Indiana Pacers,Miami Heat,Aaron Nesmith,0.5,3.3,1.3,Player Blocks,Bet365,Indiana Pacers,Miami Heat
Miami Heat v Indiana Pacers,Indiana Pacers,Miami Heat,Pascal Siakam,0.5,2.9,1.38,Player Blocks,Bet365,Indiana Pacers,Miami Heat
Miami Heat v Indiana Pacers,Indiana Pacers,Miami Heat,Jarace Walker,0.5,3.15,1.32,Player Blocks,Bet365,Indiana Pacers,Miami Heat
Miami Heat v Indiana Pacers,Indiana Pacers,Miami Heat,Kasparas Jakucionis,0.5,4.5,1.18,Player Blocks,Bet365,NA,NA
Miami Heat v Indiana Pacers,Indiana Pacers,Miami Heat,Jaime Jaquez Jr.,0.5,3.7,1.26,Player Blocks,Bet365,Miami Heat,Indiana Pacers
Miami Heat v Indiana Pacers,Indiana Pacers,Miami Heat,Nikola Jovi<c4><87>,0.5,3.1,1.33,Player Blocks,Bet365,NA,NA
Miami Heat v Indiana Pacers,Indiana Pacers,Miami Heat,Pelle Larsson,0.5,3.9,1.23,Player Blocks,Bet365,Miami Heat,Indiana Pacers
Miami Heat v Indiana Pacers,Indiana Pacers,Miami Heat,Davion Mitchell,0.5,6.5,1.1,Player Blocks,Bet365,Miami Heat,Indiana Pacers
Miami Heat v Indiana Pacers,Indiana Pacers,Miami Heat,Norman Powell,0.5,3.75,1.25,Player Blocks,Bet365,Miami Heat,Indiana Pacers
Miami Heat v Indiana Pacers,Indiana Pacers,Miami Heat,Dru Smith,0.5,3.5,1.28,Player Blocks,Bet365,Miami Heat,Indiana Pacers
Miami Heat v Indiana Pacers,Indiana Pacers,Miami Heat,Kel'el Ware,1.5,2.35,1.55,Player Blocks,Bet365,Miami Heat,Indiana Pacers
Miami Heat v Indiana Pacers,Indiana Pacers,Miami Heat,Andrew Wiggins,0.5,1.64,2.15,Player Blocks,Bet365,Miami Heat,Indiana Pacers
