match,away_team,home_team,player_name,line,over_price,under_price,market_name,agency,player_team,opposition_team
Minnesota Timberwolves v Cleveland Cavaliers,Cleveland Cavaliers,Minnesota Timberwolves,Rudy Gobert,0.5,2.1,1.71,Player Double Double,Bet365,Minnesota Timberwolves,Cleveland Cavaliers
Minnesota Timberwolves v Cleveland Cavaliers,Cleveland Cavaliers,Minnesota Timberwolves,Evan Mobley,0.5,2.6,1.47,Player Double Double,Bet365,Cleveland Cavaliers,Minnesota Timberwolves
Minnesota Timberwolves v Cleveland Cavaliers,Cleveland Cavaliers,Minnesota Timberwolves,Jarrett Allen,0.5,2.7,1.45,Player Double Double,Bet365,Cleveland Cavaliers,Minnesota Timberwolves
Minnesota Timberwolves v Cleveland Cavaliers,Cleveland Cavaliers,Minnesota Timberwolves,Julius Randle,0.5,3.1,1.35,Player Double Double,Bet365,Minnesota Timberwolves,Cleveland Cavaliers
Minnesota Timberwolves v Cleveland Cavaliers,Cleveland Cavaliers,Minnesota Timberwolves,Darius Garland,0.5,7,1.1,Player Double Double,Bet365,Cleveland Cavaliers,Minnesota Timberwolves
Minnesota Timberwolves v Cleveland Cavaliers,Cleveland Cavaliers,Minnesota Timberwolves,Naz Reid,0.5,7,1.1,Player Double Double,Bet365,Minnesota Timberwolves,Cleveland Cavaliers
Minnesota Timberwolves v Cleveland Cavaliers,Cleveland Cavaliers,Minnesota Timberwolves,Anthony Edwards,0.5,10,1.045,Player Double Double,Bet365,Minnesota Timberwolves,Cleveland Cavaliers
Minnesota Timberwolves v Cleveland Cavaliers,Cleveland Cavaliers,Minnesota Timberwolves,Donovan Mitchell,0.5,10,1.045,Player Double Double,Bet365,Cleveland Cavaliers,Minnesota Timberwolves
Minnesota Timberwolves v Cleveland Cavaliers,Cleveland Cavaliers,Minnesota Timberwolves,Donte DiVincenzo,0.5,16,1.015,Player Double Double,Bet365,Minnesota Timberwolves,Cleveland Cavaliers
Minnesota Timberwolves v Cleveland Cavaliers,Cleveland Cavaliers,Minnesota Timberwolves,Jaden McDaniels,0.5,17,1.012,Player Double Double,Bet365,Minnesota Timberwolves,Cleveland Cavaliers
Minnesota Timberwolves v Cleveland Cavaliers,Cleveland Cavaliers,Minnesota Timberwolves,De'Andre Hunter,0.5,18,1.01,Player Double Double,Bet365,Cleveland Cavaliers,Minnesota Timberwolves
