match,away_team,home_team,player_name,line,over_price,under_price,market_name,agency,player_team,opposition_team
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Ajay Mitchell,3.5,2,1.76,Player Rebounds,Bet365,Oklahoma City Thunder,Los Angeles Lakers
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Ajay Mitchell,4.5,3.3,NA,Player Rebounds,Bet365,Oklahoma City Thunder,Los Angeles Lakers
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Ajay Mitchell,6.5,10.5,NA,Player Rebounds,Bet365,Oklahoma City Thunder,Los Angeles Lakers
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Ajay Mitchell,9.5,41,NA,Player Rebounds,Bet365,Oklahoma City Thunder,Los Angeles Lakers
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Alex Caruso,1.5,1.6,2.35,Player Rebounds,Bet365,Oklahoma City Thunder,Los Angeles Lakers
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Alex Caruso,4.5,11,NA,Player Rebounds,Bet365,Oklahoma City Thunder,Los Angeles Lakers
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Alex Caruso,6.5,34,NA,Player Rebounds,Bet365,Oklahoma City Thunder,Los Angeles Lakers
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Austin Reaves,3.5,1.64,2.25,Player Rebounds,Bet365,Los Angeles Lakers,Oklahoma City Thunder
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Austin Reaves,4.5,2.4,NA,Player Rebounds,Bet365,Los Angeles Lakers,Oklahoma City Thunder
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Austin Reaves,6.5,7,NA,Player Rebounds,Bet365,Los Angeles Lakers,Oklahoma City Thunder
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Austin Reaves,9.5,26,NA,Player Rebounds,Bet365,Los Angeles Lakers,Oklahoma City Thunder
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Cason Wallace,3.5,2.1,1.71,Player Rebounds,Bet365,Oklahoma City Thunder,Los Angeles Lakers
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Cason Wallace,4.5,3.65,NA,Player Rebounds,Bet365,Oklahoma City Thunder,Los Angeles Lakers
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Cason Wallace,6.5,13,NA,Player Rebounds,Bet365,Oklahoma City Thunder,Los Angeles Lakers
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Cason Wallace,9.5,41,NA,Player Rebounds,Bet365,Oklahoma City Thunder,Los Angeles Lakers
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Chet Holmgren,4.5,1.11,NA,Player Rebounds,Bet365,Oklahoma City Thunder,Los Angeles Lakers
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Chet Holmgren,6.5,1.47,NA,Player Rebounds,Bet365,Oklahoma City Thunder,Los Angeles Lakers
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Chet Holmgren,7.5,1.83,1.9,Player Rebounds,Bet365,Oklahoma City Thunder,Los Angeles Lakers
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Chet Holmgren,9.5,3.25,NA,Player Rebounds,Bet365,Oklahoma City Thunder,Los Angeles Lakers
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,DeAndre Ayton,4.5,1.083,NA,Player Rebounds,Bet365,NA,NA
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,DeAndre Ayton,6.5,1.33,NA,Player Rebounds,Bet365,NA,NA
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,DeAndre Ayton,8.5,1.9,1.83,Player Rebounds,Bet365,NA,NA
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,DeAndre Ayton,9.5,2.6,NA,Player Rebounds,Bet365,NA,NA
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Isaiah Hartenstein,4.5,1.04,NA,Player Rebounds,Bet365,Oklahoma City Thunder,Los Angeles Lakers
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Isaiah Hartenstein,6.5,1.16,NA,Player Rebounds,Bet365,Oklahoma City Thunder,Los Angeles Lakers
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Isaiah Hartenstein,9.5,1.86,1.86,Player Rebounds,Bet365,Oklahoma City Thunder,Los Angeles Lakers
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Isaiah Hartenstein,9.5,1.86,NA,Player Rebounds,Bet365,Oklahoma City Thunder,Los Angeles Lakers
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Isaiah Joe,2.5,1.74,2.05,Player Rebounds,Bet365,Oklahoma City Thunder,Los Angeles Lakers
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Isaiah Joe,4.5,5,NA,Player Rebounds,Bet365,Oklahoma City Thunder,Los Angeles Lakers
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Isaiah Joe,6.5,16,NA,Player Rebounds,Bet365,Oklahoma City Thunder,Los Angeles Lakers
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Isaiah Joe,9.5,41,NA,Player Rebounds,Bet365,Oklahoma City Thunder,Los Angeles Lakers
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Jake LaRavia,3.5,1.86,1.86,Player Rebounds,Bet365,Los Angeles Lakers,Oklahoma City Thunder
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Jake LaRavia,4.5,3.1,NA,Player Rebounds,Bet365,Los Angeles Lakers,Oklahoma City Thunder
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Jake LaRavia,6.5,8,NA,Player Rebounds,Bet365,Los Angeles Lakers,Oklahoma City Thunder
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Jake LaRavia,9.5,34,NA,Player Rebounds,Bet365,Los Angeles Lakers,Oklahoma City Thunder
Oklahoma City Thunder v Los Angeles Lakers,Los Angeles Lakers,Oklahoma City Thunder,Jarred Vanderbilt,4.5,2.2,1.66,Player Rebounds,Bet365,Los Angeles Lakers,Oklahoma City Thunder
