match,away_team,home_team,player_name,line,over_price,under_price,market_name,agency,player_team,opposition_team
Indiana Pacers v Houston Rockets,Houston Rockets,Indiana Pacers,Clint Capela,0.5,2,1.74,Player Steals,Bet365,Houston Rockets,Indiana Pacers
Indiana Pacers v Houston Rockets,Houston Rockets,Indiana Pacers,Tari Eason,1.5,1.95,1.76,Player Steals,Bet365,Houston Rockets,Indiana Pacers
Indiana Pacers v Houston Rockets,Houston Rockets,Indiana Pacers,Dorian Finney-Smith,0.5,2.55,1.47,Player Steals,Bet365,Houston Rockets,Indiana Pacers
Indiana Pacers v Houston Rockets,Houston Rockets,Indiana Pacers,Josh Okogie,1.5,2.8,1.41,Player Steals,Bet365,Houston Rockets,Indiana Pacers
Indiana Pacers v Houston Rockets,Houston Rockets,Indiana Pacers,Alperen Sengun,1.5,2.3,1.58,Player Steals,Bet365,Houston Rockets,Indiana Pacers
Indiana Pacers v Houston Rockets,Houston Rockets,Indiana Pacers,Reed Sheppard,1.5,2.3,1.58,Player Steals,Bet365,Houston Rockets,Indiana Pacers
Indiana Pacers v Houston Rockets,Houston Rockets,Indiana Pacers,Jabari Smith Jr.,0.5,1.58,2.3,Player Steals,Bet365,Houston Rockets,Indiana Pacers
Indiana Pacers v Houston Rockets,Houston Rockets,Indiana Pacers,Amen Thompson,1.5,1.83,1.9,Player Steals,Bet365,Houston Rockets,Indiana Pacers
Indiana Pacers v Houston Rockets,Houston Rockets,Indiana Pacers,Johnny Furphy,0.5,1.95,1.76,Player Steals,Bet365,Indiana Pacers,Houston Rockets
Indiana Pacers v Houston Rockets,Houston Rockets,Indiana Pacers,Jay Huff,0.5,2,1.74,Player Steals,Bet365,Indiana Pacers,Houston Rockets
Indiana Pacers v Houston Rockets,Houston Rockets,Indiana Pacers,Bennedict Mathurin,0.5,1.66,2.1,Player Steals,Bet365,Indiana Pacers,Houston Rockets
Indiana Pacers v Houston Rockets,Houston Rockets,Indiana Pacers,TJ McConnell,0.5,1.45,2.6,Player Steals,Bet365,NA,NA
Indiana Pacers v Houston Rockets,Houston Rockets,Indiana Pacers,Andrew Nembhard,0.5,1.43,2.7,Player Steals,Bet365,Indiana Pacers,Houston Rockets
Indiana Pacers v Houston Rockets,Houston Rockets,Indiana Pacers,Aaron Nesmith,0.5,1.76,1.95,Player Steals,Bet365,Indiana Pacers,Houston Rockets
Indiana Pacers v Houston Rockets,Houston Rockets,Indiana Pacers,Pascal Siakam,0.5,1.55,2.35,Player Steals,Bet365,Indiana Pacers,Houston Rockets
Indiana Pacers v Houston Rockets,Houston Rockets,Indiana Pacers,Jarace Walker,0.5,1.47,2.55,Player Steals,Bet365,Indiana Pacers,Houston Rockets
Memphis Grizzlies v Minnesota Timberwolves,Minnesota Timberwolves,Memphis Grizzlies,Donte DiVincenzo,1.5,2,1.74,Player Steals,Bet365,Minnesota Timberwolves,Memphis Grizzlies
Memphis Grizzlies v Minnesota Timberwolves,Minnesota Timberwolves,Memphis Grizzlies,Anthony Edwards,1.5,2.35,1.55,Player Steals,Bet365,Minnesota Timberwolves,Memphis Grizzlies
Memphis Grizzlies v Minnesota Timberwolves,Minnesota Timberwolves,Memphis Grizzlies,Rudy Gobert,0.5,1.47,2.55,Player Steals,Bet365,Minnesota Timberwolves,Memphis Grizzlies
Memphis Grizzlies v Minnesota Timberwolves,Minnesota Timberwolves,Memphis Grizzlies,Jaden McDaniels,0.5,1.42,2.75,Player Steals,Bet365,Minnesota Timberwolves,Memphis Grizzlies
Memphis Grizzlies v Minnesota Timberwolves,Minnesota Timberwolves,Memphis Grizzlies,Julius Randle,1.5,2.55,1.47,Player Steals,Bet365,Minnesota Timberwolves,Memphis Grizzlies
Memphis Grizzlies v Minnesota Timberwolves,Minnesota Timberwolves,Memphis Grizzlies,Naz Reid,1.5,2.75,1.42,Player Steals,Bet365,Minnesota Timberwolves,Memphis Grizzlies
Memphis Grizzlies v Minnesota Timberwolves,Minnesota Timberwolves,Memphis Grizzlies,Kentavious Caldwell-Pope,0.5,1.86,1.86,Player Steals,Bet365,Memphis Grizzlies,Minnesota Timberwolves
Memphis Grizzlies v Minnesota Timberwolves,Minnesota Timberwolves,Memphis Grizzlies,Cedric Coward,0.5,2.15,1.64,Player Steals,Bet365,Memphis Grizzlies,Minnesota Timberwolves
Memphis Grizzlies v Minnesota Timberwolves,Minnesota Timberwolves,Memphis Grizzlies,Jaren Jackson Jr,1.5,2.55,1.47,Player Steals,Bet365,NA,NA
Memphis Grizzlies v Minnesota Timberwolves,Minnesota Timberwolves,Memphis Grizzlies,Ty Jerome,0.5,1.83,1.9,Player Steals,Bet365,Memphis Grizzlies,Minnesota Timberwolves
Memphis Grizzlies v Minnesota Timberwolves,Minnesota Timberwolves,Memphis Grizzlies,Jock Landale,0.5,1.74,2,Player Steals,Bet365,Memphis Grizzlies,Minnesota Timberwolves
Memphis Grizzlies v Minnesota Timberwolves,Minnesota Timberwolves,Memphis Grizzlies,Cam Spencer,0.5,1.86,1.86,Player Steals,Bet365,Memphis Grizzlies,Minnesota Timberwolves
Memphis Grizzlies v Minnesota Timberwolves,Minnesota Timberwolves,Memphis Grizzlies,Jaylen Wells,0.5,1.64,2.15,Player Steals,Bet365,Memphis Grizzlies,Minnesota Timberwolves
Memphis Grizzlies v Minnesota Timberwolves,Minnesota Timberwolves,Memphis Grizzlies,Vince Williams Jr.,0.5,1.86,1.86,Player Steals,Bet365,Memphis Grizzlies,Minnesota Timberwolves
Los Angeles Clippers v Philadelphia 76ers,Philadelphia 76ers,Los Angeles Clippers,Adem Bona,0.5,3.5,1.28,Player Steals,Bet365,Philadelphia 76ers,Los Angeles Clippers
Los Angeles Clippers v Philadelphia 76ers,Philadelphia 76ers,Los Angeles Clippers,VJ Edgecombe,1.5,2.1,1.66,Player Steals,Bet365,Philadelphia 76ers,Los Angeles Clippers
Los Angeles Clippers v Philadelphia 76ers,Philadelphia 76ers,Los Angeles Clippers,Joel Embiid,0.5,1.64,2.15,Player Steals,Bet365,Philadelphia 76ers,Los Angeles Clippers
Los Angeles Clippers v Philadelphia 76ers,Philadelphia 76ers,Los Angeles Clippers,Quentin Grimes,0.5,1.83,1.9,Player Steals,Bet365,Philadelphia 76ers,Los Angeles Clippers
Los Angeles Clippers v Philadelphia 76ers,Philadelphia 76ers,Los Angeles Clippers,Tyrese Maxey,1.5,1.76,1.95,Player Steals,Bet365,Philadelphia 76ers,Los Angeles Clippers
Los Angeles Clippers v Philadelphia 76ers,Philadelphia 76ers,Los Angeles Clippers,Jared McCain,0.5,3.4,1.29,Player Steals,Bet365,Philadelphia 76ers,Los Angeles Clippers
Los Angeles Clippers v Philadelphia 76ers,Philadelphia 76ers,Los Angeles Clippers,Kelly Oubre Jr,0.5,1.4,2.85,Player Steals,Bet365,NA,NA
Los Angeles Clippers v Philadelphia 76ers,Philadelphia 76ers,Los Angeles Clippers,Nicolas Batum,0.5,1.95,1.76,Player Steals,Bet365,Los Angeles Clippers,Philadelphia 76ers
Los Angeles Clippers v Philadelphia 76ers,Philadelphia 76ers,Los Angeles Clippers,John Collins,0.5,1.74,2,Player Steals,Bet365,Los Angeles Clippers,Philadelphia 76ers
Los Angeles Clippers v Philadelphia 76ers,Philadelphia 76ers,Los Angeles Clippers,Kris Dunn,1.5,2.35,1.55,Player Steals,Bet365,Los Angeles Clippers,Philadelphia 76ers
Los Angeles Clippers v Philadelphia 76ers,Philadelphia 76ers,Los Angeles Clippers,Kawhi Leonard,1.5,2.25,1.6,Player Steals,Bet365,Los Angeles Clippers,Philadelphia 76ers
Los Angeles Clippers v Philadelphia 76ers,Philadelphia 76ers,Los Angeles Clippers,Brook Lopez,0.5,2.3,1.58,Player Steals,Bet365,Los Angeles Clippers,Philadelphia 76ers
Los Angeles Clippers v Philadelphia 76ers,Philadelphia 76ers,Los Angeles Clippers,Ivica Zubac,0.5,2.55,1.47,Player Steals,Bet365,Los Angeles Clippers,Philadelphia 76ers
Detroit Pistons v Denver Nuggets,Denver Nuggets,Detroit Pistons,Bruce Brown,0.5,1.55,2.35,Player Steals,Bet365,Denver Nuggets,Detroit Pistons
Detroit Pistons v Denver Nuggets,Denver Nuggets,Detroit Pistons,Tim Hardaway Jr,0.5,1.95,1.76,Player Steals,Bet365,NA,NA
Detroit Pistons v Denver Nuggets,Denver Nuggets,Detroit Pistons,Jamal Murray,0.5,1.43,2.7,Player Steals,Bet365,Denver Nuggets,Detroit Pistons
Detroit Pistons v Denver Nuggets,Denver Nuggets,Detroit Pistons,Jalen Pickett,0.5,2.55,1.47,Player Steals,Bet365,Denver Nuggets,Detroit Pistons
Detroit Pistons v Denver Nuggets,Denver Nuggets,Detroit Pistons,Jonas Valanciunas,0.5,2.85,1.4,Player Steals,Bet365,NA,NA
Detroit Pistons v Denver Nuggets,Denver Nuggets,Detroit Pistons,Peyton Watson,0.5,1.47,2.55,Player Steals,Bet365,Denver Nuggets,Detroit Pistons
Detroit Pistons v Denver Nuggets,Denver Nuggets,Detroit Pistons,Cade Cunningham,1.5,2.05,1.71,Player Steals,Bet365,Detroit Pistons,Denver Nuggets
Detroit Pistons v Denver Nuggets,Denver Nuggets,Detroit Pistons,Jalen Duren,0.5,1.55,2.35,Player Steals,Bet365,Detroit Pistons,Denver Nuggets
Detroit Pistons v Denver Nuggets,Denver Nuggets,Detroit Pistons,Tobias Harris,0.5,1.43,2.7,Player Steals,Bet365,Detroit Pistons,Denver Nuggets
Detroit Pistons v Denver Nuggets,Denver Nuggets,Detroit Pistons,Ron Holland II,1.5,2.5,1.5,Player Steals,Bet365,NA,NA
Detroit Pistons v Denver Nuggets,Denver Nuggets,Detroit Pistons,Jaden Ivey,0.5,2.32,1.57,Player Steals,Bet365,Detroit Pistons,Denver Nuggets
Detroit Pistons v Denver Nuggets,Denver Nuggets,Detroit Pistons,Duncan Robinson,0.5,1.76,1.95,Player Steals,Bet365,Detroit Pistons,Denver Nuggets
Detroit Pistons v Denver Nuggets,Denver Nuggets,Detroit Pistons,Isaiah Stewart,0.5,2.32,1.57,Player Steals,Bet365,Detroit Pistons,Denver Nuggets
Detroit Pistons v Denver Nuggets,Denver Nuggets,Detroit Pistons,Ausar Thompson,2.5,2.35,1.55,Player Steals,Bet365,Detroit Pistons,Denver Nuggets
