match,away_team,home_team,player_name,line,over_price,under_price,market_name,agency,player_team,opposition_team
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Baylor Scheierman,0.5,1.23,NA,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Baylor Scheierman,1.5,2,1.8,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Baylor Scheierman,1.5,2,NA,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Baylor Scheierman,2.5,4,NA,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Baylor Scheierman,3.5,8.25,NA,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Baylor Scheierman,4.5,16,NA,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Brandon Miller,0.5,1.028,NA,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Brandon Miller,1.5,1.18,NA,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Brandon Miller,2.5,1.54,NA,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Brandon Miller,3.5,2.35,1.58,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Brandon Miller,3.5,2.35,NA,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Brandon Miller,4.5,4,NA,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Coby White,0.5,1.18,NA,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Coby White,1.5,1.8,2,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Coby White,1.5,1.8,NA,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Coby White,2.5,3.25,NA,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Coby White,3.5,6.5,NA,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Coby White,4.5,11.5,NA,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Derrick White,0.5,1.035,NA,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Derrick White,1.5,1.2,NA,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Derrick White,2.5,1.66,2.2,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Derrick White,2.5,1.66,NA,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Derrick White,3.5,2.6,NA,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Derrick White,4.5,4.75,NA,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Jaylen Brown,0.5,1.11,NA,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Jaylen Brown,1.5,1.62,2.25,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Jaylen Brown,1.5,1.62,NA,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Jaylen Brown,2.5,2.82,NA,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Jaylen Brown,3.5,6,NA,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Jaylen Brown,4.5,11,NA,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Kon Knueppel,0.5,1.02,NA,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Kon Knueppel,1.5,1.13,NA,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Kon Knueppel,2.5,1.43,NA,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Kon Knueppel,3.5,2.05,1.74,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Kon Knueppel,3.5,2.05,NA,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Kon Knueppel,4.5,3.4,NA,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,LaMelo Ball,0.5,1.04,NA,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,LaMelo Ball,1.5,1.2,NA,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,LaMelo Ball,2.5,1.58,2.35,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,LaMelo Ball,2.5,1.58,NA,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,LaMelo Ball,3.5,2.4,NA,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,LaMelo Ball,4.5,4.1,NA,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Miles Bridges,0.5,1.12,NA,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Miles Bridges,1.5,1.62,2.25,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Miles Bridges,1.5,1.62,NA,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Miles Bridges,2.5,2.85,NA,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Miles Bridges,3.5,5.75,NA,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Miles Bridges,4.5,10.5,NA,Player Threes,Bet365,Charlotte Hornets,Boston Celtics
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Nikola Vu<c4><8d>evi<c4><87>,0.5,1.41,NA,Player Threes,Bet365,NA,NA
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Nikola Vu<c4><8d>evi<c4><87>,1.5,2.72,1.44,Player Threes,Bet365,NA,NA
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Nikola Vu<c4><8d>evi<c4><87>,1.5,2.72,NA,Player Threes,Bet365,NA,NA
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Nikola Vu<c4><8d>evi<c4><87>,2.5,6.5,NA,Player Threes,Bet365,NA,NA
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Nikola Vu<c4><8d>evi<c4><87>,3.5,13,NA,Player Threes,Bet365,NA,NA
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Nikola Vu<c4><8d>evi<c4><87>,4.5,21,NA,Player Threes,Bet365,NA,NA
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Payton Pritchard,0.5,1.062,NA,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Payton Pritchard,1.5,1.32,NA,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Payton Pritchard,2.5,2,1.8,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Payton Pritchard,2.5,2,NA,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Payton Pritchard,3.5,3.5,NA,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Payton Pritchard,4.5,7,NA,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Sam Hauser,0.5,1.066,NA,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Sam Hauser,1.5,1.37,NA,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Sam Hauser,2.5,2.05,NA,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Sam Hauser,3.5,3.65,NA,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Boston Celtics v Charlotte Hornets,Charlotte Hornets,Boston Celtics,Sam Hauser,4.5,7.25,NA,Player Threes,Bet365,Boston Celtics,Charlotte Hornets
Philadelphia 76ers v Utah Jazz,Utah Jazz,Philadelphia 76ers,Brice Sensabaugh,0.5,1.083,NA,Player Threes,Bet365,Utah Jazz,Philadelphia 76ers
Philadelphia 76ers v Utah Jazz,Utah Jazz,Philadelphia 76ers,Brice Sensabaugh,1.5,1.38,NA,Player Threes,Bet365,Utah Jazz,Philadelphia 76ers
Philadelphia 76ers v Utah Jazz,Utah Jazz,Philadelphia 76ers,Brice Sensabaugh,2.5,2.05,1.74,Player Threes,Bet365,Utah Jazz,Philadelphia 76ers
Philadelphia 76ers v Utah Jazz,Utah Jazz,Philadelphia 76ers,Brice Sensabaugh,2.5,2.05,NA,Player Threes,Bet365,Utah Jazz,Philadelphia 76ers
Philadelphia 76ers v Utah Jazz,Utah Jazz,Philadelphia 76ers,Brice Sensabaugh,3.5,3.5,NA,Player Threes,Bet365,Utah Jazz,Philadelphia 76ers
Philadelphia 76ers v Utah Jazz,Utah Jazz,Philadelphia 76ers,Brice Sensabaugh,4.5,6.5,NA,Player Threes,Bet365,Utah Jazz,Philadelphia 76ers
Philadelphia 76ers v Utah Jazz,Utah Jazz,Philadelphia 76ers,Isaiah Collier,0.5,1.9,1.86,Player Threes,Bet365,Utah Jazz,Philadelphia 76ers
Philadelphia 76ers v Utah Jazz,Utah Jazz,Philadelphia 76ers,Isaiah Collier,0.5,1.9,NA,Player Threes,Bet365,Utah Jazz,Philadelphia 76ers
Philadelphia 76ers v Utah Jazz,Utah Jazz,Philadelphia 76ers,Isaiah Collier,1.5,5.75,NA,Player Threes,Bet365,Utah Jazz,Philadelphia 76ers
Philadelphia 76ers v Utah Jazz,Utah Jazz,Philadelphia 76ers,Isaiah Collier,2.5,14,NA,Player Threes,Bet365,Utah Jazz,Philadelphia 76ers
Philadelphia 76ers v Utah Jazz,Utah Jazz,Philadelphia 76ers,Isaiah Collier,3.5,36,NA,Player Threes,Bet365,Utah Jazz,Philadelphia 76ers
Philadelphia 76ers v Utah Jazz,Utah Jazz,Philadelphia 76ers,Keyonte George,0.5,1.1,NA,Player Threes,Bet365,Utah Jazz,Philadelphia 76ers
Philadelphia 76ers v Utah Jazz,Utah Jazz,Philadelphia 76ers,Keyonte George,1.5,1.52,2.5,Player Threes,Bet365,Utah Jazz,Philadelphia 76ers
Philadelphia 76ers v Utah Jazz,Utah Jazz,Philadelphia 76ers,Keyonte George,1.5,1.52,NA,Player Threes,Bet365,Utah Jazz,Philadelphia 76ers
Philadelphia 76ers v Utah Jazz,Utah Jazz,Philadelphia 76ers,Keyonte George,2.5,2.55,NA,Player Threes,Bet365,Utah Jazz,Philadelphia 76ers
Philadelphia 76ers v Utah Jazz,Utah Jazz,Philadelphia 76ers,Keyonte George,3.5,4.75,NA,Player Threes,Bet365,Utah Jazz,Philadelphia 76ers
Philadelphia 76ers v Utah Jazz,Utah Jazz,Philadelphia 76ers,Keyonte George,4.5,9.5,NA,Player Threes,Bet365,Utah Jazz,Philadelphia 76ers
Philadelphia 76ers v Utah Jazz,Utah Jazz,Philadelphia 76ers,Quentin Grimes,2.5,1.95,1.83,Player Threes,Bet365,Philadelphia 76ers,Utah Jazz
Memphis Grizzlies v Portland Trail Blazers,Portland Trail Blazers,Memphis Grizzlies,Cam Spencer,0.5,1.16,NA,Player Threes,Bet365,Memphis Grizzlies,Portland Trail Blazers
Memphis Grizzlies v Portland Trail Blazers,Portland Trail Blazers,Memphis Grizzlies,Cam Spencer,1.5,1.68,2.15,Player Threes,Bet365,Memphis Grizzlies,Portland Trail Blazers
