match,away_team,home_team,player_name,line,over_price,under_price,market_name,agency,player_team,opposition_team
New Orleans Pelicans v Brooklyn Nets,Brooklyn Nets,New Orleans Pelicans,Derik Queen,0.5,20,1.005,Player Triple Double,Bet365,New Orleans Pelicans,Brooklyn Nets
New Orleans Pelicans v Brooklyn Nets,Brooklyn Nets,New Orleans Pelicans,Nicolas Claxton,0.5,36,1.001,Player Triple Double,Bet365,NA,NA
Chicago Bulls v Utah Jazz,Utah Jazz,Chicago Bulls,Jusuf Nurki<c4><87>,0.5,20,1.005,Player Triple Double,Bet365,NA,NA
Chicago Bulls v Utah Jazz,Utah Jazz,Chicago Bulls,Keyonte George,0.5,36,1.001,Player Triple Double,Bet365,Utah Jazz,Chicago Bulls
Chicago Bulls v Utah Jazz,Utah Jazz,Chicago Bulls,Nikola Vu<c4><8d>evi<c4><87>,0.5,36,1.001,Player Triple Double,Bet365,NA,NA
Dallas Mavericks v Denver Nuggets,Denver Nuggets,Dallas Mavericks,Jamal Murray,0.5,20,1.005,Player Triple Double,Bet365,Denver Nuggets,Dallas Mavericks
Dallas Mavericks v Denver Nuggets,Denver Nuggets,Dallas Mavericks,Cooper Flagg,0.5,26,1.002,Player Triple Double,Bet365,Dallas Mavericks,Denver Nuggets
Sacramento Kings v New York Knicks,New York Knicks,Sacramento Kings,Russell Westbrook,0.5,14,1.02,Player Triple Double,Bet365,Sacramento Kings,New York Knicks
Sacramento Kings v New York Knicks,New York Knicks,Sacramento Kings,Josh Hart,0.5,23,1.003,Player Triple Double,Bet365,New York Knicks,Sacramento Kings
Los Angeles Clippers v Washington Wizards,Washington Wizards,Los Angeles Clippers,James Harden,0.5,19,1.006,Player Triple Double,Bet365,Los Angeles Clippers,Washington Wizards
