match,start_time,market_name,home_team,home_win,away_team,away_win,margin,agency
Dallas Mavericks v Philadelphia 76ers,2026-01-02T01:41:00.0000000Z,Head To Head,Dallas Mavericks,2.1,Philadelphia 76ers,1.74,1.051,Betr
Sacramento Kings v Boston Celtics,2026-01-02T03:00:00.0000000Z,Head To Head,Sacramento Kings,4.35,Boston Celtics,1.22,1.05,Betr
Los Angeles Clippers v Utah Jazz,2026-01-02T03:30:00.0000000Z,Head To Head,Los Angeles Clippers,1.11,Utah Jazz,6.75,1.049,Betr
Indiana Pacers v San Antonio Spurs,2026-01-03T00:00:00.0000000Z,Head To Head,Indiana Pacers,2.65,San Antonio Spurs,1.48,1.053,Betr
Cleveland Cavaliers v Denver Nuggets,2026-01-03T00:30:00.0000000Z,Head To Head,Cleveland Cavaliers,1.14,Denver Nuggets,5.75,1.051,Betr
New York Knicks v Atlanta Hawks,2026-01-03T00:30:00.0000000Z,Head To Head,New York Knicks,1.36,Atlanta Hawks,3.15,1.053,Betr
New Orleans Pelicans v Portland Trail Blazers,2026-01-03T01:00:00.0000000Z,Head To Head,New Orleans Pelicans,1.91,Portland Trail Blazers,1.89,1.053,Betr
Chicago Bulls v Orlando Magic,2026-01-03T01:00:00.0000000Z,Head To Head,Chicago Bulls,2.45,Orlando Magic,1.55,1.053,Betr
Phoenix Suns v Sacramento Kings,2026-01-03T02:00:00.0000000Z,Head To Head,Phoenix Suns,1.16,Sacramento Kings,5.25,1.053,Betr
Golden State Warriors v Oklahoma City Thunder,2026-01-03T03:00:00.0000000Z,Head To Head,Golden State Warriors,3.7,Oklahoma City Thunder,1.28,1.052,Betr
Los Angeles Lakers v Memphis Grizzlies,2026-01-03T03:30:00.0000000Z,Head To Head,Los Angeles Lakers,1.61,Memphis Grizzlies,2.35,1.047,Betr
