match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team,under_price
Boston Celtics v Orlando Magic,Boston Celtics,Orlando Magic,Player Assists,Anthony Black,Orlando Magic,1.5,1.15,Betr,Boston Celtics,4.9
Boston Celtics v Orlando Magic,Boston Celtics,Orlando Magic,Player Assists,Anthony Black,Orlando Magic,2.5,1.45,Betr,Boston Celtics,2.55
Boston Celtics v Orlando Magic,Boston Celtics,Orlando Magic,Player Assists,Anthony Black,Orlando Magic,3.5,2.15,Betr,Boston Celtics,1.67
Boston Celtics v Orlando Magic,Boston Celtics,Orlando Magic,Player Assists,Desmond Bane,Orlando Magic,3.5,1.38,Betr,Boston Celtics,2.9
Boston Celtics v Orlando Magic,Boston Celtics,Orlando Magic,Player Assists,Desmond Bane,Orlando Magic,4.5,1.8,Betr,Boston Celtics,1.95
Boston Celtics v Orlando Magic,Boston Celtics,Orlando Magic,Player Assists,Desmond Bane,Orlando Magic,5.5,2.65,Betr,Boston Celtics,1.45
Boston Celtics v Orlando Magic,Boston Celtics,Orlando Magic,Player Assists,Derrick White,Boston Celtics,2.5,1.09,Betr,Orlando Magic,6.75
Boston Celtics v Orlando Magic,Boston Celtics,Orlando Magic,Player Assists,Derrick White,Boston Celtics,3.5,1.24,Betr,Orlando Magic,3.8
Boston Celtics v Orlando Magic,Boston Celtics,Orlando Magic,Player Assists,Derrick White,Boston Celtics,4.5,1.54,Betr,Orlando Magic,2.4
Boston Celtics v Orlando Magic,Boston Celtics,Orlando Magic,Player Assists,Derrick White,Boston Celtics,5.5,2.05,Betr,Orlando Magic,1.71
Boston Celtics v Orlando Magic,Boston Celtics,Orlando Magic,Player Assists,Derrick White,Boston Celtics,6.5,3,Betr,Orlando Magic,1.34
Boston Celtics v Orlando Magic,Boston Celtics,Orlando Magic,Player Assists,Franz Wagner,Orlando Magic,2.5,1.24,Betr,Boston Celtics,3.8
Boston Celtics v Orlando Magic,Boston Celtics,Orlando Magic,Player Assists,Franz Wagner,Orlando Magic,3.5,1.56,Betr,Boston Celtics,2.25
Boston Celtics v Orlando Magic,Boston Celtics,Orlando Magic,Player Assists,Franz Wagner,Orlando Magic,4.5,2.3,Betr,Boston Celtics,1.56
Boston Celtics v Orlando Magic,Boston Celtics,Orlando Magic,Player Assists,Jaylen Brown,Boston Celtics,2.5,1.22,Betr,Orlando Magic,4.1
Boston Celtics v Orlando Magic,Boston Celtics,Orlando Magic,Player Assists,Jaylen Brown,Boston Celtics,3.5,1.56,Betr,Orlando Magic,2.35
Boston Celtics v Orlando Magic,Boston Celtics,Orlando Magic,Player Assists,Jaylen Brown,Boston Celtics,4.5,2.2,Betr,Orlando Magic,1.61
Boston Celtics v Orlando Magic,Boston Celtics,Orlando Magic,Player Assists,Payton Pritchard,Boston Celtics,2.5,1.17,Betr,Orlando Magic,4.7
Boston Celtics v Orlando Magic,Boston Celtics,Orlando Magic,Player Assists,Payton Pritchard,Boston Celtics,3.5,1.45,Betr,Orlando Magic,2.6
Boston Celtics v Orlando Magic,Boston Celtics,Orlando Magic,Player Assists,Payton Pritchard,Boston Celtics,4.5,2,Betr,Orlando Magic,1.77
Atlanta Hawks v Charlotte Hornets,Atlanta Hawks,Charlotte Hornets,Player Assists,Collin Sexton,Charlotte Hornets,3.5,1.3,Betr,Atlanta Hawks,3.4
Atlanta Hawks v Charlotte Hornets,Atlanta Hawks,Charlotte Hornets,Player Assists,Collin Sexton,Charlotte Hornets,4.5,1.65,Betr,Atlanta Hawks,2.15
Atlanta Hawks v Charlotte Hornets,Atlanta Hawks,Charlotte Hornets,Player Assists,Collin Sexton,Charlotte Hornets,5.5,2.3,Betr,Atlanta Hawks,1.56
Atlanta Hawks v Charlotte Hornets,Atlanta Hawks,Charlotte Hornets,Player Assists,Dyson Daniels,Atlanta Hawks,3.5,1.17,Betr,Charlotte Hornets,4.7
Atlanta Hawks v Charlotte Hornets,Atlanta Hawks,Charlotte Hornets,Player Assists,Dyson Daniels,Atlanta Hawks,4.5,1.38,Betr,Charlotte Hornets,2.9
Atlanta Hawks v Charlotte Hornets,Atlanta Hawks,Charlotte Hornets,Player Assists,Dyson Daniels,Atlanta Hawks,5.5,1.8,Betr,Charlotte Hornets,1.95
Atlanta Hawks v Charlotte Hornets,Atlanta Hawks,Charlotte Hornets,Player Assists,Dyson Daniels,Atlanta Hawks,6.5,2.5,Betr,Charlotte Hornets,1.5
