match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team,under_price
Los Angeles Lakers v Atlanta Hawks,Los Angeles Lakers,Atlanta Hawks,Player PRAs,CJ McCollum,Atlanta Hawks,21.5,1.87,Betr,Los Angeles Lakers,1.87
Los Angeles Lakers v Atlanta Hawks,Los Angeles Lakers,Atlanta Hawks,Player PRAs,Dyson Daniels,Atlanta Hawks,26.5,1.91,Betr,Los Angeles Lakers,1.83
Los Angeles Lakers v Atlanta Hawks,Los Angeles Lakers,Atlanta Hawks,Player PRAs,Jalen Johnson,Atlanta Hawks,41.5,1.83,Betr,Los Angeles Lakers,1.91
Los Angeles Lakers v Atlanta Hawks,Los Angeles Lakers,Atlanta Hawks,Player PRAs,Marcus Smart,Los Angeles Lakers,19.5,1.95,Betr,Atlanta Hawks,1.8
Los Angeles Lakers v Atlanta Hawks,Los Angeles Lakers,Atlanta Hawks,Player PRAs,Nickeil Alexander-Walker,Atlanta Hawks,28.5,1.91,Betr,Los Angeles Lakers,1.83
Los Angeles Lakers v Atlanta Hawks,Los Angeles Lakers,Atlanta Hawks,Player PRAs,Onyeka Okongwu,Atlanta Hawks,28.5,1.91,Betr,Los Angeles Lakers,1.83
Golden State Warriors v Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,Player PRAs,Donovan Clingan,Portland Trail Blazers,23.5,1.43,Betr,Golden State Warriors,2.7
Golden State Warriors v Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,Player PRAs,Donovan Clingan,Portland Trail Blazers,24.5,1.56,Betr,Golden State Warriors,2.35
Golden State Warriors v Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,Player PRAs,Donovan Clingan,Portland Trail Blazers,25.5,1.71,Betr,Golden State Warriors,2.05
Golden State Warriors v Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,Player PRAs,Donovan Clingan,Portland Trail Blazers,26.5,1.87,Betr,Golden State Warriors,1.87
Golden State Warriors v Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,Player PRAs,Draymond Green,Golden State Warriors,18.5,1.45,Betr,Portland Trail Blazers,2.55
Golden State Warriors v Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,Player PRAs,Draymond Green,Golden State Warriors,19.5,1.61,Betr,Portland Trail Blazers,2.2
Golden State Warriors v Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,Player PRAs,Draymond Green,Golden State Warriors,20.5,1.83,Betr,Portland Trail Blazers,1.91
Golden State Warriors v Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,Player PRAs,Draymond Green,Golden State Warriors,21.5,2.05,Betr,Portland Trail Blazers,1.71
Golden State Warriors v Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,Player PRAs,Jimmy Butler III,Golden State Warriors,29.5,1.56,Betr,Portland Trail Blazers,2.25
Golden State Warriors v Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,Player PRAs,Jimmy Butler III,Golden State Warriors,30.5,1.74,Betr,Portland Trail Blazers,2
Golden State Warriors v Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,Player PRAs,Jimmy Butler III,Golden State Warriors,31.5,1.91,Betr,Portland Trail Blazers,1.83
Golden State Warriors v Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,Player PRAs,Jimmy Butler III,Golden State Warriors,32.5,2.15,Betr,Portland Trail Blazers,1.67
Golden State Warriors v Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,Player PRAs,Jrue Holiday,Portland Trail Blazers,17.5,1.56,Betr,Golden State Warriors,2.35
Golden State Warriors v Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,Player PRAs,Jrue Holiday,Portland Trail Blazers,18.5,1.74,Betr,Golden State Warriors,2
Golden State Warriors v Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,Player PRAs,Jrue Holiday,Portland Trail Blazers,19.5,1.95,Betr,Golden State Warriors,1.8
Golden State Warriors v Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,Player PRAs,Jrue Holiday,Portland Trail Blazers,20.5,2.2,Betr,Golden State Warriors,1.61
Golden State Warriors v Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,Player PRAs,Toumani Camara,Portland Trail Blazers,21.5,1.67,Betr,Golden State Warriors,2.15
Golden State Warriors v Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,Player PRAs,Toumani Camara,Portland Trail Blazers,22.5,1.83,Betr,Golden State Warriors,1.91
Golden State Warriors v Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,Player PRAs,Toumani Camara,Portland Trail Blazers,23.5,2.05,Betr,Golden State Warriors,1.71
