match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team,under_price
Oklahoma City Thunder v Philadelphia 76ers,Oklahoma City Thunder,Philadelphia 76ers,Player Rebounds,Andre Drummond,Philadelphia 76ers,10.5,1.8,Betr,Oklahoma City Thunder,1.95
Oklahoma City Thunder v Philadelphia 76ers,Oklahoma City Thunder,Philadelphia 76ers,Player Rebounds,Ajay Mitchell,Oklahoma City Thunder,2.5,1.56,Betr,Philadelphia 76ers,2.25
Oklahoma City Thunder v Philadelphia 76ers,Oklahoma City Thunder,Philadelphia 76ers,Player Rebounds,Chet Holmgren,Oklahoma City Thunder,7.5,1.74,Betr,Philadelphia 76ers,2
Oklahoma City Thunder v Philadelphia 76ers,Oklahoma City Thunder,Philadelphia 76ers,Player Rebounds,Isaiah Hartenstein,Oklahoma City Thunder,9.5,1.83,Betr,Philadelphia 76ers,1.75
Oklahoma City Thunder v Philadelphia 76ers,Oklahoma City Thunder,Philadelphia 76ers,Player Rebounds,Jalen Williams,Oklahoma City Thunder,5.5,2.1,Betr,Philadelphia 76ers,1.71
Oklahoma City Thunder v Philadelphia 76ers,Oklahoma City Thunder,Philadelphia 76ers,Player Rebounds,Luguentz Dort,Oklahoma City Thunder,3.5,2.1,Betr,Philadelphia 76ers,1.69
Oklahoma City Thunder v Philadelphia 76ers,Oklahoma City Thunder,Philadelphia 76ers,Player Rebounds,Paul George,Philadelphia 76ers,4.5,1.69,Betr,Oklahoma City Thunder,2.1
Oklahoma City Thunder v Philadelphia 76ers,Oklahoma City Thunder,Philadelphia 76ers,Player Rebounds,Quentin Grimes,Philadelphia 76ers,3.5,2.1,Betr,Oklahoma City Thunder,1.69
Oklahoma City Thunder v Philadelphia 76ers,Oklahoma City Thunder,Philadelphia 76ers,Player Rebounds,Tyrese Maxey,Philadelphia 76ers,3.5,1.71,Betr,Oklahoma City Thunder,1.87
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Brandin Podziemski,Golden State Warriors,4.5,1.83,Betr,Toronto Raptors,1.91
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Brandon Ingram,Toronto Raptors,3.5,1.15,Betr,Golden State Warriors,5
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Brandon Ingram,Toronto Raptors,4.5,1.36,Betr,Golden State Warriors,3
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Brandon Ingram,Toronto Raptors,5.5,1.71,Betr,Golden State Warriors,2.05
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Brandon Ingram,Toronto Raptors,6.5,2.35,Betr,Golden State Warriors,1.56
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Brandon Ingram,Toronto Raptors,7.5,3.4,Betr,Golden State Warriors,1.29
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Draymond Green,Golden State Warriors,3.5,1.15,Betr,Toronto Raptors,5
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Draymond Green,Golden State Warriors,4.5,1.36,Betr,Toronto Raptors,3
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Draymond Green,Golden State Warriors,5.5,1.71,Betr,Toronto Raptors,2.05
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Draymond Green,Golden State Warriors,6.5,2.3,Betr,Toronto Raptors,1.56
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Draymond Green,Golden State Warriors,7.5,3.3,Betr,Toronto Raptors,1.31
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Immanuel Quickley,Toronto Raptors,2.5,1.28,Betr,Golden State Warriors,3.5
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Immanuel Quickley,Toronto Raptors,3.5,1.69,Betr,Golden State Warriors,2.1
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Immanuel Quickley,Toronto Raptors,4.5,2.5,Betr,Golden State Warriors,1.51
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Jimmy Butler III,Golden State Warriors,3.5,1.15,Betr,Toronto Raptors,4.9
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Jimmy Butler III,Golden State Warriors,4.5,1.37,Betr,Toronto Raptors,2.9
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Jimmy Butler III,Golden State Warriors,5.5,1.71,Betr,Toronto Raptors,2.05
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Jimmy Butler III,Golden State Warriors,6.5,2.35,Betr,Toronto Raptors,1.56
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Jimmy Butler III,Golden State Warriors,7.5,3.5,Betr,Toronto Raptors,1.29
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Moses Moody,Golden State Warriors,2.5,1.43,Betr,Toronto Raptors,2.7
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Moses Moody,Golden State Warriors,3.5,2,Betr,Toronto Raptors,1.74
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Sandro Mamukelashvili,Toronto Raptors,6.5,1.3,Betr,Golden State Warriors,3.4
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Sandro Mamukelashvili,Toronto Raptors,7.5,1.54,Betr,Golden State Warriors,2.4
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Sandro Mamukelashvili,Toronto Raptors,8.5,1.95,Betr,Golden State Warriors,1.8
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Sandro Mamukelashvili,Toronto Raptors,9.5,2.6,Betr,Golden State Warriors,1.45
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Scottie Barnes,Toronto Raptors,10.5,3.2,Betr,Golden State Warriors,1.33
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Scottie Barnes,Toronto Raptors,6.5,1.25,Betr,Golden State Warriors,3.8
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Scottie Barnes,Toronto Raptors,7.5,1.45,Betr,Golden State Warriors,2.65
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Scottie Barnes,Toronto Raptors,8.5,1.77,Betr,Golden State Warriors,1.95
Toronto Raptors v Golden State Warriors,Toronto Raptors,Golden State Warriors,Player Rebounds,Scottie Barnes,Toronto Raptors,9.5,2.3,Betr,Golden State Warriors,1.56
Portland Trail Blazers v Boston Celtics,Portland Trail Blazers,Boston Celtics,Player Rebounds,Deni Avdija,Portland Trail Blazers,7.5,1.91,Betr,Boston Celtics,1.83
Portland Trail Blazers v Boston Celtics,Portland Trail Blazers,Boston Celtics,Player Rebounds,Derrick White,Boston Celtics,4.5,2,Betr,Portland Trail Blazers,1.77
Portland Trail Blazers v Boston Celtics,Portland Trail Blazers,Boston Celtics,Player Rebounds,Donovan Clingan,Portland Trail Blazers,10.5,1.71,Betr,Boston Celtics,2.05
Portland Trail Blazers v Boston Celtics,Portland Trail Blazers,Boston Celtics,Player Rebounds,Jaylen Brown,Boston Celtics,6.5,2.1,Betr,Portland Trail Blazers,1.69
Portland Trail Blazers v Boston Celtics,Portland Trail Blazers,Boston Celtics,Player Rebounds,Jordan Walsh,Boston Celtics,4.5,2.05,Betr,Portland Trail Blazers,1.71
Portland Trail Blazers v Boston Celtics,Portland Trail Blazers,Boston Celtics,Player Rebounds,Neemias Queta,Boston Celtics,7.5,1.8,Betr,Portland Trail Blazers,1.95
Portland Trail Blazers v Boston Celtics,Portland Trail Blazers,Boston Celtics,Player Rebounds,Payton Pritchard,Boston Celtics,4.5,1.83,Betr,Portland Trail Blazers,1.91
Portland Trail Blazers v Boston Celtics,Portland Trail Blazers,Boston Celtics,Player Rebounds,Shaedon Sharpe,Portland Trail Blazers,4.5,2.1,Betr,Boston Celtics,1.67
Portland Trail Blazers v Boston Celtics,Portland Trail Blazers,Boston Celtics,Player Rebounds,Toumani Camara,Portland Trail Blazers,5.5,2.05,Betr,Boston Celtics,1.71
Washington Wizards v Memphis Grizzlies,Washington Wizards,Memphis Grizzlies,Player Rebounds,Alex Sarr,Washington Wizards,8.5,1.95,Betr,Memphis Grizzlies,1.77
Washington Wizards v Memphis Grizzlies,Washington Wizards,Memphis Grizzlies,Player Rebounds,Bilal Coulibaly,Washington Wizards,4.5,2.25,Betr,Memphis Grizzlies,1.61
Washington Wizards v Memphis Grizzlies,Washington Wizards,Memphis Grizzlies,Player Rebounds,Cedric Coward,Memphis Grizzlies,6.5,2.15,Betr,Washington Wizards,1.65
Washington Wizards v Memphis Grizzlies,Washington Wizards,Memphis Grizzlies,Player Rebounds,CJ McCollum,Washington Wizards,3.5,2.15,Betr,Memphis Grizzlies,1.65
Washington Wizards v Memphis Grizzlies,Washington Wizards,Memphis Grizzlies,Player Rebounds,Ja Morant,Memphis Grizzlies,3.5,1.83,Betr,Washington Wizards,1.91
Washington Wizards v Memphis Grizzlies,Washington Wizards,Memphis Grizzlies,Player Rebounds,Jaren Jackson Jr.,Memphis Grizzlies,5.5,1.65,Betr,Washington Wizards,2.15
Washington Wizards v Memphis Grizzlies,Washington Wizards,Memphis Grizzlies,Player Rebounds,Jaylen Wells,Memphis Grizzlies,4.5,2.25,Betr,Washington Wizards,1.61
Washington Wizards v Memphis Grizzlies,Washington Wizards,Memphis Grizzlies,Player Rebounds,Khris Middleton,Washington Wizards,3.5,2.1,Betr,Memphis Grizzlies,1.69
Washington Wizards v Memphis Grizzlies,Washington Wizards,Memphis Grizzlies,Player Rebounds,Keyonte George,Utah Jazz,5.5,2.05,Betr,Washington Wizards,1.71
Washington Wizards v Memphis Grizzlies,Washington Wizards,Memphis Grizzlies,Player Rebounds,Marvin Bagley III,Washington Wizards,4.5,1.61,Betr,Memphis Grizzlies,2.2
Washington Wizards v Memphis Grizzlies,Washington Wizards,Memphis Grizzlies,Player Rebounds,Santi Aldama,Memphis Grizzlies,7.5,1.83,Betr,Washington Wizards,1.91
Los Angeles Clippers v Detroit Pistons,Los Angeles Clippers,Detroit Pistons,Player Rebounds,Brook Lopez,Los Angeles Clippers,3.5,1.42,Betr,Detroit Pistons,2.7
Los Angeles Clippers v Detroit Pistons,Los Angeles Clippers,Detroit Pistons,Player Rebounds,Brook Lopez,Los Angeles Clippers,4.5,1.91,Betr,Detroit Pistons,1.83
Los Angeles Clippers v Detroit Pistons,Los Angeles Clippers,Detroit Pistons,Player Rebounds,Brook Lopez,Los Angeles Clippers,5.5,2.8,Betr,Detroit Pistons,1.4
