match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team,under_price
Sacramento Kings v Dallas Mavericks,Sacramento Kings,Dallas Mavericks,Player Steals,Cooper Flagg,Dallas Mavericks,0.5,1.45,Betr,Sacramento Kings,2.55
Sacramento Kings v Dallas Mavericks,Sacramento Kings,Dallas Mavericks,Player Steals,DeMar DeRozan,Sacramento Kings,1.5,2.7,Betr,Dallas Mavericks,1.43
Sacramento Kings v Dallas Mavericks,Sacramento Kings,Dallas Mavericks,Player Steals,Keon Ellis,Sacramento Kings,1.5,2.25,Betr,Dallas Mavericks,1.61
Sacramento Kings v Dallas Mavericks,Sacramento Kings,Dallas Mavericks,Player Steals,Naji Marshall,Dallas Mavericks,0.5,1.45,Betr,Sacramento Kings,2.55
Sacramento Kings v Dallas Mavericks,Sacramento Kings,Dallas Mavericks,Player Steals,P.J. Washington,Dallas Mavericks,0.5,1.45,Betr,Sacramento Kings,2.6
Sacramento Kings v Dallas Mavericks,Sacramento Kings,Dallas Mavericks,Player Steals,Russell Westbrook,Sacramento Kings,1.5,2.15,Betr,Dallas Mavericks,1.67
Orlando Magic v Denver Nuggets,Orlando Magic,Denver Nuggets,Player Steals,Anthony Black,Orlando Magic,1.5,2.45,Betr,Denver Nuggets,1.51
Orlando Magic v Denver Nuggets,Orlando Magic,Denver Nuggets,Player Steals,Bruce Brown,Denver Nuggets,0.5,1.53,Betr,Orlando Magic,2.4
Orlando Magic v Denver Nuggets,Orlando Magic,Denver Nuggets,Player Steals,Desmond Bane,Orlando Magic,0.5,1.5,Betr,Denver Nuggets,2.5
Orlando Magic v Denver Nuggets,Orlando Magic,Denver Nuggets,Player Steals,Jamal Murray,Denver Nuggets,0.5,1.45,Betr,Orlando Magic,2.55
New Orleans Pelicans v Phoenix Suns,New Orleans Pelicans,Phoenix Suns,Player Steals,Collin Gillespie,Phoenix Suns,1.5,2.2,Betr,New Orleans Pelicans,1.61
New Orleans Pelicans v Phoenix Suns,New Orleans Pelicans,Phoenix Suns,Player Steals,Derik Queen,New Orleans Pelicans,0.5,1.51,Betr,Phoenix Suns,2.45
New Orleans Pelicans v Phoenix Suns,New Orleans Pelicans,Phoenix Suns,Player Steals,Dillon Brooks,Phoenix Suns,0.5,1.54,Betr,New Orleans Pelicans,2.4
New Orleans Pelicans v Phoenix Suns,New Orleans Pelicans,Phoenix Suns,Player Steals,Jordan Goodwin,Phoenix Suns,1.5,1.8,Betr,New Orleans Pelicans,1.95
New Orleans Pelicans v Phoenix Suns,New Orleans Pelicans,Phoenix Suns,Player Steals,Royce O'Neale,Phoenix Suns,0.5,1.54,Betr,New Orleans Pelicans,2.4
San Antonio Spurs v Utah Jazz,San Antonio Spurs,Utah Jazz,Player Steals,Devin Vassell,San Antonio Spurs,0.5,1.54,Betr,Utah Jazz,2.4
San Antonio Spurs v Utah Jazz,San Antonio Spurs,Utah Jazz,Player Steals,Dylan Harper,San Antonio Spurs,0.5,1.5,Betr,Utah Jazz,2.5
San Antonio Spurs v Utah Jazz,San Antonio Spurs,Utah Jazz,Player Steals,Harrison Barnes,San Antonio Spurs,0.5,1.56,Betr,Utah Jazz,2.25
San Antonio Spurs v Utah Jazz,San Antonio Spurs,Utah Jazz,Player Steals,Stephon Castle,San Antonio Spurs,1.5,2.6,Betr,Utah Jazz,1.45
Chicago Bulls v Milwaukee Bucks,Chicago Bulls,Milwaukee Bucks,Player Steals,Josh Giddey,Chicago Bulls,0.5,1.43,Betr,Milwaukee Bucks,2.7
Chicago Bulls v Milwaukee Bucks,Chicago Bulls,Milwaukee Bucks,Player Steals,Ryan Rollins,Milwaukee Bucks,1.5,2.35,Betr,Chicago Bulls,1.56
Atlanta Hawks v New York Knicks,Atlanta Hawks,New York Knicks,Player Steals,Dyson Daniels,Atlanta Hawks,1.5,1.56,Betr,New York Knicks,2.25
Atlanta Hawks v New York Knicks,Atlanta Hawks,New York Knicks,Player Steals,Jalen Johnson,Atlanta Hawks,1.5,2.65,Betr,New York Knicks,1.45
Atlanta Hawks v New York Knicks,Atlanta Hawks,New York Knicks,Player Steals,Jalen Brunson,New York Knicks,0.5,1.45,Betr,Atlanta Hawks,2.6
Atlanta Hawks v New York Knicks,Atlanta Hawks,New York Knicks,Player Steals,Karl-Anthony Towns,New York Knicks,0.5,1.45,Betr,Atlanta Hawks,2.6
Atlanta Hawks v New York Knicks,Atlanta Hawks,New York Knicks,Player Steals,Mitchell Robinson,New York Knicks,0.5,1.56,Betr,Atlanta Hawks,2.35
Atlanta Hawks v New York Knicks,Atlanta Hawks,New York Knicks,Player Steals,OG Anunoby,New York Knicks,1.5,1.95,Betr,Atlanta Hawks,1.8
Houston Rockets v Cleveland Cavaliers,Houston Rockets,Cleveland Cavaliers,Player Steals,Amen Thompson,Houston Rockets,1.5,2.4,Betr,Cleveland Cavaliers,1.53
Houston Rockets v Cleveland Cavaliers,Houston Rockets,Cleveland Cavaliers,Player Steals,Reed Sheppard,Houston Rockets,1.5,2.2,Betr,Cleveland Cavaliers,1.61
Houston Rockets v Cleveland Cavaliers,Houston Rockets,Cleveland Cavaliers,Player Steals,Tari Eason,Houston Rockets,1.5,2.5,Betr,Cleveland Cavaliers,1.5
Miami Heat v Indiana Pacers,Miami Heat,Indiana Pacers,Player Steals,Andrew Nembhard,Indiana Pacers,0.5,1.45,Betr,Miami Heat,2.55
Miami Heat v Indiana Pacers,Miami Heat,Indiana Pacers,Player Steals,Norman Powell,Miami Heat,1.5,2.7,Betr,Indiana Pacers,1.43
Miami Heat v Indiana Pacers,Miami Heat,Indiana Pacers,Player Steals,Pascal Siakam,Indiana Pacers,1.5,2.45,Betr,Miami Heat,1.53
Minnesota Timberwolves v Brooklyn Nets,Minnesota Timberwolves,Brooklyn Nets,Player Steals,Anthony Edwards,Minnesota Timberwolves,1.5,2.45,Betr,Brooklyn Nets,1.51
Minnesota Timberwolves v Brooklyn Nets,Minnesota Timberwolves,Brooklyn Nets,Player Steals,Donte DiVincenzo,Minnesota Timberwolves,1.5,2.65,Betr,Brooklyn Nets,1.45
Minnesota Timberwolves v Brooklyn Nets,Minnesota Timberwolves,Brooklyn Nets,Player Steals,Julius Randle,Minnesota Timberwolves,0.5,1.53,Betr,Brooklyn Nets,2.45
Minnesota Timberwolves v Brooklyn Nets,Minnesota Timberwolves,Brooklyn Nets,Player Steals,Jaden McDaniels,Minnesota Timberwolves,0.5,1.53,Betr,Brooklyn Nets,2.45
Minnesota Timberwolves v Brooklyn Nets,Minnesota Timberwolves,Brooklyn Nets,Player Steals,Naz Reid,Minnesota Timberwolves,0.5,1.56,Betr,Brooklyn Nets,2.3
