match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team,under_price
New York Knicks v Cleveland Cavaliers,New York Knicks,Cleveland Cavaliers,Player Threes,Darius Garland,Cleveland Cavaliers,2.5,1.87,Betr,New York Knicks,1.87
New York Knicks v Cleveland Cavaliers,New York Knicks,Cleveland Cavaliers,Player Threes,De'Andre Hunter,Cleveland Cavaliers,1.5,1.67,Betr,New York Knicks,2.15
New York Knicks v Cleveland Cavaliers,New York Knicks,Cleveland Cavaliers,Player Threes,Dean Wade,Cleveland Cavaliers,1.5,2.25,Betr,New York Knicks,1.56
New York Knicks v Cleveland Cavaliers,New York Knicks,Cleveland Cavaliers,Player Threes,Jalen Brunson,New York Knicks,2.5,1.74,Betr,Cleveland Cavaliers,2.05
New York Knicks v Cleveland Cavaliers,New York Knicks,Cleveland Cavaliers,Player Threes,Josh Hart,New York Knicks,1.5,2,Betr,Cleveland Cavaliers,1.77
New York Knicks v Cleveland Cavaliers,New York Knicks,Cleveland Cavaliers,Player Threes,Karl-Anthony Towns,New York Knicks,1.5,1.83,Betr,Cleveland Cavaliers,1.91
New York Knicks v Cleveland Cavaliers,New York Knicks,Cleveland Cavaliers,Player Threes,OG Anunoby,New York Knicks,2.5,1.91,Betr,Cleveland Cavaliers,1.83
Oklahoma City Thunder v San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Player Threes,Chet Holmgren,Oklahoma City Thunder,1.5,2.2,Betr,San Antonio Spurs,1.61
Oklahoma City Thunder v San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Player Threes,De'Aaron Fox,San Antonio Spurs,1.5,1.61,Betr,Oklahoma City Thunder,2.25
Oklahoma City Thunder v San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Player Threes,Devin Vassell,San Antonio Spurs,2.5,2.15,Betr,Oklahoma City Thunder,1.65
Oklahoma City Thunder v San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Player Threes,Harrison Barnes,San Antonio Spurs,1.5,1.56,Betr,Oklahoma City Thunder,2.35
Oklahoma City Thunder v San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Player Threes,Jalen Williams,Oklahoma City Thunder,1.5,2,Betr,San Antonio Spurs,1.74
Oklahoma City Thunder v San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Player Threes,Luguentz Dort,Oklahoma City Thunder,1.5,1.56,Betr,San Antonio Spurs,2.3
