match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,event_id,outcome_name,outcome_id,fixed_market_id,opposition_team,under_price,outcome_name_unders,outcome_id_unders,fixed_market_id_unders
Miami Heat v Philadelphia 76ers,Miami Heat,Philadelphia 76ers,Player Assists,Bam Adebayo,Miami Heat,2.5,1.5,BetRight,57311914,Bam Adebayo 3+,1,308395958,Philadelphia 76ers,NA,NA,NA,NA
Miami Heat v Philadelphia 76ers,Miami Heat,Philadelphia 76ers,Player Assists,Bam Adebayo,Miami Heat,4.5,3.8,BetRight,57311914,Bam Adebayo 5+,2,308395959,Philadelphia 76ers,NA,NA,NA,NA
Miami Heat v Philadelphia 76ers,Miami Heat,Philadelphia 76ers,Player Assists,Tyler Herro,Miami Heat,2.5,1.21,BetRight,57311915,Tyler Herro 3+,1,308395962,Philadelphia 76ers,NA,NA,NA,NA
Miami Heat v Philadelphia 76ers,Miami Heat,Philadelphia 76ers,Player Assists,Tyler Herro,Miami Heat,4.5,2.15,BetRight,57311915,Tyler Herro 5+,2,308395961,Philadelphia 76ers,NA,NA,NA,NA
Miami Heat v Philadelphia 76ers,Miami Heat,Philadelphia 76ers,Player Assists,Tyler Herro,Miami Heat,6.5,5.5,BetRight,57311915,Tyler Herro 7+,3,308395960,Philadelphia 76ers,NA,NA,NA,NA
Miami Heat v Philadelphia 76ers,Miami Heat,Philadelphia 76ers,Player Assists,Davion Mitchell,Miami Heat,4.5,1.26,BetRight,57311916,Davion Mitchell 5+,2,308395963,Philadelphia 76ers,NA,NA,NA,NA
Miami Heat v Philadelphia 76ers,Miami Heat,Philadelphia 76ers,Player Assists,Davion Mitchell,Miami Heat,6.5,2,BetRight,57311916,Davion Mitchell 7+,3,308395965,Philadelphia 76ers,NA,NA,NA,NA
Miami Heat v Philadelphia 76ers,Miami Heat,Philadelphia 76ers,Player Assists,Davion Mitchell,Miami Heat,9.5,6.5,BetRight,57311916,Davion Mitchell 10+,4,308459351,Philadelphia 76ers,NA,NA,NA,NA
Miami Heat v Philadelphia 76ers,Miami Heat,Philadelphia 76ers,Player Assists,VJ Edgecombe,Philadelphia 76ers,2.5,1.26,BetRight,57311918,VJ Edgecombe 3+,1,308395968,Miami Heat,NA,NA,NA,NA
Miami Heat v Philadelphia 76ers,Miami Heat,Philadelphia 76ers,Player Assists,VJ Edgecombe,Philadelphia 76ers,4.5,2.4,BetRight,57311918,VJ Edgecombe 5+,2,308395969,Miami Heat,NA,NA,NA,NA
Miami Heat v Philadelphia 76ers,Miami Heat,Philadelphia 76ers,Player Assists,Joel Embiid,Philadelphia 76ers,2.5,1.22,BetRight,57311919,Joel Embiid 3+,1,308395972,Miami Heat,NA,NA,NA,NA
Miami Heat v Philadelphia 76ers,Miami Heat,Philadelphia 76ers,Player Assists,Joel Embiid,Philadelphia 76ers,4.5,2.1,BetRight,57311919,Joel Embiid 5+,2,308395971,Miami Heat,NA,NA,NA,NA
Miami Heat v Philadelphia 76ers,Miami Heat,Philadelphia 76ers,Player Assists,Joel Embiid,Philadelphia 76ers,6.5,5.25,BetRight,57311919,Joel Embiid 7+,3,308395970,Miami Heat,NA,NA,NA,NA
Miami Heat v Philadelphia 76ers,Miami Heat,Philadelphia 76ers,Player Assists,Tyrese Maxey,Philadelphia 76ers,4.5,1.11,BetRight,57314358,Tyrese Maxey 5+,1,308405479,Miami Heat,NA,NA,NA,NA
Miami Heat v Philadelphia 76ers,Miami Heat,Philadelphia 76ers,Player Assists,Tyrese Maxey,Philadelphia 76ers,6.5,1.5,BetRight,57314358,Tyrese Maxey 7+,2,308405482,Miami Heat,NA,NA,NA,NA
Miami Heat v Philadelphia 76ers,Miami Heat,Philadelphia 76ers,Player Assists,Tyrese Maxey,Philadelphia 76ers,9.5,3.75,BetRight,57314358,Tyrese Maxey 10+,3,308405481,Miami Heat,NA,NA,NA,NA
Miami Heat v Philadelphia 76ers,Miami Heat,Philadelphia 76ers,Player Assists,Tyrese Maxey,Philadelphia 76ers,11.5,8.5,BetRight,57314358,Tyrese Maxey 12+,4,308405480,Miami Heat,NA,NA,NA,NA
Miami Heat v Philadelphia 76ers,Miami Heat,Philadelphia 76ers,Player Assists,Jaime Jaquez Jr.,Miami Heat,2.5,1.21,BetRight,57334140,Jaime Jaquez Jr. 3+,1,308492136,Philadelphia 76ers,NA,NA,NA,NA
Miami Heat v Philadelphia 76ers,Miami Heat,Philadelphia 76ers,Player Assists,Jaime Jaquez Jr.,Miami Heat,4.5,2.1,BetRight,57334140,Jaime Jaquez Jr. 5+,2,308492137,Philadelphia 76ers,NA,NA,NA,NA
Miami Heat v Philadelphia 76ers,Miami Heat,Philadelphia 76ers,Player Assists,Jaime Jaquez Jr.,Miami Heat,6.5,5.25,BetRight,57334140,Jaime Jaquez Jr. 7+,3,308492135,Philadelphia 76ers,NA,NA,NA,NA
Miami Heat v Philadelphia 76ers,Miami Heat,Philadelphia 76ers,Player Assists,Pelle Larsson,Miami Heat,2.5,1.36,BetRight,57334141,Pelle Larsson 3+,1,308492139,Philadelphia 76ers,NA,NA,NA,NA
Miami Heat v Philadelphia 76ers,Miami Heat,Philadelphia 76ers,Player Assists,Pelle Larsson,Miami Heat,4.5,2.9,BetRight,57334141,Pelle Larsson 5+,2,308492138,Philadelphia 76ers,NA,NA,NA,NA
Miami Heat v Philadelphia 76ers,Miami Heat,Philadelphia 76ers,Player Assists,Paul George,Philadelphia 76ers,2.5,1.22,BetRight,57334980,Paul George 3+,1,308495459,Miami Heat,NA,NA,NA,NA
Miami Heat v Philadelphia 76ers,Miami Heat,Philadelphia 76ers,Player Assists,Paul George,Philadelphia 76ers,4.5,2.1,BetRight,57334980,Paul George 5+,2,308495460,Miami Heat,NA,NA,NA,NA
Miami Heat v Philadelphia 76ers,Miami Heat,Philadelphia 76ers,Player Assists,Paul George,Philadelphia 76ers,6.5,5.25,BetRight,57334980,Paul George 7+,3,308495461,Miami Heat,NA,NA,NA,NA
Atlanta Hawks v Boston Celtics,Atlanta Hawks,Boston Celtics,Player Assists,Nickeil Alexander-Walker,Atlanta Hawks,2.5,1.4,BetRight,57312542,Nickeil Alexander-Walker 3+,1,308398500,Boston Celtics,NA,NA,NA,NA
Atlanta Hawks v Boston Celtics,Atlanta Hawks,Boston Celtics,Player Assists,Nickeil Alexander-Walker,Atlanta Hawks,4.5,3,BetRight,57312542,Nickeil Alexander-Walker 5+,2,308398499,Boston Celtics,NA,NA,NA,NA
Atlanta Hawks v Boston Celtics,Atlanta Hawks,Boston Celtics,Player Assists,Dyson Daniels,Atlanta Hawks,2.5,1.15,BetRight,57312543,Dyson Daniels 3+,1,308398501,Boston Celtics,NA,NA,NA,NA
Atlanta Hawks v Boston Celtics,Atlanta Hawks,Boston Celtics,Player Assists,Dyson Daniels,Atlanta Hawks,4.5,1.75,BetRight,57312543,Dyson Daniels 5+,2,308398503,Boston Celtics,NA,NA,NA,NA
