match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,event_id,outcome_name,outcome_id,fixed_market_id,opposition_team,under_price,outcome_name_unders,outcome_id_unders,fixed_market_id_unders
Philadelphia 76ers v Atlanta Hawks,Philadelphia 76ers,Atlanta Hawks,Player Blocks,Joel Embiid,Philadelphia 76ers,0.5,1.35,BetRight,55516540,Joel Embiid 1+,1,300957698,Atlanta Hawks,NA,NA,NA,NA
Philadelphia 76ers v Atlanta Hawks,Philadelphia 76ers,Atlanta Hawks,Player Blocks,Joel Embiid,Philadelphia 76ers,1.5,2.5,BetRight,55516540,Joel Embiid 2+,2,300957696,Atlanta Hawks,NA,NA,NA,NA
Philadelphia 76ers v Atlanta Hawks,Philadelphia 76ers,Atlanta Hawks,Player Blocks,Joel Embiid,Philadelphia 76ers,2.5,5.5,BetRight,55516540,Joel Embiid 3+,3,300957697,Atlanta Hawks,NA,NA,NA,NA
Philadelphia 76ers v Atlanta Hawks,Philadelphia 76ers,Atlanta Hawks,Player Blocks,Jalen Johnson,Atlanta Hawks,0.5,2.2,BetRight,55516542,Jalen Johnson 1+,1,300957701,Philadelphia 76ers,NA,NA,NA,NA
Philadelphia 76ers v Atlanta Hawks,Philadelphia 76ers,Atlanta Hawks,Player Blocks,Jalen Johnson,Atlanta Hawks,1.5,7,BetRight,55516542,Jalen Johnson 2+,2,300957702,Philadelphia 76ers,NA,NA,NA,NA
Cleveland Cavaliers v Brooklyn Nets,Cleveland Cavaliers,Brooklyn Nets,Player Blocks,Jarrett Allen,Cleveland Cavaliers,0.5,1.55,BetRight,55516693,Jarrett Allen 1+,1,300958212,Brooklyn Nets,NA,NA,NA,NA
Cleveland Cavaliers v Brooklyn Nets,Cleveland Cavaliers,Brooklyn Nets,Player Blocks,Jarrett Allen,Cleveland Cavaliers,1.5,3.5,BetRight,55516693,Jarrett Allen 2+,2,300958211,Brooklyn Nets,NA,NA,NA,NA
Cleveland Cavaliers v Brooklyn Nets,Cleveland Cavaliers,Brooklyn Nets,Player Blocks,James Harden,Cleveland Cavaliers,0.5,2.1,BetRight,55516694,James Harden 1+,1,300958214,Brooklyn Nets,NA,NA,NA,NA
Cleveland Cavaliers v Brooklyn Nets,Cleveland Cavaliers,Brooklyn Nets,Player Blocks,James Harden,Cleveland Cavaliers,1.5,6.5,BetRight,55516694,James Harden 2+,2,300958213,Brooklyn Nets,NA,NA,NA,NA
Cleveland Cavaliers v Brooklyn Nets,Cleveland Cavaliers,Brooklyn Nets,Player Blocks,Evan Mobley,Cleveland Cavaliers,0.5,1.15,BetRight,55516695,Evan Mobley 1+,1,300958215,Brooklyn Nets,NA,NA,NA,NA
Cleveland Cavaliers v Brooklyn Nets,Cleveland Cavaliers,Brooklyn Nets,Player Blocks,Evan Mobley,Cleveland Cavaliers,1.5,1.78,BetRight,55516695,Evan Mobley 2+,2,300958217,Brooklyn Nets,NA,NA,NA,NA
Cleveland Cavaliers v Brooklyn Nets,Cleveland Cavaliers,Brooklyn Nets,Player Blocks,Evan Mobley,Cleveland Cavaliers,2.5,3.25,BetRight,55516695,Evan Mobley 3+,3,300958216,Brooklyn Nets,NA,NA,NA,NA
Cleveland Cavaliers v Brooklyn Nets,Cleveland Cavaliers,Brooklyn Nets,Player Blocks,Nicolas Claxton,NA,0.5,1.5,BetRight,55516696,Nicolas Claxton 1+,1,300958218,NA,NA,NA,NA,NA
Cleveland Cavaliers v Brooklyn Nets,Cleveland Cavaliers,Brooklyn Nets,Player Blocks,Nicolas Claxton,NA,1.5,3.2,BetRight,55516696,Nicolas Claxton 2+,2,300958220,NA,NA,NA,NA,NA
