match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,event_id,outcome_name,outcome_id,fixed_market_id,opposition_team
Oklahoma City Thunder v Portland Trail Blazers,Oklahoma City Thunder,Portland Trail Blazers,Player Double Double,Shai Gilgeous-Alexander,Oklahoma City Thunder,0.5,3.25,NA,BetRight,52599592,Shai Gilgeous-Alexander,1,288618581,Portland Trail Blazers
Oklahoma City Thunder v Portland Trail Blazers,Oklahoma City Thunder,Portland Trail Blazers,Player Double Double,Isaiah Hartenstein,Oklahoma City Thunder,0.5,2,NA,BetRight,52599593,Isaiah Hartenstein,1,288618582,Portland Trail Blazers
Oklahoma City Thunder v Portland Trail Blazers,Oklahoma City Thunder,Portland Trail Blazers,Player Double Double,Deni Avdija,Portland Trail Blazers,0.5,2.05,NA,BetRight,52599594,Deni Avdija,1,288618583,Oklahoma City Thunder
Oklahoma City Thunder v Portland Trail Blazers,Oklahoma City Thunder,Portland Trail Blazers,Player Double Double,Toumani Camara,Portland Trail Blazers,0.5,7.5,NA,BetRight,52599595,Toumani Camara,1,288618584,Oklahoma City Thunder
Oklahoma City Thunder v Portland Trail Blazers,Oklahoma City Thunder,Portland Trail Blazers,Player Double Double,Jerami Grant,Portland Trail Blazers,0.5,17,NA,BetRight,52599596,Jerami Grant,1,288618585,Oklahoma City Thunder
Oklahoma City Thunder v Portland Trail Blazers,Oklahoma City Thunder,Portland Trail Blazers,Player Double Double,Ajay Mitchell,Oklahoma City Thunder,0.5,13,NA,BetRight,52617937,Ajay Mitchell,1,288689502,Portland Trail Blazers
Oklahoma City Thunder v Portland Trail Blazers,Oklahoma City Thunder,Portland Trail Blazers,Player Double Double,Cason Wallace,Oklahoma City Thunder,0.5,19,NA,BetRight,52617938,Cason Wallace,1,288689503,Portland Trail Blazers
Utah Jazz v Los Angeles Lakers,Utah Jazz,Los Angeles Lakers,Player Double Double,Keyonte George,Utah Jazz,0.5,3.85,NA,BetRight,52600640,Keyonte George,1,288622563,Los Angeles Lakers
Utah Jazz v Los Angeles Lakers,Utah Jazz,Los Angeles Lakers,Player Double Double,Lauri Elias Markkanen,NA,0.5,5,NA,BetRight,52600641,Lauri Elias Markkanen,1,288622564,NA
Utah Jazz v Los Angeles Lakers,Utah Jazz,Los Angeles Lakers,Player Double Double,Jusuf Nurkic,NA,0.5,2.55,NA,BetRight,52600642,Jusuf Nurkic,1,288622565,NA
Utah Jazz v Los Angeles Lakers,Utah Jazz,Los Angeles Lakers,Player Double Double,Luka Doncic,NA,0.5,1.43,NA,BetRight,52600643,Luka Doncic,1,288622566,NA
Utah Jazz v Los Angeles Lakers,Utah Jazz,Los Angeles Lakers,Player Double Double,LeBron James,Los Angeles Lakers,0.5,2.3,NA,BetRight,52600644,Lebron James,1,288622567,Utah Jazz
Utah Jazz v Los Angeles Lakers,Utah Jazz,Los Angeles Lakers,Player Double Double,Austin Reaves,Los Angeles Lakers,0.5,5.5,NA,BetRight,52600645,Austin Reaves,1,288622568,Utah Jazz
Utah Jazz v Los Angeles Lakers,Utah Jazz,Los Angeles Lakers,Player Double Double,Ace Bailey,Utah Jazz,0.5,13,NA,BetRight,52619188,Ace Bailey,1,288694417,Los Angeles Lakers
Utah Jazz v Los Angeles Lakers,Utah Jazz,Los Angeles Lakers,Player Double Double,Isaiah Collier,Utah Jazz,0.5,6,NA,BetRight,52619588,Isaiah Collier,1,288695841,Los Angeles Lakers
Phoenix Suns v San Antonio Spurs,Phoenix Suns,San Antonio Spurs,Player Double Double,Harrison Barnes,San Antonio Spurs,0.5,12,NA,BetRight,52599659,Harrison Barnes,1,288618808,Phoenix Suns
Phoenix Suns v San Antonio Spurs,Phoenix Suns,San Antonio Spurs,Player Double Double,De'Aaron Fox,San Antonio Spurs,0.5,2.55,NA,BetRight,52599660,De'Aaron Fox,1,288618809,Phoenix Suns
Phoenix Suns v San Antonio Spurs,Phoenix Suns,San Antonio Spurs,Player Double Double,Devin Vassell,San Antonio Spurs,0.5,10.5,NA,BetRight,52599661,Devin Vassell,1,288618810,Phoenix Suns
Phoenix Suns v San Antonio Spurs,Phoenix Suns,San Antonio Spurs,Player Double Double,Keldon Johnson,San Antonio Spurs,0.5,3.65,NA,BetRight,52619108,Keldon Johnson,1,288693979,Phoenix Suns
Phoenix Suns v San Antonio Spurs,Phoenix Suns,San Antonio Spurs,Player Double Double,Luke Kornet,San Antonio Spurs,0.5,4.4,NA,BetRight,52619179,Luke Kornet,1,288694397,Phoenix Suns
Phoenix Suns v San Antonio Spurs,Phoenix Suns,San Antonio Spurs,Player Double Double,Jeremy Sochan,San Antonio Spurs,0.5,8.5,NA,BetRight,52619180,Jeremy Sochan,1,288694398,Phoenix Suns
