match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,event_id,outcome_name,outcome_id,fixed_market_id,opposition_team,under_price,outcome_name_unders,outcome_id_unders,fixed_market_id_unders
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Scottie Barnes,Toronto Raptors,11.5,1.07,BetRight,56389413,Scottie Barnes 12+,1,304471599,Dallas Mavericks,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Scottie Barnes,Toronto Raptors,14.5,1.24,BetRight,56389413,Scottie Barnes 15+,2,304471598,Dallas Mavericks,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Scottie Barnes,Toronto Raptors,17.5,1.57,BetRight,56389413,Scottie Barnes 18+,3,304471597,Dallas Mavericks,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Scottie Barnes,Toronto Raptors,19.5,2,BetRight,56389413,Scottie Barnes 20+,4,304471601,Dallas Mavericks,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Scottie Barnes,Toronto Raptors,24.5,4.6,BetRight,56389413,Scottie Barnes 25+,5,304471600,Dallas Mavericks,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,R.J. Barrett,NA,11.5,1.08,BetRight,56389414,R.J. Barrett 12+,1,304471604,NA,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,R.J. Barrett,NA,14.5,1.25,BetRight,56389414,R.J. Barrett 15+,2,304471603,NA,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,R.J. Barrett,NA,17.5,1.6,BetRight,56389414,R.J. Barrett 18+,3,304471602,NA,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,R.J. Barrett,NA,19.5,2,BetRight,56389414,R.J. Barrett 20+,4,304471606,NA,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,R.J. Barrett,NA,24.5,4.33,BetRight,56389414,R.J. Barrett 25+,5,304471605,NA,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Brandon Ingram,Toronto Raptors,14.5,1.08,BetRight,56389415,Brandon Ingram 15+,1,304471609,Dallas Mavericks,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Brandon Ingram,Toronto Raptors,17.5,1.24,BetRight,56389415,Brandon Ingram 18+,2,304471608,Dallas Mavericks,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Brandon Ingram,Toronto Raptors,19.5,1.42,BetRight,56389415,Brandon Ingram 20+,3,304471607,Dallas Mavericks,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Brandon Ingram,Toronto Raptors,24.5,2.4,BetRight,56389415,Brandon Ingram 25+,4,304471611,Dallas Mavericks,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Brandon Ingram,Toronto Raptors,29.5,5.5,BetRight,56389415,Brandon Ingram 30+,5,304471610,Dallas Mavericks,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Jakob Poeltl,Toronto Raptors,4.5,1.08,BetRight,56389416,Jakob Poeltl 5+,1,304471616,Dallas Mavericks,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Jakob Poeltl,Toronto Raptors,7.5,1.33,BetRight,56389416,Jakob Poeltl 8+,2,304471615,Dallas Mavericks,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Jakob Poeltl,Toronto Raptors,9.5,1.7,BetRight,56389416,Jakob Poeltl 10+,3,304471614,Dallas Mavericks,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Jakob Poeltl,Toronto Raptors,11.5,2.4,BetRight,56389416,Jakob Poeltl 12+,4,304471613,Dallas Mavericks,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Jakob Poeltl,Toronto Raptors,14.5,4.5,BetRight,56389416,Jakob Poeltl 15+,5,304471612,Dallas Mavericks,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Immanuel Quickley,Toronto Raptors,11.5,1.13,BetRight,56389417,Immanuel Quickley 12+,1,304471619,Dallas Mavericks,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Immanuel Quickley,Toronto Raptors,14.5,1.36,BetRight,56389417,Immanuel Quickley 15+,2,304471618,Dallas Mavericks,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Immanuel Quickley,Toronto Raptors,17.5,1.83,BetRight,56389417,Immanuel Quickley 18+,3,304471617,Dallas Mavericks,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Immanuel Quickley,Toronto Raptors,19.5,2.38,BetRight,56389417,Immanuel Quickley 20+,4,304471621,Dallas Mavericks,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Immanuel Quickley,Toronto Raptors,24.5,5.25,BetRight,56389417,Immanuel Quickley 25+,5,304471620,Dallas Mavericks,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Sandro Mamukelashvili,Toronto Raptors,4.5,1.15,BetRight,56406668,Sandro Mamukelashvili 5+,1,304537264,Dallas Mavericks,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Sandro Mamukelashvili,Toronto Raptors,7.5,1.6,BetRight,56406668,Sandro Mamukelashvili 8+,2,304537265,Dallas Mavericks,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Sandro Mamukelashvili,Toronto Raptors,9.5,2.25,BetRight,56406668,Sandro Mamukelashvili 10+,3,304537266,Dallas Mavericks,NA,NA,NA,NA
Toronto Raptors v Dallas Mavericks,Toronto Raptors,Dallas Mavericks,Player Points,Sandro Mamukelashvili,Toronto Raptors,11.5,3.3,BetRight,56406668,Sandro Mamukelashvili 12+,4,304537267,Dallas Mavericks,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Bam Adebayo,Miami Heat,14.5,1.15,BetRight,56389513,Bam Adebayo 15+,2,304471971,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Bam Adebayo,Miami Heat,17.5,1.4,BetRight,56389513,Bam Adebayo 18+,3,304471969,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Bam Adebayo,Miami Heat,19.5,1.67,BetRight,56389513,Bam Adebayo 20+,4,304471972,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Bam Adebayo,Miami Heat,24.5,3.2,BetRight,56389513,Bam Adebayo 25+,5,304471970,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Bam Adebayo,Miami Heat,29.5,7.5,BetRight,56389513,Bam Adebayo 30+,6,304589789,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Tyler Herro,Miami Heat,17.5,1.17,BetRight,56389514,Tyler Herro 18+,1,304471977,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Tyler Herro,Miami Heat,19.5,1.3,BetRight,56389514,Tyler Herro 20+,2,304471974,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Tyler Herro,Miami Heat,24.5,2,BetRight,56389514,Tyler Herro 25+,3,304471976,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Tyler Herro,Miami Heat,29.5,3.9,BetRight,56389514,Tyler Herro 30+,4,304471975,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Tyler Herro,Miami Heat,34.5,9,BetRight,56389514,Tyler Herro 35+,5,304471973,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Pelle Larsson,Miami Heat,4.5,1.03,BetRight,56389515,Pelle Larsson 5+,1,304471981,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Pelle Larsson,Miami Heat,7.5,1.18,BetRight,56389515,Pelle Larsson 8+,2,304471978,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Pelle Larsson,Miami Heat,9.5,1.42,BetRight,56389515,Pelle Larsson 10+,3,304471980,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Pelle Larsson,Miami Heat,11.5,1.83,BetRight,56389515,Pelle Larsson 12+,4,304471979,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Pelle Larsson,Miami Heat,14.5,3,BetRight,56389515,Pelle Larsson 15+,5,304471982,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Davion Mitchell,Miami Heat,4.5,1.25,BetRight,56389516,Davion Mitchell 5+,1,304471984,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Davion Mitchell,Miami Heat,7.5,1.91,BetRight,56389516,Davion Mitchell 8+,2,304471985,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Davion Mitchell,Miami Heat,9.5,2.8,BetRight,56389516,Davion Mitchell 10+,3,304471983,Detroit Pistons,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Cade Cunningham,Detroit Pistons,17.5,1.11,BetRight,56389518,Cade Cunningham 18+,1,304471994,Miami Heat,NA,NA,NA,NA
Miami Heat v Detroit Pistons,Miami Heat,Detroit Pistons,Player Points,Cade Cunningham,Detroit Pistons,19.5,1.2,BetRight,56389518,Cade Cunningham 20+,2,304471992,Miami Heat,NA,NA,NA,NA
