match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,event_id,outcome_name,outcome_id,fixed_market_id,opposition_team,under_price,outcome_name_unders,outcome_id_unders,fixed_market_id_unders
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,Luguentz Dort,Oklahoma City Thunder,13.5,1.3,BetRight,55328411,Luguentz Dort 14+,1,300161669,Milwaukee Bucks,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,Luguentz Dort,Oklahoma City Thunder,15.5,1.55,BetRight,55328411,Luguentz Dort 16+,2,300161667,Milwaukee Bucks,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,Luguentz Dort,Oklahoma City Thunder,17.5,1.96,BetRight,55328411,Luguentz Dort 18+,3,300161671,Milwaukee Bucks,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,Luguentz Dort,Oklahoma City Thunder,19.5,2.5,BetRight,55328411,Luguentz Dort 20+,4,300161668,Milwaukee Bucks,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,Luguentz Dort,Oklahoma City Thunder,21.5,3.4,BetRight,55328411,Luguentz Dort 22+,5,300161670,Milwaukee Bucks,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,Isaiah Hartenstein,Oklahoma City Thunder,14.5,1.02,BetRight,55328412,Isaiah Hartenstein 15+,1,300161673,Milwaukee Bucks,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,Isaiah Hartenstein,Oklahoma City Thunder,19.5,1.14,BetRight,55328412,Isaiah Hartenstein 20+,2,300161676,Milwaukee Bucks,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,Isaiah Hartenstein,Oklahoma City Thunder,24.5,1.62,BetRight,55328412,Isaiah Hartenstein 25+,3,300161674,Milwaukee Bucks,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,Isaiah Hartenstein,Oklahoma City Thunder,29.5,3.2,BetRight,55328412,Isaiah Hartenstein 30+,4,300161672,Milwaukee Bucks,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,Isaiah Hartenstein,Oklahoma City Thunder,34.5,7.5,BetRight,55328412,Isaiah Hartenstein 35+,5,300161675,Milwaukee Bucks,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,Cason Wallace,Oklahoma City Thunder,9.5,1.02,BetRight,55328413,Cason Wallace 10+,1,300161678,Milwaukee Bucks,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,Cason Wallace,Oklahoma City Thunder,14.5,1.18,BetRight,55328413,Cason Wallace 15+,2,300161680,Milwaukee Bucks,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,Cason Wallace,Oklahoma City Thunder,19.5,1.78,BetRight,55328413,Cason Wallace 20+,3,300161677,Milwaukee Bucks,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,Cason Wallace,Oklahoma City Thunder,24.5,3.5,BetRight,55328413,Cason Wallace 25+,4,300161681,Milwaukee Bucks,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,Cason Wallace,Oklahoma City Thunder,29.5,8.5,BetRight,55328413,Cason Wallace 30+,5,300161679,Milwaukee Bucks,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,Aaron Wiggins,Oklahoma City Thunder,14.5,1.03,BetRight,55328414,Aaron Wiggins 15+,1,300161686,Milwaukee Bucks,NA,NA,NA,NA
Oklahoma City Thunder v Milwaukee Bucks,Oklahoma City Thunder,Milwaukee Bucks,Player PRAs,Aaron Wiggins,Oklahoma City Thunder,19.5,1.22,BetRight,55328414,Aaron Wiggins 20+,2,300161683,Milwaukee Bucks,NA,NA,NA,NA
