match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,event_id,outcome_name,outcome_id,fixed_market_id,opposition_team,under_price,outcome_name_unders,outcome_id_unders,fixed_market_id_unders
Washington Wizards v Los Angeles Lakers,Washington Wizards,Los Angeles Lakers,Player Rebounds,Carlton Carrington,NA,2.5,1.33,BetRight,54801852,Carlton Carrington 3+,1,297959558,NA,NA,NA,NA,NA
Washington Wizards v Los Angeles Lakers,Washington Wizards,Los Angeles Lakers,Player Rebounds,Carlton Carrington,NA,4.5,2.63,BetRight,54801852,Carlton Carrington 5+,2,297959559,NA,NA,NA,NA,NA
Washington Wizards v Los Angeles Lakers,Washington Wizards,Los Angeles Lakers,Player Rebounds,Carlton Carrington,NA,6.5,8,BetRight,54801852,Carlton Carrington 7+,3,297959557,NA,NA,NA,NA,NA
Washington Wizards v Los Angeles Lakers,Washington Wizards,Los Angeles Lakers,Player Rebounds,Bilal Coulibaly,Washington Wizards,2.5,1.15,BetRight,54801853,Bilal Coulibaly 3+,1,297959562,Los Angeles Lakers,NA,NA,NA,NA
Washington Wizards v Los Angeles Lakers,Washington Wizards,Los Angeles Lakers,Player Rebounds,Bilal Coulibaly,Washington Wizards,4.5,1.8,BetRight,54801853,Bilal Coulibaly 5+,2,297959560,Los Angeles Lakers,NA,NA,NA,NA
Washington Wizards v Los Angeles Lakers,Washington Wizards,Los Angeles Lakers,Player Rebounds,Bilal Coulibaly,Washington Wizards,6.5,3.9,BetRight,54801853,Bilal Coulibaly 7+,3,297959561,Los Angeles Lakers,NA,NA,NA,NA
Washington Wizards v Los Angeles Lakers,Washington Wizards,Los Angeles Lakers,Player Rebounds,Kyshawn George,Washington Wizards,4.5,1.32,BetRight,54801854,Kyshawn George 5+,1,297959566,Los Angeles Lakers,NA,NA,NA,NA
Washington Wizards v Los Angeles Lakers,Washington Wizards,Los Angeles Lakers,Player Rebounds,Kyshawn George,Washington Wizards,6.5,2.2,BetRight,54801854,Kyshawn George 7+,2,297959563,Los Angeles Lakers,NA,NA,NA,NA
Washington Wizards v Los Angeles Lakers,Washington Wizards,Los Angeles Lakers,Player Rebounds,Kyshawn George,Washington Wizards,9.5,8,BetRight,54801854,Kyshawn George 10+,3,297959565,Los Angeles Lakers,NA,NA,NA,NA
Washington Wizards v Los Angeles Lakers,Washington Wizards,Los Angeles Lakers,Player Rebounds,Kyshawn George,Washington Wizards,11.5,21,BetRight,54801854,Kyshawn George 12+,4,297959564,Los Angeles Lakers,NA,NA,NA,NA
Washington Wizards v Los Angeles Lakers,Washington Wizards,Los Angeles Lakers,Player Rebounds,Alex Sarr,Washington Wizards,4.5,1.06,BetRight,54801855,Alexandre Sarr 5+,1,297959569,Los Angeles Lakers,NA,NA,NA,NA
Washington Wizards v Los Angeles Lakers,Washington Wizards,Los Angeles Lakers,Player Rebounds,Alex Sarr,Washington Wizards,6.5,1.3,BetRight,54801855,Alexandre Sarr 7+,2,297959570,Los Angeles Lakers,NA,NA,NA,NA
Washington Wizards v Los Angeles Lakers,Washington Wizards,Los Angeles Lakers,Player Rebounds,Alex Sarr,Washington Wizards,9.5,2.63,BetRight,54801855,Alexandre Sarr 10+,3,297959568,Los Angeles Lakers,NA,NA,NA,NA
Washington Wizards v Los Angeles Lakers,Washington Wizards,Los Angeles Lakers,Player Rebounds,Alex Sarr,Washington Wizards,11.5,5.25,BetRight,54801855,Alexandre Sarr 12+,4,297959567,Los Angeles Lakers,NA,NA,NA,NA
