match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,event_id,outcome_name,outcome_id,fixed_market_id,opposition_team,under_price,outcome_name_unders,outcome_id_unders,fixed_market_id_unders
Boston Celtics v Golden State Warriors,Boston Celtics,Golden State Warriors,Player Steals,De'Anthony Melton,Golden State Warriors,0.5,1.33,BetRight,56848687,De'Anthony Melton 1+,1,306454086,Boston Celtics,NA,NA,NA,NA
Boston Celtics v Golden State Warriors,Boston Celtics,Golden State Warriors,Player Steals,De'Anthony Melton,Golden State Warriors,1.5,2.4,BetRight,56848687,De'Anthony Melton 2+,2,306454085,Boston Celtics,NA,NA,NA,NA
Boston Celtics v Golden State Warriors,Boston Celtics,Golden State Warriors,Player Steals,De'Anthony Melton,Golden State Warriors,2.5,5,BetRight,56848687,De'Anthony Melton 3+,3,306454087,Boston Celtics,NA,NA,NA,NA
Brooklyn Nets v Oklahoma City Thunder,Brooklyn Nets,Oklahoma City Thunder,Player Steals,Ajay Mitchell,Oklahoma City Thunder,0.5,1.26,BetRight,56843092,Ajay Mitchell 1+,1,306430672,Brooklyn Nets,NA,NA,NA,NA
Brooklyn Nets v Oklahoma City Thunder,Brooklyn Nets,Oklahoma City Thunder,Player Steals,Ajay Mitchell,Oklahoma City Thunder,1.5,2.25,BetRight,56843092,Ajay Mitchell 2+,2,306430671,Brooklyn Nets,NA,NA,NA,NA
Brooklyn Nets v Oklahoma City Thunder,Brooklyn Nets,Oklahoma City Thunder,Player Steals,Ajay Mitchell,Oklahoma City Thunder,2.5,4.75,BetRight,56843092,Ajay Mitchell 3+,3,306430673,Brooklyn Nets,NA,NA,NA,NA
Brooklyn Nets v Oklahoma City Thunder,Brooklyn Nets,Oklahoma City Thunder,Player Steals,Cason Wallace,Oklahoma City Thunder,0.5,1.1,BetRight,56863909,Cason Wallace 1+,1,306516046,Brooklyn Nets,NA,NA,NA,NA
Brooklyn Nets v Oklahoma City Thunder,Brooklyn Nets,Oklahoma City Thunder,Player Steals,Cason Wallace,Oklahoma City Thunder,1.5,1.5,BetRight,56863909,Cason Wallace 2+,2,306516044,Brooklyn Nets,NA,NA,NA,NA
Brooklyn Nets v Oklahoma City Thunder,Brooklyn Nets,Oklahoma City Thunder,Player Steals,Cason Wallace,Oklahoma City Thunder,2.5,2.4,BetRight,56863909,Cason Wallace 3+,3,306516045,Brooklyn Nets,NA,NA,NA,NA
New Orleans Pelicans v Los Angeles Clippers,New Orleans Pelicans,Los Angeles Clippers,Player Steals,Herb Jones,NA,0.5,1.25,BetRight,56844394,Herb Jones 1+,1,306435761,NA,NA,NA,NA,NA
New Orleans Pelicans v Los Angeles Clippers,New Orleans Pelicans,Los Angeles Clippers,Player Steals,Herb Jones,NA,1.5,2.1,BetRight,56844394,Herb Jones 2+,2,306435763,NA,NA,NA,NA,NA
New Orleans Pelicans v Los Angeles Clippers,New Orleans Pelicans,Los Angeles Clippers,Player Steals,Herb Jones,NA,2.5,4.1,BetRight,56844394,Herb Jones 3+,3,306435762,NA,NA,NA,NA,NA
New Orleans Pelicans v Los Angeles Clippers,New Orleans Pelicans,Los Angeles Clippers,Player Steals,Trey Murphy III,New Orleans Pelicans,0.5,1.3,BetRight,56844395,Trey Murphy III 1+,1,306435766,Los Angeles Clippers,NA,NA,NA,NA
New Orleans Pelicans v Los Angeles Clippers,New Orleans Pelicans,Los Angeles Clippers,Player Steals,Trey Murphy III,New Orleans Pelicans,1.5,2.3,BetRight,56844395,Trey Murphy III 2+,2,306435765,Los Angeles Clippers,NA,NA,NA,NA
New Orleans Pelicans v Los Angeles Clippers,New Orleans Pelicans,Los Angeles Clippers,Player Steals,Trey Murphy III,New Orleans Pelicans,2.5,5,BetRight,56844395,Trey Murphy III 3+,3,306435764,Los Angeles Clippers,NA,NA,NA,NA
New Orleans Pelicans v Los Angeles Clippers,New Orleans Pelicans,Los Angeles Clippers,Player Steals,Dejounte Murray,New Orleans Pelicans,0.5,1.22,BetRight,56844396,Dejounte Murray 1+,1,306435769,Los Angeles Clippers,NA,NA,NA,NA
New Orleans Pelicans v Los Angeles Clippers,New Orleans Pelicans,Los Angeles Clippers,Player Steals,Dejounte Murray,New Orleans Pelicans,1.5,2,BetRight,56844396,Dejounte Murray 2+,2,306435767,Los Angeles Clippers,NA,NA,NA,NA
New Orleans Pelicans v Los Angeles Clippers,New Orleans Pelicans,Los Angeles Clippers,Player Steals,Dejounte Murray,New Orleans Pelicans,2.5,4,BetRight,56844396,Dejounte Murray 3+,3,306435768,Los Angeles Clippers,NA,NA,NA,NA
New Orleans Pelicans v Los Angeles Clippers,New Orleans Pelicans,Los Angeles Clippers,Player Steals,Kris Dunn,Los Angeles Clippers,0.5,1.21,BetRight,56844804,Kris Dunn 1+,1,306437194,New Orleans Pelicans,NA,NA,NA,NA
New Orleans Pelicans v Los Angeles Clippers,New Orleans Pelicans,Los Angeles Clippers,Player Steals,Kris Dunn,Los Angeles Clippers,1.5,1.91,BetRight,56844804,Kris Dunn 2+,2,306437193,New Orleans Pelicans,NA,NA,NA,NA
New Orleans Pelicans v Los Angeles Clippers,New Orleans Pelicans,Los Angeles Clippers,Player Steals,Kris Dunn,Los Angeles Clippers,2.5,3.6,BetRight,56844804,Kris Dunn 3+,3,306437195,New Orleans Pelicans,NA,NA,NA,NA
New Orleans Pelicans v Los Angeles Clippers,New Orleans Pelicans,Los Angeles Clippers,Player Steals,Kawhi Leonard,Los Angeles Clippers,0.5,1.2,BetRight,56844807,Kawhi Leonard 1+,1,306437198,New Orleans Pelicans,NA,NA,NA,NA
New Orleans Pelicans v Los Angeles Clippers,New Orleans Pelicans,Los Angeles Clippers,Player Steals,Kawhi Leonard,Los Angeles Clippers,1.5,1.86,BetRight,56844807,Kawhi Leonard 2+,2,306437197,New Orleans Pelicans,NA,NA,NA,NA
New Orleans Pelicans v Los Angeles Clippers,New Orleans Pelicans,Los Angeles Clippers,Player Steals,Kawhi Leonard,Los Angeles Clippers,2.5,3.5,BetRight,56844807,Kawhi Leonard 3+,3,306437196,New Orleans Pelicans,NA,NA,NA,NA
Chicago Bulls v Toronto Raptors,Chicago Bulls,Toronto Raptors,Player Steals,Scottie Barnes,Toronto Raptors,0.5,1.26,BetRight,56844326,Scottie Barnes 1+,1,306435525,Chicago Bulls,NA,NA,NA,NA
Chicago Bulls v Toronto Raptors,Chicago Bulls,Toronto Raptors,Player Steals,Scottie Barnes,Toronto Raptors,1.5,2.1,BetRight,56844326,Scottie Barnes 2+,2,306435526,Chicago Bulls,NA,NA,NA,NA
Chicago Bulls v Toronto Raptors,Chicago Bulls,Toronto Raptors,Player Steals,Scottie Barnes,Toronto Raptors,2.5,4.33,BetRight,56844326,Scottie Barnes 3+,3,306435524,Chicago Bulls,NA,NA,NA,NA
Chicago Bulls v Toronto Raptors,Chicago Bulls,Toronto Raptors,Player Steals,Immanuel Quickley,Toronto Raptors,0.5,1.3,BetRight,56844327,Immanuel Quickley 1+,1,306435528,Chicago Bulls,NA,NA,NA,NA
Chicago Bulls v Toronto Raptors,Chicago Bulls,Toronto Raptors,Player Steals,Immanuel Quickley,Toronto Raptors,1.5,2.25,BetRight,56844327,Immanuel Quickley 2+,2,306435527,Chicago Bulls,NA,NA,NA,NA
Chicago Bulls v Toronto Raptors,Chicago Bulls,Toronto Raptors,Player Steals,Immanuel Quickley,Toronto Raptors,2.5,4.75,BetRight,56844327,Immanuel Quickley 3+,3,306435529,Chicago Bulls,NA,NA,NA,NA
Minnesota Timberwolves v Utah Jazz,Minnesota Timberwolves,Utah Jazz,Player Steals,Donte DiVincenzo,Minnesota Timberwolves,0.5,1.26,BetRight,56844814,Donte DiVincenzo 1+,1,306437225,Utah Jazz,NA,NA,NA,NA
Minnesota Timberwolves v Utah Jazz,Minnesota Timberwolves,Utah Jazz,Player Steals,Donte DiVincenzo,Minnesota Timberwolves,1.5,2.2,BetRight,56844814,Donte DiVincenzo 2+,2,306437223,Utah Jazz,NA,NA,NA,NA
