match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,event_id,outcome_name,outcome_id,fixed_market_id,opposition_team,under_price,outcome_name_unders,outcome_id_unders,fixed_market_id_unders
Toronto Raptors v Milwaukee Bucks,Toronto Raptors,Milwaukee Bucks,Player Threes,Scottie Barnes,Toronto Raptors,0.5,1.53,BetRight,51361923,Scottie Barnes 1+,1,283447353,Milwaukee Bucks,NA,NA,NA,NA
Toronto Raptors v Milwaukee Bucks,Toronto Raptors,Milwaukee Bucks,Player Threes,Scottie Barnes,Toronto Raptors,1.5,3.4,BetRight,51361923,Scottie Barnes 2+,2,283447354,Milwaukee Bucks,NA,NA,NA,NA
Toronto Raptors v Milwaukee Bucks,Toronto Raptors,Milwaukee Bucks,Player Threes,R.J. Barrett,NA,0.5,1.14,BetRight,51361924,R.J. Barrett 1+,1,283447355,NA,NA,NA,NA,NA
Toronto Raptors v Milwaukee Bucks,Toronto Raptors,Milwaukee Bucks,Player Threes,R.J. Barrett,NA,1.5,1.62,BetRight,51361924,R.J. Barrett 2+,2,283447356,NA,NA,NA,NA,NA
Toronto Raptors v Milwaukee Bucks,Toronto Raptors,Milwaukee Bucks,Player Threes,R.J. Barrett,NA,2.5,2.9,BetRight,51361924,R.J. Barrett 3+,3,283447357,NA,NA,NA,NA,NA
Toronto Raptors v Milwaukee Bucks,Toronto Raptors,Milwaukee Bucks,Player Threes,Brandon Ingram,Toronto Raptors,0.5,1.15,BetRight,51361925,Brandon Ingram 1+,1,283447358,Milwaukee Bucks,NA,NA,NA,NA
Toronto Raptors v Milwaukee Bucks,Toronto Raptors,Milwaukee Bucks,Player Threes,Brandon Ingram,Toronto Raptors,1.5,1.68,BetRight,51361925,Brandon Ingram 2+,2,283447359,Milwaukee Bucks,NA,NA,NA,NA
Toronto Raptors v Milwaukee Bucks,Toronto Raptors,Milwaukee Bucks,Player Threes,Brandon Ingram,Toronto Raptors,2.5,3,BetRight,51361925,Brandon Ingram 3+,3,283447360,Milwaukee Bucks,NA,NA,NA,NA
Toronto Raptors v Milwaukee Bucks,Toronto Raptors,Milwaukee Bucks,Player Threes,Immanuel Quickley,Toronto Raptors,1.5,1.22,BetRight,51361926,Immanuel Quickley 2+,1,283447361,Milwaukee Bucks,NA,NA,NA,NA
Toronto Raptors v Milwaukee Bucks,Toronto Raptors,Milwaukee Bucks,Player Threes,Immanuel Quickley,Toronto Raptors,2.5,1.68,BetRight,51361926,Immanuel Quickley 3+,2,283447362,Milwaukee Bucks,NA,NA,NA,NA
Toronto Raptors v Milwaukee Bucks,Toronto Raptors,Milwaukee Bucks,Player Threes,Immanuel Quickley,Toronto Raptors,3.5,2.63,BetRight,51361926,Immanuel Quickley 4+,3,283447363,Milwaukee Bucks,NA,NA,NA,NA
Toronto Raptors v Milwaukee Bucks,Toronto Raptors,Milwaukee Bucks,Player Threes,Giannis Antetokounmpo,Milwaukee Bucks,0.5,1.85,BetRight,51361927,Giannis Antetokounmpo 1+,1,283447364,Toronto Raptors,NA,NA,NA,NA
Toronto Raptors v Milwaukee Bucks,Toronto Raptors,Milwaukee Bucks,Player Threes,AJ Green,Milwaukee Bucks,1.5,1.33,BetRight,51361928,AJ Green 2+,1,283447365,Toronto Raptors,NA,NA,NA,NA
Toronto Raptors v Milwaukee Bucks,Toronto Raptors,Milwaukee Bucks,Player Threes,AJ Green,Milwaukee Bucks,2.5,1.98,BetRight,51361928,AJ Green 3+,2,283447366,Toronto Raptors,NA,NA,NA,NA
Toronto Raptors v Milwaukee Bucks,Toronto Raptors,Milwaukee Bucks,Player Threes,AJ Green,Milwaukee Bucks,3.5,3.5,BetRight,51361928,AJ Green 4+,3,283447367,Toronto Raptors,NA,NA,NA,NA
