match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,event_id,outcome_name,outcome_id,fixed_market_id,opposition_team
San Antonio Spurs v Atlanta Hawks,San Antonio Spurs,Atlanta Hawks,Player Triple Double,De'Aaron Fox,San Antonio Spurs,0.5,17,NA,BetRight,52485799,De'Aaron Fox,1,288161987,Atlanta Hawks
San Antonio Spurs v Atlanta Hawks,San Antonio Spurs,Atlanta Hawks,Player Triple Double,Luke Kornet,San Antonio Spurs,0.5,19,NA,BetRight,52485800,Luke Kornet,1,288161988,Atlanta Hawks
San Antonio Spurs v Atlanta Hawks,San Antonio Spurs,Atlanta Hawks,Player Triple Double,Kelly Olynyk,San Antonio Spurs,0.5,19,NA,BetRight,52485801,Kelly Olynyk,1,288161989,Atlanta Hawks
San Antonio Spurs v Atlanta Hawks,San Antonio Spurs,Atlanta Hawks,Player Triple Double,Jeremy Sochan,San Antonio Spurs,0.5,19,NA,BetRight,52485802,Jeremy Sochan,1,288161990,Atlanta Hawks
San Antonio Spurs v Atlanta Hawks,San Antonio Spurs,Atlanta Hawks,Player Triple Double,Devin Vassell,San Antonio Spurs,0.5,19,NA,BetRight,52485803,Devin Vassell,1,288161991,Atlanta Hawks
San Antonio Spurs v Atlanta Hawks,San Antonio Spurs,Atlanta Hawks,Player Triple Double,Dyson Daniels,Atlanta Hawks,0.5,12,NA,BetRight,52485805,Dyson Daniels,1,288161993,San Antonio Spurs
San Antonio Spurs v Atlanta Hawks,San Antonio Spurs,Atlanta Hawks,Player Triple Double,Jalen Johnson,Atlanta Hawks,0.5,4.6,NA,BetRight,52485806,Jalen Johnson,1,288161994,San Antonio Spurs
San Antonio Spurs v Atlanta Hawks,San Antonio Spurs,Atlanta Hawks,Player Triple Double,Kristaps Porzingis,NA,0.5,19,NA,BetRight,52485807,Kristaps Porzingis,1,288161995,NA
Milwaukee Bucks v Philadelphia 76ers,Milwaukee Bucks,Philadelphia 76ers,Player Triple Double,Cole Anthony,Milwaukee Bucks,0.5,19,NA,BetRight,52485945,Cole Anthony,1,288162436,Philadelphia 76ers
Milwaukee Bucks v Philadelphia 76ers,Milwaukee Bucks,Philadelphia 76ers,Player Triple Double,Ryan Rollins,Milwaukee Bucks,0.5,17,NA,BetRight,52485947,Ryan Rollins,1,288162438,Philadelphia 76ers
Milwaukee Bucks v Philadelphia 76ers,Milwaukee Bucks,Philadelphia 76ers,Player Triple Double,VJ Edgecombe,Philadelphia 76ers,0.5,19,NA,BetRight,52485950,VJ Edgecombe,1,288162441,Milwaukee Bucks
Milwaukee Bucks v Philadelphia 76ers,Milwaukee Bucks,Philadelphia 76ers,Player Triple Double,Tyrese Maxey,Philadelphia 76ers,0.5,13,NA,BetRight,52485953,Tyrese Maxey,1,288162444,Milwaukee Bucks
Memphis Grizzlies v Sacramento Kings,Memphis Grizzlies,Sacramento Kings,Player Triple Double,Santi Aldama,Memphis Grizzlies,0.5,19,NA,BetRight,52485618,Santi Aldama,1,288161275,Sacramento Kings
Memphis Grizzlies v Sacramento Kings,Memphis Grizzlies,Sacramento Kings,Player Triple Double,Cedric Coward,Memphis Grizzlies,0.5,19,NA,BetRight,52485619,Cedric Coward,1,288161276,Sacramento Kings
Memphis Grizzlies v Sacramento Kings,Memphis Grizzlies,Sacramento Kings,Player Triple Double,Vince Williams Jr.,Memphis Grizzlies,0.5,17,NA,BetRight,52485620,Vince Williams Jr.,1,288161277,Sacramento Kings
Memphis Grizzlies v Sacramento Kings,Memphis Grizzlies,Sacramento Kings,Player Triple Double,DeMar DeRozan,Sacramento Kings,0.5,19,NA,BetRight,52485621,DeMar DeRozan,1,288161278,Memphis Grizzlies
Memphis Grizzlies v Sacramento Kings,Memphis Grizzlies,Sacramento Kings,Player Triple Double,Russell Westbrook,Sacramento Kings,0.5,4.8,NA,BetRight,52485624,Russell Westbrook,1,288161281,Memphis Grizzlies
Memphis Grizzlies v Sacramento Kings,Memphis Grizzlies,Sacramento Kings,Player Triple Double,Dennis Schröder,Sacramento Kings,0.5,19,NA,BetRight,52502135,Dennis Schröder,1,288224473,Memphis Grizzlies
