match,start_time,market_name,home_team,home_win,away_team,away_win,margin,agency
Charlotte Hornets v Memphis Grizzlies,2025-04-08T23:00:00.0000000Z,Head To Head,Charlotte Hornets,7.5,Memphis Grizzlies,1.09,1.051,Betr
Cleveland Cavaliers v Chicago Bulls,2025-04-08T23:00:00.0000000Z,Head To Head,Cleveland Cavaliers,1.14,Chicago Bulls,5.75,1.051,Betr
Indiana Pacers v Washington Wizards,2025-04-08T23:00:00.0000000Z,Head To Head,Indiana Pacers,1.04,Washington Wizards,11.25,1.05,Betr
Orlando Magic v Atlanta Hawks,2025-04-08T23:00:00.0000000Z,Head To Head,Orlando Magic,1.56,Atlanta Hawks,2.45,1.049,Betr
Brooklyn Nets v New Orleans Pelicans,2025-04-08T23:30:00.0000000Z,Head To Head,Brooklyn Nets,1.66,New Orleans Pelicans,2.25,1.047,Betr
New York Knicks v Boston Celtics,2025-04-08T23:30:00.0000000Z,Head To Head,New York Knicks,1.81,Boston Celtics,2,1.052,Betr
Oklahoma City Thunder v Los Angeles Lakers,2025-04-09T00:00:00.0000000Z,Head To Head,Oklahoma City Thunder,1.1,Los Angeles Lakers,7,1.052,Betr
Milwaukee Bucks v Minnesota Timberwolves,2025-04-09T00:00:00.0000000Z,Head To Head,Milwaukee Bucks,2.7,Minnesota Timberwolves,1.47,1.051,Betr
Phoenix Suns v Golden State Warriors,2025-04-09T02:00:00.0000000Z,Head To Head,Phoenix Suns,4.35,Golden State Warriors,1.22,1.05,Betr
Los Angeles Clippers v San Antonio Spurs,2025-04-09T02:30:00.0000000Z,Head To Head,Los Angeles Clippers,1.11,San Antonio Spurs,6.75,1.049,Betr
