match,home_team,away_team,market_name,player_name,outcome_name,player_team,line,over_price,agency,opposition_team,under_price
New York Knicks v Boston Celtics,New York Knicks,Boston Celtics,Player Assists,OG Anunoby,Player assists - O.G. Anunoby 4+ (Match),New York Knicks,3.5,8.5,Betr,Boston Celtics,NA
New York Knicks v Boston Celtics,New York Knicks,Boston Celtics,Player Assists,OG Anunoby,Player assists - O.G. Anunoby 5+ (Match),New York Knicks,4.5,18,Betr,Boston Celtics,NA
New York Knicks v Boston Celtics,New York Knicks,Boston Celtics,Player Assists,OG Anunoby,Player assists - O.G. Anunoby 8+ (Match),New York Knicks,7.5,46,Betr,Boston Celtics,NA
New York Knicks v Boston Celtics,New York Knicks,Boston Celtics,Player Assists,Mikal Bridges,Player assists - Mikal Bridges 4+ (Match),New York Knicks,3.5,2.1,Betr,Boston Celtics,NA
New York Knicks v Boston Celtics,New York Knicks,Boston Celtics,Player Assists,Mikal Bridges,Player assists - Mikal Bridges 5+ (Match),New York Knicks,4.5,3.4,Betr,Boston Celtics,NA
New York Knicks v Boston Celtics,New York Knicks,Boston Celtics,Player Assists,Mikal Bridges,Player assists - Mikal Bridges 8+ (Match),New York Knicks,7.5,19,Betr,Boston Celtics,NA
New York Knicks v Boston Celtics,New York Knicks,Boston Celtics,Player Assists,Jalen Brunson,Player assists - Jalen Brunson 10+ (Match),New York Knicks,9.5,6,Betr,Boston Celtics,NA
New York Knicks v Boston Celtics,New York Knicks,Boston Celtics,Player Assists,Jalen Brunson,Player assists - Jalen Brunson 4+ (Match),New York Knicks,3.5,1.12,Betr,Boston Celtics,NA
New York Knicks v Boston Celtics,New York Knicks,Boston Celtics,Player Assists,Jalen Brunson,Player assists - Jalen Brunson 5+ (Match),New York Knicks,4.5,1.3,Betr,Boston Celtics,NA
New York Knicks v Boston Celtics,New York Knicks,Boston Celtics,Player Assists,Jalen Brunson,Player assists - Jalen Brunson 8+ (Match),New York Knicks,7.5,2.85,Betr,Boston Celtics,NA
New York Knicks v Boston Celtics,New York Knicks,Boston Celtics,Player Assists,Josh Hart,Player assists - Josh Hart 10+ (Match),New York Knicks,9.5,17,Betr,Boston Celtics,NA
New York Knicks v Boston Celtics,New York Knicks,Boston Celtics,Player Assists,Josh Hart,Player assists - Josh Hart 4+ (Match),New York Knicks,3.5,1.38,Betr,Boston Celtics,NA
New York Knicks v Boston Celtics,New York Knicks,Boston Celtics,Player Assists,Josh Hart,Player assists - Josh Hart 5+ (Match),New York Knicks,4.5,1.8,Betr,Boston Celtics,NA
New York Knicks v Boston Celtics,New York Knicks,Boston Celtics,Player Assists,Josh Hart,Player assists - Josh Hart 8+ (Match),New York Knicks,7.5,6.25,Betr,Boston Celtics,NA
New York Knicks v Boston Celtics,New York Knicks,Boston Celtics,Player Assists,Karl-Anthony Towns,Player assists - K. Towns 4+ (Match),New York Knicks,3.5,5.5,Betr,Boston Celtics,NA
New York Knicks v Boston Celtics,New York Knicks,Boston Celtics,Player Assists,Karl-Anthony Towns,Player assists - K. Towns 5+ (Match),New York Knicks,4.5,11,Betr,Boston Celtics,NA
New York Knicks v Boston Celtics,New York Knicks,Boston Celtics,Player Assists,Karl-Anthony Towns,Player assists - K. Towns 8+ (Match),New York Knicks,7.5,41,Betr,Boston Celtics,NA
New York Knicks v Boston Celtics,New York Knicks,Boston Celtics,Player Assists,Jaylen Brown,Player assists - J. Brown 4+ (Match),Boston Celtics,3.5,2.05,Betr,New York Knicks,NA
New York Knicks v Boston Celtics,New York Knicks,Boston Celtics,Player Assists,Jaylen Brown,Player assists - J. Brown 5+ (Match),Boston Celtics,4.5,3.3,Betr,New York Knicks,NA
New York Knicks v Boston Celtics,New York Knicks,Boston Celtics,Player Assists,Jaylen Brown,Player assists - J. Brown 8+ (Match),Boston Celtics,7.5,18,Betr,New York Knicks,NA
New York Knicks v Boston Celtics,New York Knicks,Boston Celtics,Player Assists,Jrue Holiday,Player assists - Jrue Holiday 4+ (Match),Boston Celtics,3.5,1.91,Betr,New York Knicks,NA
New York Knicks v Boston Celtics,New York Knicks,Boston Celtics,Player Assists,Jrue Holiday,Player assists - Jrue Holiday 5+ (Match),Boston Celtics,4.5,2.9,Betr,New York Knicks,NA
New York Knicks v Boston Celtics,New York Knicks,Boston Celtics,Player Assists,Jrue Holiday,Player assists - Jrue Holiday 8+ (Match),Boston Celtics,7.5,15,Betr,New York Knicks,NA
New York Knicks v Boston Celtics,New York Knicks,Boston Celtics,Player Assists,Al Horford,Player assists - A. Horford 4+ (Match),Boston Celtics,3.5,4.5,Betr,New York Knicks,NA
New York Knicks v Boston Celtics,New York Knicks,Boston Celtics,Player Assists,Al Horford,Player assists - A. Horford 5+ (Match),Boston Celtics,4.5,9,Betr,New York Knicks,NA
New York Knicks v Boston Celtics,New York Knicks,Boston Celtics,Player Assists,Al Horford,Player assists - A. Horford 8+ (Match),Boston Celtics,7.5,41,Betr,New York Knicks,NA
