match,home_team,away_team,market_name,player_name,outcome_name,player_team,line,over_price,agency,opposition_team,under_price
Detroit Pistons v New York Knicks,Detroit Pistons,New York Knicks,Player Blocks,Cade Cunningham,Player blocks - Cade Cunningham 1+ (Match),Detroit Pistons,0.5,1.56,Betr,New York Knicks,NA
Detroit Pistons v New York Knicks,Detroit Pistons,New York Knicks,Player Blocks,Cade Cunningham,Player blocks - Cade Cunningham 2+ (Match),Detroit Pistons,1.5,3.6,Betr,New York Knicks,NA
Detroit Pistons v New York Knicks,Detroit Pistons,New York Knicks,Player Blocks,Jalen Duren,Player blocks - Jalen Duren 1+ (Match),Detroit Pistons,0.5,1.22,Betr,New York Knicks,NA
Detroit Pistons v New York Knicks,Detroit Pistons,New York Knicks,Player Blocks,Jalen Duren,Player blocks - Jalen Duren 2+ (Match),Detroit Pistons,1.5,1.95,Betr,New York Knicks,NA
Detroit Pistons v New York Knicks,Detroit Pistons,New York Knicks,Player Blocks,Tobias Harris,Player blocks - T. Harris 1+ (Match),Detroit Pistons,0.5,1.56,Betr,New York Knicks,NA
Detroit Pistons v New York Knicks,Detroit Pistons,New York Knicks,Player Blocks,Tobias Harris,Player blocks - T. Harris 2+ (Match),Detroit Pistons,1.5,3.5,Betr,New York Knicks,NA
Detroit Pistons v New York Knicks,Detroit Pistons,New York Knicks,Player Blocks,OG Anunoby,Player blocks - O.G. Anunoby 1+ (Match),New York Knicks,0.5,1.43,Betr,Detroit Pistons,NA
Detroit Pistons v New York Knicks,Detroit Pistons,New York Knicks,Player Blocks,OG Anunoby,Player blocks - O.G. Anunoby 2+ (Match),New York Knicks,1.5,3,Betr,Detroit Pistons,NA
Detroit Pistons v New York Knicks,Detroit Pistons,New York Knicks,Player Blocks,Mikal Bridges,Player blocks - Mikal Bridges 1+ (Match),New York Knicks,0.5,1.61,Betr,Detroit Pistons,NA
Detroit Pistons v New York Knicks,Detroit Pistons,New York Knicks,Player Blocks,Mikal Bridges,Player blocks - Mikal Bridges 2+ (Match),New York Knicks,1.5,3.8,Betr,Detroit Pistons,NA
Detroit Pistons v New York Knicks,Detroit Pistons,New York Knicks,Player Blocks,Karl-Anthony Towns,Player blocks - K. Towns 1+ (Match),New York Knicks,0.5,1.4,Betr,Detroit Pistons,NA
Detroit Pistons v New York Knicks,Detroit Pistons,New York Knicks,Player Blocks,Karl-Anthony Towns,Player blocks - K. Towns 2+ (Match),New York Knicks,1.5,2.8,Betr,Detroit Pistons,NA
Detroit Pistons v New York Knicks,Detroit Pistons,New York Knicks,Player Blocks,Ausar Thompson,Player blocks - Ausar Thompson 1+ (Match),Detroit Pistons,0.5,1.91,Betr,New York Knicks,NA
Detroit Pistons v New York Knicks,Detroit Pistons,New York Knicks,Player Blocks,Ausar Thompson,Player blocks - Ausar Thompson 2+ (Match),Detroit Pistons,1.5,5.35,Betr,New York Knicks,NA
Detroit Pistons v New York Knicks,Detroit Pistons,New York Knicks,Player Blocks,Josh Hart,Player blocks - Josh Hart 1+ (Match),New York Knicks,0.5,2.15,Betr,Detroit Pistons,NA
Detroit Pistons v New York Knicks,Detroit Pistons,New York Knicks,Player Blocks,Mitchell Robinson,Player blocks - M. Robinson 1+ (Match),New York Knicks,0.5,1.51,Betr,Detroit Pistons,NA
Detroit Pistons v New York Knicks,Detroit Pistons,New York Knicks,Player Blocks,Mitchell Robinson,Player blocks - M. Robinson 2+ (Match),New York Knicks,1.5,3.3,Betr,Detroit Pistons,NA
Los Angeles Clippers v Denver Nuggets,Los Angeles Clippers,Denver Nuggets,Player Blocks,James Harden,Player blocks - J. Harden 1+ (Match),Los Angeles Clippers,0.5,1.51,Betr,Denver Nuggets,NA
Los Angeles Clippers v Denver Nuggets,Los Angeles Clippers,Denver Nuggets,Player Blocks,James Harden,Player blocks - J. Harden 2+ (Match),Los Angeles Clippers,1.5,3.3,Betr,Denver Nuggets,NA
Los Angeles Clippers v Denver Nuggets,Los Angeles Clippers,Denver Nuggets,Player Blocks,Kawhi Leonard,Player blocks - Kawhi Leonard 1+ (Match),Los Angeles Clippers,0.5,1.95,Betr,Denver Nuggets,NA
Los Angeles Clippers v Denver Nuggets,Los Angeles Clippers,Denver Nuggets,Player Blocks,Kawhi Leonard,Player blocks - Kawhi Leonard 2+ (Match),Los Angeles Clippers,1.5,5.6,Betr,Denver Nuggets,NA
Los Angeles Clippers v Denver Nuggets,Los Angeles Clippers,Denver Nuggets,Player Blocks,Ivica Zubac,Player blocks - Ivica Zubac 1+ (Match),Los Angeles Clippers,0.5,1.4,Betr,Denver Nuggets,NA
Los Angeles Clippers v Denver Nuggets,Los Angeles Clippers,Denver Nuggets,Player Blocks,Ivica Zubac,Player blocks - Ivica Zubac 2+ (Match),Los Angeles Clippers,1.5,2.8,Betr,Denver Nuggets,NA
Los Angeles Clippers v Denver Nuggets,Los Angeles Clippers,Denver Nuggets,Player Blocks,NA,Player blocks - Nikola Jokic 1+ (Match),NA,0.5,1.74,Betr,NA,NA
Los Angeles Clippers v Denver Nuggets,Los Angeles Clippers,Denver Nuggets,Player Blocks,NA,Player blocks - Nikola Jokic 2+ (Match),NA,1.5,4.4,Betr,NA,NA
Los Angeles Clippers v Denver Nuggets,Los Angeles Clippers,Denver Nuggets,Player Blocks,Michael Porter Jr.,Player blocks - M. Porter Jr. 1+ (Match),Denver Nuggets,0.5,2.3,Betr,Los Angeles Clippers,NA
Los Angeles Clippers v Denver Nuggets,Los Angeles Clippers,Denver Nuggets,Player Blocks,Michael Porter Jr.,Player blocks - M. Porter Jr. 2+ (Match),Denver Nuggets,1.5,7.25,Betr,Los Angeles Clippers,NA
Los Angeles Clippers v Denver Nuggets,Los Angeles Clippers,Denver Nuggets,Player Blocks,Kris Dunn,Player blocks - K. Dunn 1+ (Match),Los Angeles Clippers,0.5,2.2,Betr,Denver Nuggets,NA
Los Angeles Clippers v Denver Nuggets,Los Angeles Clippers,Denver Nuggets,Player Blocks,Kris Dunn,Player blocks - K. Dunn 2+ (Match),Los Angeles Clippers,1.5,7,Betr,Denver Nuggets,NA
Los Angeles Clippers v Denver Nuggets,Los Angeles Clippers,Denver Nuggets,Player Blocks,Nicolas Batum,Player blocks - Nicolas Batum 1+ (Match),Los Angeles Clippers,0.5,1.65,Betr,Denver Nuggets,NA
Los Angeles Clippers v Denver Nuggets,Los Angeles Clippers,Denver Nuggets,Player Blocks,Nicolas Batum,Player blocks - Nicolas Batum 2+ (Match),Los Angeles Clippers,1.5,4.1,Betr,Denver Nuggets,NA
Golden State Warriors v Houston Rockets,Golden State Warriors,Houston Rockets,Player Blocks,Draymond Green,Player blocks - Draymond Green 1+ (Match),Golden State Warriors,0.5,1.34,Betr,Houston Rockets,NA
Golden State Warriors v Houston Rockets,Golden State Warriors,Houston Rockets,Player Blocks,Draymond Green,Player blocks - Draymond Green 2+ (Match),Golden State Warriors,1.5,2.5,Betr,Houston Rockets,NA
Golden State Warriors v Houston Rockets,Golden State Warriors,Houston Rockets,Player Blocks,Quinten Post,Player blocks - Quinten Post 1+ (Match),Golden State Warriors,0.5,2.1,Betr,Houston Rockets,NA
