match,market_name,home_team,home_win,away_team,away_win,margin,agency
Detroit Pistons v Cleveland Cavaliers,Head To Head,Detroit Pistons,2.2,Cleveland Cavaliers,1.7,1.043,Dabble
Philadelphia 76ers v Orlando Magic,Head To Head,Philadelphia 76ers,2.8,Orlando Magic,1.46,1.042,Dabble
Houston Rockets v Brooklyn Nets,Head To Head,Houston Rockets,1.08,Brooklyn Nets,8.5,1.044,Dabble
New Orleans Pelicans v Boston Celtics,Head To Head,New Orleans Pelicans,1.77,Boston Celtics,2.08,1.046,Dabble
Chicago Bulls v Atlanta Hawks,Head To Head,Chicago Bulls,2.02,Atlanta Hawks,1.82,1.045,Dabble
San Antonio Spurs v Toronto Raptors,Head To Head,San Antonio Spurs,1.5,Toronto Raptors,2.65,1.044,Dabble
Dallas Mavericks v Oklahoma City Thunder,Head To Head,Dallas Mavericks,3.6,Oklahoma City Thunder,1.3,1.047,Dabble
Utah Jazz v Phoenix Suns,Head To Head,Utah Jazz,1.88,Phoenix Suns,1.95,1.045,Dabble
Minnesota Timberwolves v Denver Nuggets,Head To Head,Minnesota Timberwolves,2.8,Denver Nuggets,1.46,1.042,Dabble
Golden State Warriors v Memphis Grizzlies,Head To Head,Golden State Warriors,1.3,Memphis Grizzlies,3.6,1.047,Dabble
Los Angeles Lakers v Portland Trail Blazers,Head To Head,Los Angeles Lakers,2.2,Portland Trail Blazers,1.7,1.043,Dabble
