match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency
Sacramento Kings v Houston Rockets,Sacramento Kings,Houston Rockets,Alperen Sengun,Houston Rockets,Sacramento Kings,Player Assists,5.5,1.79,1.79,Dabble Pickem
Sacramento Kings v Houston Rockets,Sacramento Kings,Houston Rockets,Amen Thompson,Houston Rockets,Sacramento Kings,Player Assists,4.5,1.79,1.79,Dabble Pickem
Sacramento Kings v Houston Rockets,Sacramento Kings,Houston Rockets,DeMar DeRozan,Sacramento Kings,Houston Rockets,Player Assists,3.5,1.79,1.79,Dabble Pickem
Indiana Pacers v Boston Celtics,Indiana Pacers,Boston Celtics,Pascal Siakam,Indiana Pacers,Boston Celtics,Player Assists,3.5,1.79,1.79,Dabble Pickem
Dallas Mavericks v Brooklyn Nets,Dallas Mavericks,Brooklyn Nets,Ryan Nembhard,Dallas Mavericks,Brooklyn Nets,Player Assists,6.5,1.79,1.79,Dabble Pickem
Dallas Mavericks v Brooklyn Nets,Dallas Mavericks,Brooklyn Nets,Cam Thomas,Brooklyn Nets,Dallas Mavericks,Player Assists,2.5,1.79,1.79,Dabble Pickem
Dallas Mavericks v Brooklyn Nets,Dallas Mavericks,Brooklyn Nets,Nolan Traore,Brooklyn Nets,Dallas Mavericks,Player Assists,2.5,1.79,1.79,Dabble Pickem
Los Angeles Clippers v Charlotte Hornets,Los Angeles Clippers,Charlotte Hornets,Collin Sexton,Charlotte Hornets,Los Angeles Clippers,Player Assists,3.5,1.79,1.79,Dabble Pickem
Los Angeles Clippers v Charlotte Hornets,Los Angeles Clippers,Charlotte Hornets,James Harden,Los Angeles Clippers,Charlotte Hornets,Player Assists,7.5,1.79,1.79,Dabble Pickem
Los Angeles Clippers v Charlotte Hornets,Los Angeles Clippers,Charlotte Hornets,LaMelo Ball,Charlotte Hornets,Los Angeles Clippers,Player Assists,6.5,1.79,1.79,Dabble Pickem
