match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency
Phoenix Suns v Los Angeles Clippers,Phoenix Suns,Los Angeles Clippers,Ivica Zubac,Los Angeles Clippers,Phoenix Suns,Player Points,17.5,1.79,1.79,Dabble Pickem
Phoenix Suns v Los Angeles Clippers,Phoenix Suns,Los Angeles Clippers,Bradley Beal,Los Angeles Clippers,Phoenix Suns,Player Points,14.5,1.79,1.79,Dabble Pickem
Phoenix Suns v Los Angeles Clippers,Phoenix Suns,Los Angeles Clippers,Collin Gillespie,Phoenix Suns,Los Angeles Clippers,Player Points,9.5,1.79,1.79,Dabble Pickem
Phoenix Suns v Los Angeles Clippers,Phoenix Suns,Los Angeles Clippers,Grayson Allen,Phoenix Suns,Los Angeles Clippers,Player Points,15.5,1.79,1.79,Dabble Pickem
Phoenix Suns v Los Angeles Clippers,Phoenix Suns,Los Angeles Clippers,Jalen Green,Phoenix Suns,Los Angeles Clippers,Player Points,12.5,1.79,1.79,Dabble Pickem
Phoenix Suns v Los Angeles Clippers,Phoenix Suns,Los Angeles Clippers,John Collins,Los Angeles Clippers,Phoenix Suns,Player Points,17.5,1.79,1.79,Dabble Pickem
Phoenix Suns v Los Angeles Clippers,Phoenix Suns,Los Angeles Clippers,Derrick Jones Jr.,Los Angeles Clippers,Phoenix Suns,Player Points,11.5,1.79,1.79,Dabble Pickem
Phoenix Suns v Los Angeles Clippers,Phoenix Suns,Los Angeles Clippers,Devin Booker,Phoenix Suns,Los Angeles Clippers,Player Points,28.5,1.79,1.79,Dabble Pickem
Phoenix Suns v Los Angeles Clippers,Phoenix Suns,Los Angeles Clippers,Ryan Dunn,Phoenix Suns,Los Angeles Clippers,Player Points,8.5,1.79,1.79,Dabble Pickem
Phoenix Suns v Los Angeles Clippers,Phoenix Suns,Los Angeles Clippers,Brook Lopez,Los Angeles Clippers,Phoenix Suns,Player Points,7.5,1.79,1.79,Dabble Pickem
Phoenix Suns v Los Angeles Clippers,Phoenix Suns,Los Angeles Clippers,Mark Williams,Phoenix Suns,Los Angeles Clippers,Player Points,13.5,1.79,1.79,Dabble Pickem
