match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency
Washington Wizards v Milwaukee Bucks,Washington Wizards,Milwaukee Bucks,Kyshawn George,Washington Wizards,Milwaukee Bucks,Player PRAs,30.5,1.79,1.79,Dabble Pickem
Washington Wizards v Milwaukee Bucks,Washington Wizards,Milwaukee Bucks,Khris Middleton,Washington Wizards,Milwaukee Bucks,Player PRAs,20.5,1.79,1.79,Dabble Pickem
Washington Wizards v Milwaukee Bucks,Washington Wizards,Milwaukee Bucks,Alexandre Sarr,NA,NA,Player PRAs,33.5,1.79,1.79,Dabble Pickem
Washington Wizards v Milwaukee Bucks,Washington Wizards,Milwaukee Bucks,AJ Green,Milwaukee Bucks,Washington Wizards,Player PRAs,16.5,1.79,1.79,Dabble Pickem
Washington Wizards v Milwaukee Bucks,Washington Wizards,Milwaukee Bucks,Gary Trent Jr.,Milwaukee Bucks,Washington Wizards,Player PRAs,12.5,1.79,1.79,Dabble Pickem
Washington Wizards v Milwaukee Bucks,Washington Wizards,Milwaukee Bucks,Tre Johnson,Washington Wizards,Milwaukee Bucks,Player PRAs,23.5,1.79,1.79,Dabble Pickem
Washington Wizards v Milwaukee Bucks,Washington Wizards,Milwaukee Bucks,Ryan Rollins,Milwaukee Bucks,Washington Wizards,Player PRAs,35.5,1.79,1.79,Dabble Pickem
Washington Wizards v Milwaukee Bucks,Washington Wizards,Milwaukee Bucks,Kyle Kuzma,Milwaukee Bucks,Washington Wizards,Player PRAs,26.5,1.79,1.79,Dabble Pickem
Washington Wizards v Milwaukee Bucks,Washington Wizards,Milwaukee Bucks,Myles Turner,Milwaukee Bucks,Washington Wizards,Player PRAs,24.5,1.79,1.79,Dabble Pickem
Washington Wizards v Milwaukee Bucks,Washington Wizards,Milwaukee Bucks,Bobby Portis,Milwaukee Bucks,Washington Wizards,Player PRAs,31.5,1.79,1.79,Dabble Pickem
Washington Wizards v Milwaukee Bucks,Washington Wizards,Milwaukee Bucks,Cole Anthony,Milwaukee Bucks,Washington Wizards,Player PRAs,18.5,1.79,1.79,Dabble Pickem
Philadelphia 76ers v Sacramento Kings,Philadelphia 76ers,Sacramento Kings,Zach LaVine,Sacramento Kings,Philadelphia 76ers,Player PRAs,21.5,1.79,1.79,Dabble Pickem
Philadelphia 76ers v Sacramento Kings,Philadelphia 76ers,Sacramento Kings,Paul George,Philadelphia 76ers,Sacramento Kings,Player PRAs,23.5,1.79,1.79,Dabble Pickem
Philadelphia 76ers v Sacramento Kings,Philadelphia 76ers,Sacramento Kings,Jared McCain,Philadelphia 76ers,Sacramento Kings,Player PRAs,10.5,1.79,1.79,Dabble Pickem
Philadelphia 76ers v Sacramento Kings,Philadelphia 76ers,Sacramento Kings,Kelly Oubre Jr.,Philadelphia 76ers,Sacramento Kings,Player PRAs,16.5,1.79,1.79,Dabble Pickem
Philadelphia 76ers v Sacramento Kings,Philadelphia 76ers,Sacramento Kings,Domantas Sabonis,Sacramento Kings,Philadelphia 76ers,Player PRAs,31.5,1.79,1.79,Dabble Pickem
Philadelphia 76ers v Sacramento Kings,Philadelphia 76ers,Sacramento Kings,Precious Achiuwa,Sacramento Kings,Philadelphia 76ers,Player PRAs,12.5,1.79,1.79,Dabble Pickem
Philadelphia 76ers v Sacramento Kings,Philadelphia 76ers,Sacramento Kings,Russell Westbrook,Sacramento Kings,Philadelphia 76ers,Player PRAs,24.5,1.79,1.79,Dabble Pickem
Philadelphia 76ers v Sacramento Kings,Philadelphia 76ers,Sacramento Kings,Joel Embiid,Philadelphia 76ers,Sacramento Kings,Player PRAs,40.5,1.79,1.79,Dabble Pickem
Philadelphia 76ers v Sacramento Kings,Philadelphia 76ers,Sacramento Kings,VJ Edgecombe,Philadelphia 76ers,Sacramento Kings,Player PRAs,22.5,1.79,1.79,Dabble Pickem
Philadelphia 76ers v Sacramento Kings,Philadelphia 76ers,Sacramento Kings,Quentin Grimes,Philadelphia 76ers,Sacramento Kings,Player PRAs,15.5,1.79,1.79,Dabble Pickem
Philadelphia 76ers v Sacramento Kings,Philadelphia 76ers,Sacramento Kings,Tyrese Maxey,Philadelphia 76ers,Sacramento Kings,Player PRAs,37.5,1.79,1.79,Dabble Pickem
Philadelphia 76ers v Sacramento Kings,Philadelphia 76ers,Sacramento Kings,DeMar DeRozan,Sacramento Kings,Philadelphia 76ers,Player PRAs,26.5,1.79,1.79,Dabble Pickem
Phoenix Suns v Detroit Pistons,Phoenix Suns,Detroit Pistons,Ausar Thompson,Detroit Pistons,Phoenix Suns,Player PRAs,17.5,1.79,1.79,Dabble Pickem
Phoenix Suns v Detroit Pistons,Phoenix Suns,Detroit Pistons,Dillon Brooks,Phoenix Suns,Detroit Pistons,Player PRAs,26.5,1.79,1.79,Dabble Pickem
