match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency
Washington Wizards v Boston Celtics,Washington Wizards,Boston Celtics,Neemias Queta,Boston Celtics,Washington Wizards,Player Rebounds,9.5,1.79,1.79,Dabble Pickem
Washington Wizards v Boston Celtics,Washington Wizards,Boston Celtics,Jordan Walsh,Boston Celtics,Washington Wizards,Player Rebounds,5.5,1.79,1.79,Dabble Pickem
Washington Wizards v Boston Celtics,Washington Wizards,Boston Celtics,Derrick White,Boston Celtics,Washington Wizards,Player Rebounds,4.5,1.79,1.79,Dabble Pickem
Washington Wizards v Boston Celtics,Washington Wizards,Boston Celtics,Kyshawn George,Washington Wizards,Boston Celtics,Player Rebounds,5.5,1.79,1.79,Dabble Pickem
Washington Wizards v Boston Celtics,Washington Wizards,Boston Celtics,Tristan Vukcevic,Washington Wizards,Boston Celtics,Player Rebounds,4.5,1.79,1.79,Dabble Pickem
Washington Wizards v Boston Celtics,Washington Wizards,Boston Celtics,Justin Champagnie,Washington Wizards,Boston Celtics,Player Rebounds,6.5,1.79,1.79,Dabble Pickem
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Brandin Podziemski,Golden State Warriors,Philadelphia 76ers,Player Rebounds,5.5,1.79,1.79,Dabble Pickem
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Adem Bona,Philadelphia 76ers,Golden State Warriors,Player Rebounds,5.5,1.79,1.79,Dabble Pickem
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Moses Moody,Golden State Warriors,Philadelphia 76ers,Player Rebounds,3.5,1.79,1.79,Dabble Pickem
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Andre Drummond,Philadelphia 76ers,Golden State Warriors,Player Rebounds,11.5,1.79,1.79,Dabble Pickem
Philadelphia 76ers v Golden State Warriors,Philadelphia 76ers,Golden State Warriors,Quinten Post,Golden State Warriors,Philadelphia 76ers,Player Rebounds,4.5,1.79,1.79,Dabble Pickem
Brooklyn Nets v Utah Jazz,Brooklyn Nets,Utah Jazz,Michael Porter Jr.,Brooklyn Nets,Utah Jazz,Player Rebounds,7.5,1.79,1.79,Dabble Pickem
Brooklyn Nets v Utah Jazz,Brooklyn Nets,Utah Jazz,Jusuf Nurkic,NA,NA,Player Rebounds,9.5,1.79,1.79,Dabble Pickem
Brooklyn Nets v Utah Jazz,Brooklyn Nets,Utah Jazz,Lauri Markkanen,Utah Jazz,Brooklyn Nets,Player Rebounds,7.5,1.79,1.79,Dabble Pickem
Toronto Raptors v Los Angeles Lakers,Toronto Raptors,Los Angeles Lakers,Collin Murray-Boyles,Toronto Raptors,Los Angeles Lakers,Player Rebounds,4.5,1.79,1.79,Dabble Pickem
Toronto Raptors v Los Angeles Lakers,Toronto Raptors,Los Angeles Lakers,Scottie Barnes,Toronto Raptors,Los Angeles Lakers,Player Rebounds,7.5,1.79,1.79,Dabble Pickem
Toronto Raptors v Los Angeles Lakers,Toronto Raptors,Los Angeles Lakers,LeBron James,Los Angeles Lakers,Toronto Raptors,Player Rebounds,6.5,1.79,1.79,Dabble Pickem
Toronto Raptors v Los Angeles Lakers,Toronto Raptors,Los Angeles Lakers,Brandon Ingram,Toronto Raptors,Los Angeles Lakers,Player Rebounds,5.5,1.79,1.79,Dabble Pickem
New Orleans Pelicans v Minnesota Timberwolves,New Orleans Pelicans,Minnesota Timberwolves,Julius Randle,Minnesota Timberwolves,New Orleans Pelicans,Player Rebounds,7.5,1.79,1.79,Dabble Pickem
New Orleans Pelicans v Minnesota Timberwolves,New Orleans Pelicans,Minnesota Timberwolves,Rudy Gobert,Minnesota Timberwolves,New Orleans Pelicans,Player Rebounds,11.5,1.79,1.79,Dabble Pickem
New Orleans Pelicans v Minnesota Timberwolves,New Orleans Pelicans,Minnesota Timberwolves,Jeremiah Fears,New Orleans Pelicans,Minnesota Timberwolves,Player Rebounds,3.5,1.79,1.79,Dabble Pickem
New Orleans Pelicans v Minnesota Timberwolves,New Orleans Pelicans,Minnesota Timberwolves,Saddiq Bey,New Orleans Pelicans,Minnesota Timberwolves,Player Rebounds,6.5,1.79,1.79,Dabble Pickem
New Orleans Pelicans v Minnesota Timberwolves,New Orleans Pelicans,Minnesota Timberwolves,Derik Queen,New Orleans Pelicans,Minnesota Timberwolves,Player Rebounds,7.5,1.79,1.79,Dabble Pickem
