match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency
Detroit Pistons v San Antonio Spurs,Detroit Pistons,San Antonio Spurs,Harrison Barnes,San Antonio Spurs,Detroit Pistons,Player Threes,1.5,1.79,1.79,Dabble Pickem
Detroit Pistons v San Antonio Spurs,Detroit Pistons,San Antonio Spurs,Julian Champagnie,San Antonio Spurs,Detroit Pistons,Player Threes,1.5,1.79,1.79,Dabble Pickem
Detroit Pistons v San Antonio Spurs,Detroit Pistons,San Antonio Spurs,Ronald Holland II,Detroit Pistons,San Antonio Spurs,Player Threes,0.5,1.79,1.79,Dabble Pickem
Detroit Pistons v San Antonio Spurs,Detroit Pistons,San Antonio Spurs,De'Aaron Fox,San Antonio Spurs,Detroit Pistons,Player Threes,1.5,1.79,1.79,Dabble Pickem
Detroit Pistons v San Antonio Spurs,Detroit Pistons,San Antonio Spurs,Duncan Robinson,Detroit Pistons,San Antonio Spurs,Player Threes,2.5,1.79,1.79,Dabble Pickem
Detroit Pistons v San Antonio Spurs,Detroit Pistons,San Antonio Spurs,Tobias Harris,Detroit Pistons,San Antonio Spurs,Player Threes,1.5,1.79,1.79,Dabble Pickem
Memphis Grizzlies v Sacramento Kings,Memphis Grizzlies,Sacramento Kings,Cam Spencer,Memphis Grizzlies,Sacramento Kings,Player Threes,1.5,1.79,1.79,Dabble Pickem
Memphis Grizzlies v Sacramento Kings,Memphis Grizzlies,Sacramento Kings,Russell Westbrook,Sacramento Kings,Memphis Grizzlies,Player Threes,1.5,1.79,1.79,Dabble Pickem
Memphis Grizzlies v Sacramento Kings,Memphis Grizzlies,Sacramento Kings,Gregory Jackson,NA,NA,Player Threes,1.5,1.79,1.79,Dabble Pickem
Memphis Grizzlies v Sacramento Kings,Memphis Grizzlies,Sacramento Kings,DeMar DeRozan,Sacramento Kings,Memphis Grizzlies,Player Threes,0.5,1.79,1.79,Dabble Pickem
Houston Rockets v Utah Jazz,Houston Rockets,Utah Jazz,Keyonte George,Utah Jazz,Houston Rockets,Player Threes,1.5,1.79,1.79,Dabble Pickem
Houston Rockets v Utah Jazz,Houston Rockets,Utah Jazz,Kevin Durant,Houston Rockets,Utah Jazz,Player Threes,2.5,1.79,1.79,Dabble Pickem
Houston Rockets v Utah Jazz,Houston Rockets,Utah Jazz,Jabari Smith Jr.,Houston Rockets,Utah Jazz,Player Threes,2.5,1.79,1.79,Dabble Pickem
Houston Rockets v Utah Jazz,Houston Rockets,Utah Jazz,Ace Bailey,Utah Jazz,Houston Rockets,Player Threes,1.5,1.79,1.79,Dabble Pickem
Cleveland Cavaliers v New York Knicks,Cleveland Cavaliers,New York Knicks,Jalen Brunson,New York Knicks,Cleveland Cavaliers,Player Threes,2.5,1.79,1.79,Dabble Pickem
Cleveland Cavaliers v New York Knicks,Cleveland Cavaliers,New York Knicks,Mikal Bridges,New York Knicks,Cleveland Cavaliers,Player Threes,1.5,1.79,1.79,Dabble Pickem
Atlanta Hawks v Washington Wizards,Atlanta Hawks,Washington Wizards,Jalen Johnson,Atlanta Hawks,Washington Wizards,Player Threes,1.5,1.79,1.79,Dabble Pickem
New Orleans Pelicans v Golden State Warriors,New Orleans Pelicans,Golden State Warriors,Gui Santos,Golden State Warriors,New Orleans Pelicans,Player Threes,1.5,1.79,1.79,Dabble Pickem
New Orleans Pelicans v Golden State Warriors,New Orleans Pelicans,Golden State Warriors,Draymond Green,Golden State Warriors,New Orleans Pelicans,Player Threes,1.5,1.79,1.79,Dabble Pickem
New Orleans Pelicans v Golden State Warriors,New Orleans Pelicans,Golden State Warriors,Trey Murphy III,New Orleans Pelicans,Golden State Warriors,Player Threes,3.5,1.79,1.79,Dabble Pickem
Phoenix Suns v Boston Celtics,Phoenix Suns,Boston Celtics,Collin Gillespie,Phoenix Suns,Boston Celtics,Player Threes,3.5,1.79,1.79,Dabble Pickem
Phoenix Suns v Boston Celtics,Phoenix Suns,Boston Celtics,Grayson Allen,Phoenix Suns,Boston Celtics,Player Threes,3.5,1.79,1.79,Dabble Pickem
Phoenix Suns v Boston Celtics,Phoenix Suns,Boston Celtics,Derrick White,Boston Celtics,Phoenix Suns,Player Threes,2.5,1.79,1.79,Dabble Pickem
Phoenix Suns v Boston Celtics,Phoenix Suns,Boston Celtics,Sam Hauser,Boston Celtics,Phoenix Suns,Player Threes,2.5,1.79,1.79,Dabble Pickem
Phoenix Suns v Boston Celtics,Phoenix Suns,Boston Celtics,Royce O'Neale,Phoenix Suns,Boston Celtics,Player Threes,2.5,1.79,1.79,Dabble Pickem
Los Angeles Lakers v Orlando Magic,Los Angeles Lakers,Orlando Magic,Jake LaRavia,Los Angeles Lakers,Orlando Magic,Player Threes,0.5,1.79,1.79,Dabble Pickem
Los Angeles Lakers v Orlando Magic,Los Angeles Lakers,Orlando Magic,Luka Doncic,NA,NA,Player Threes,3.5,1.79,1.79,Dabble Pickem
