match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency
San Antonio Spurs v Detroit Pistons,San Antonio Spurs,Detroit Pistons,Dylan Harper,San Antonio Spurs,Detroit Pistons,Player Assists,3.5,1.82,1.9,Dabble
San Antonio Spurs v Detroit Pistons,San Antonio Spurs,Detroit Pistons,Cade Cunningham,Detroit Pistons,San Antonio Spurs,Player Assists,9.5,1.95,1.8,Dabble
San Antonio Spurs v Detroit Pistons,San Antonio Spurs,Detroit Pistons,Ausar Thompson,Detroit Pistons,San Antonio Spurs,Player Assists,3.5,2.2,1.62,Dabble
San Antonio Spurs v Detroit Pistons,San Antonio Spurs,Detroit Pistons,De'Aaron Fox,San Antonio Spurs,Detroit Pistons,Player Assists,6.5,2.15,1.66,Dabble
San Antonio Spurs v Detroit Pistons,San Antonio Spurs,Detroit Pistons,Devin Vassell,San Antonio Spurs,Detroit Pistons,Player Assists,2.5,2.1,1.67,Dabble
San Antonio Spurs v Detroit Pistons,San Antonio Spurs,Detroit Pistons,Victor Wembanyama,San Antonio Spurs,Detroit Pistons,Player Assists,3.5,2.3,1.55,Dabble
Minnesota Timberwolves v Toronto Raptors,Minnesota Timberwolves,Toronto Raptors,RJ Barrett,Toronto Raptors,Minnesota Timberwolves,Player Assists,3.5,2.05,1.72,Dabble
Minnesota Timberwolves v Toronto Raptors,Minnesota Timberwolves,Toronto Raptors,Anthony Edwards,Minnesota Timberwolves,Toronto Raptors,Player Assists,3.5,1.78,1.95,Dabble
Minnesota Timberwolves v Toronto Raptors,Minnesota Timberwolves,Toronto Raptors,Jamal Shead,Toronto Raptors,Minnesota Timberwolves,Player Assists,4.5,2.15,1.64,Dabble
Minnesota Timberwolves v Toronto Raptors,Minnesota Timberwolves,Toronto Raptors,Scottie Barnes,Toronto Raptors,Minnesota Timberwolves,Player Assists,4.5,1.85,1.88,Dabble
Minnesota Timberwolves v Toronto Raptors,Minnesota Timberwolves,Toronto Raptors,Brandon Ingram,Toronto Raptors,Minnesota Timberwolves,Player Assists,3.5,1.92,1.82,Dabble
Minnesota Timberwolves v Toronto Raptors,Minnesota Timberwolves,Toronto Raptors,Ayo Dosunmu,Minnesota Timberwolves,Toronto Raptors,Player Assists,2.5,1.65,2.15,Dabble
Minnesota Timberwolves v Toronto Raptors,Minnesota Timberwolves,Toronto Raptors,Immanuel Quickley,Toronto Raptors,Minnesota Timberwolves,Player Assists,5.5,1.78,1.95,Dabble
