match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Ryan Kalkbrenner,Charlotte Hornets,Miami Heat,Player Blocks,0.5,1.24,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Kel'el Ware,Miami Heat,Charlotte Hornets,Player Blocks,0.5,1.35,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Andrew Wiggins,Miami Heat,Charlotte Hornets,Player Blocks,0.5,1.51,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Moussa Diabate,NA,NA,Player Blocks,0.5,1.56,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Bam Adebayo,Miami Heat,Charlotte Hornets,Player Blocks,0.5,1.94,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Miles Bridges,Charlotte Hornets,Miami Heat,Player Blocks,0.5,1.99,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Kon Knueppel,Charlotte Hornets,Miami Heat,Player Blocks,0.5,2.35,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Norman Powell,Miami Heat,Charlotte Hornets,Player Blocks,0.5,3.13,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Davion Mitchell,Miami Heat,Charlotte Hornets,Player Blocks,0.5,3.13,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,LaMelo Ball,Charlotte Hornets,Miami Heat,Player Blocks,0.5,3.43,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Collin Sexton,Charlotte Hornets,Miami Heat,Player Blocks,0.5,5.08,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Ryan Kalkbrenner,Charlotte Hornets,Miami Heat,Player Blocks,1.5,2.17,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Kel'el Ware,Miami Heat,Charlotte Hornets,Player Blocks,1.5,2.53,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Andrew Wiggins,Miami Heat,Charlotte Hornets,Player Blocks,1.5,3.22,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Moussa Diabate,NA,NA,Player Blocks,1.5,3.3,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Bam Adebayo,Miami Heat,Charlotte Hornets,Player Blocks,1.5,4.72,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Miles Bridges,Charlotte Hornets,Miami Heat,Player Blocks,1.5,5.08,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Kon Knueppel,Charlotte Hornets,Miami Heat,Player Blocks,1.5,6.45,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Davion Mitchell,Miami Heat,Charlotte Hornets,Player Blocks,1.5,8.27,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Norman Powell,Miami Heat,Charlotte Hornets,Player Blocks,1.5,8.27,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,LaMelo Ball,Charlotte Hornets,Miami Heat,Player Blocks,1.5,9.35,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Ryan Kalkbrenner,Charlotte Hornets,Miami Heat,Player Blocks,4.5,10.34,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Ryan Kalkbrenner,Charlotte Hornets,Miami Heat,Player Blocks,3.5,7.39,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Kel'el Ware,Miami Heat,Charlotte Hornets,Player Blocks,3.5,8.27,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Andrew Wiggins,Miami Heat,Charlotte Hornets,Player Blocks,3.5,9.35,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Ryan Kalkbrenner,Charlotte Hornets,Miami Heat,Player Blocks,2.5,4.25,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Kel'el Ware,Miami Heat,Charlotte Hornets,Player Blocks,2.5,5.08,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Andrew Wiggins,Miami Heat,Charlotte Hornets,Player Blocks,2.5,6.77,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Moussa Diabate,NA,NA,Player Blocks,2.5,7.09,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Miles Bridges,Charlotte Hornets,Miami Heat,Player Blocks,2.5,9.35,NA,Dabble
Miami Heat v Charlotte Hornets,Miami Heat,Charlotte Hornets,Bam Adebayo,Miami Heat,Charlotte Hornets,Player Blocks,2.5,9.35,NA,Dabble
