match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency
Charlotte Hornets v Atlanta Hawks,Charlotte Hornets,Atlanta Hawks,Brandon Miller,Charlotte Hornets,Atlanta Hawks,Player Points,25.5,1.8,1.95,Dabble
Charlotte Hornets v Atlanta Hawks,Charlotte Hornets,Atlanta Hawks,Josh Green,Charlotte Hornets,Atlanta Hawks,Player Points,10.5,1.82,1.92,Dabble
Charlotte Hornets v Atlanta Hawks,Charlotte Hornets,Atlanta Hawks,Moussa Diabate,NA,NA,Player Points,4.5,1.82,1.92,Dabble
Charlotte Hornets v Atlanta Hawks,Charlotte Hornets,Atlanta Hawks,Clint Capela,Atlanta Hawks,Charlotte Hornets,Player Points,9.5,1.72,2.02,Dabble
Charlotte Hornets v Atlanta Hawks,Charlotte Hornets,Atlanta Hawks,Vasilije Micic,NA,NA,Player Points,12.5,1.78,1.95,Dabble
Charlotte Hornets v Atlanta Hawks,Charlotte Hornets,Atlanta Hawks,Zaccharie Risacher,Atlanta Hawks,Charlotte Hornets,Player Points,9.5,1.88,1.85,Dabble
Charlotte Hornets v Atlanta Hawks,Charlotte Hornets,Atlanta Hawks,Dyson Daniels,Atlanta Hawks,Charlotte Hornets,Player Points,12.5,1.92,1.8,Dabble
Charlotte Hornets v Atlanta Hawks,Charlotte Hornets,Atlanta Hawks,De'Andre Hunter,Atlanta Hawks,Charlotte Hornets,Player Points,15.5,1.85,1.88,Dabble
Charlotte Hornets v Atlanta Hawks,Charlotte Hornets,Atlanta Hawks,Tidjane Salaun,NA,NA,Player Points,12.5,1.9,1.85,Dabble
Charlotte Hornets v Atlanta Hawks,Charlotte Hornets,Atlanta Hawks,Jalen Johnson,Atlanta Hawks,Charlotte Hornets,Player Points,18.5,1.85,1.88,Dabble
Charlotte Hornets v Atlanta Hawks,Charlotte Hornets,Atlanta Hawks,Cody Martin,Charlotte Hornets,Atlanta Hawks,Player Points,9.5,1.78,1.95,Dabble
Charlotte Hornets v Atlanta Hawks,Charlotte Hornets,Atlanta Hawks,Trae Young,Atlanta Hawks,Charlotte Hornets,Player Points,22.5,1.92,1.82,Dabble
Charlotte Hornets v Atlanta Hawks,Charlotte Hornets,Atlanta Hawks,Onyeka Okongwu,Atlanta Hawks,Charlotte Hornets,Player Points,9.5,1.88,1.85,Dabble
Detroit Pistons v Philadelphia 76ers,Detroit Pistons,Philadelphia 76ers,Cade Cunningham,Detroit Pistons,Philadelphia 76ers,Player Points,21.5,1.82,1.92,Dabble
Detroit Pistons v Philadelphia 76ers,Detroit Pistons,Philadelphia 76ers,Caleb Martin,Philadelphia 76ers,Detroit Pistons,Player Points,9.5,1.92,1.82,Dabble
Detroit Pistons v Philadelphia 76ers,Detroit Pistons,Philadelphia 76ers,Tobias Harris,Detroit Pistons,Philadelphia 76ers,Player Points,13.5,1.88,1.85,Dabble
Detroit Pistons v Philadelphia 76ers,Detroit Pistons,Philadelphia 76ers,Malik Beasley,Detroit Pistons,Philadelphia 76ers,Player Points,13.5,1.9,1.85,Dabble
Detroit Pistons v Philadelphia 76ers,Detroit Pistons,Philadelphia 76ers,Tyrese Maxey,Philadelphia 76ers,Detroit Pistons,Player Points,25.5,1.95,1.8,Dabble
Detroit Pistons v Philadelphia 76ers,Detroit Pistons,Philadelphia 76ers,Tim Hardaway Jr.,Detroit Pistons,Philadelphia 76ers,Player Points,9.5,1.88,1.85,Dabble
Detroit Pistons v Philadelphia 76ers,Detroit Pistons,Philadelphia 76ers,Jared McCain,Philadelphia 76ers,Detroit Pistons,Player Points,20.5,1.82,1.92,Dabble
Detroit Pistons v Philadelphia 76ers,Detroit Pistons,Philadelphia 76ers,Jaden Ivey,Detroit Pistons,Philadelphia 76ers,Player Points,16.5,1.85,1.88,Dabble
