match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Stephen Curry,Golden State Warriors,Utah Jazz,Player PRAs,59.5,8,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,De'Anthony Melton,Golden State Warriors,Utah Jazz,Player PRAs,14.5,1.14,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Draymond Green,Golden State Warriors,Utah Jazz,Player PRAs,14.5,1.2,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Moses Moody,Golden State Warriors,Utah Jazz,Player PRAs,14.5,1.3,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Ace Bailey,Utah Jazz,Golden State Warriors,Player PRAs,14.5,1.33,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Isaiah Collier,Utah Jazz,Golden State Warriors,Player PRAs,14.5,1.33,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Brice Sensabaugh,Utah Jazz,Golden State Warriors,Player PRAs,14.5,1.35,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Al Horford,Golden State Warriors,Utah Jazz,Player PRAs,14.5,1.53,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Quinten Post,Golden State Warriors,Utah Jazz,Player PRAs,14.5,1.8,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Will Richard,Golden State Warriors,Utah Jazz,Player PRAs,14.5,3.1,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Svi Mykhailiuk,Utah Jazz,Golden State Warriors,Player PRAs,14.5,4.25,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Brandin Podziemski,Golden State Warriors,Utah Jazz,Player PRAs,19.5,1.3,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,De'Anthony Melton,Golden State Warriors,Utah Jazz,Player PRAs,19.5,1.64,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Draymond Green,Golden State Warriors,Utah Jazz,Player PRAs,19.5,1.77,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Moses Moody,Golden State Warriors,Utah Jazz,Player PRAs,19.5,2.08,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Ace Bailey,Utah Jazz,Golden State Warriors,Player PRAs,19.5,2.08,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Isaiah Collier,Utah Jazz,Golden State Warriors,Player PRAs,19.5,2.1,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Brice Sensabaugh,Utah Jazz,Golden State Warriors,Player PRAs,19.5,2.1,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Al Horford,Golden State Warriors,Utah Jazz,Player PRAs,19.5,2.5,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Quinten Post,Golden State Warriors,Utah Jazz,Player PRAs,19.5,3.1,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Will Richard,Golden State Warriors,Utah Jazz,Player PRAs,19.5,6,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Svi Mykhailiuk,Utah Jazz,Golden State Warriors,Player PRAs,19.5,8,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Stephen Curry,Golden State Warriors,Utah Jazz,Player PRAs,44.5,2.5,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Keyonte George,Utah Jazz,Golden State Warriors,Player PRAs,44.5,5.75,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Jusuf Nurki<c4><87>,NA,NA,Player PRAs,44.5,5.75,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Lauri Markkanen,Utah Jazz,Golden State Warriors,Player PRAs,44.5,7,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Stephen Curry,Golden State Warriors,Utah Jazz,Player PRAs,39.5,1.72,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Keyonte George,Utah Jazz,Golden State Warriors,Player PRAs,39.5,3.3,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Jusuf Nurki<c4><87>,NA,NA,Player PRAs,39.5,3.6,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Lauri Markkanen,Utah Jazz,Golden State Warriors,Player PRAs,39.5,4,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Brandin Podziemski,Golden State Warriors,Utah Jazz,Player PRAs,39.5,9,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Stephen Curry,Golden State Warriors,Utah Jazz,Player PRAs,54.5,6,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Stephen Curry,Golden State Warriors,Utah Jazz,Player PRAs,29.5,1.08,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Keyonte George,Utah Jazz,Golden State Warriors,Player PRAs,29.5,1.4,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Jusuf Nurki<c4><87>,NA,NA,Player PRAs,29.5,1.55,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Lauri Markkanen,Utah Jazz,Golden State Warriors,Player PRAs,29.5,1.55,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Brandin Podziemski,Golden State Warriors,Utah Jazz,Player PRAs,29.5,3.4,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,De'Anthony Melton,Golden State Warriors,Utah Jazz,Player PRAs,29.5,4.5,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Draymond Green,Golden State Warriors,Utah Jazz,Player PRAs,29.5,5.75,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Ace Bailey,Utah Jazz,Golden State Warriors,Player PRAs,29.5,6,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Brice Sensabaugh,Utah Jazz,Golden State Warriors,Player PRAs,29.5,6.5,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Moses Moody,Golden State Warriors,Utah Jazz,Player PRAs,29.5,7,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Isaiah Collier,Utah Jazz,Golden State Warriors,Player PRAs,29.5,7.5,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Al Horford,Golden State Warriors,Utah Jazz,Player PRAs,29.5,8,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Quinten Post,Golden State Warriors,Utah Jazz,Player PRAs,29.5,9,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Keyonte George,Utah Jazz,Golden State Warriors,Player PRAs,24.5,1.11,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Lauri Markkanen,Utah Jazz,Golden State Warriors,Player PRAs,24.5,1.15,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Jusuf Nurki<c4><87>,NA,NA,Player PRAs,24.5,1.18,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Brandin Podziemski,Golden State Warriors,Utah Jazz,Player PRAs,24.5,1.98,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,De'Anthony Melton,Golden State Warriors,Utah Jazz,Player PRAs,24.5,2.65,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Draymond Green,Golden State Warriors,Utah Jazz,Player PRAs,24.5,3.1,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Ace Bailey,Utah Jazz,Golden State Warriors,Player PRAs,24.5,3.75,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Brice Sensabaugh,Utah Jazz,Golden State Warriors,Player PRAs,24.5,3.75,NA,Dabble
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Moses Moody,Golden State Warriors,Utah Jazz,Player PRAs,24.5,3.85,NA,Dabble
