match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency
Cleveland Cavaliers v Portland Trail Blazers,Cleveland Cavaliers,Portland Trail Blazers,Dean Wade,Cleveland Cavaliers,Portland Trail Blazers,Player Rebounds,3.5,1.92,1.8,Dabble
Cleveland Cavaliers v Portland Trail Blazers,Cleveland Cavaliers,Portland Trail Blazers,Jerami Grant,Portland Trail Blazers,Cleveland Cavaliers,Player Rebounds,3.5,1.68,2.1,Dabble
Cleveland Cavaliers v Portland Trail Blazers,Cleveland Cavaliers,Portland Trail Blazers,Nae'Qwan Tomlin,Cleveland Cavaliers,Portland Trail Blazers,Player Rebounds,3.5,1.85,1.85,Dabble
Cleveland Cavaliers v Portland Trail Blazers,Cleveland Cavaliers,Portland Trail Blazers,Donovan Clingan,Portland Trail Blazers,Cleveland Cavaliers,Player Rebounds,10.5,1.82,1.92,Dabble
Cleveland Cavaliers v Portland Trail Blazers,Cleveland Cavaliers,Portland Trail Blazers,Lonzo Ball,Cleveland Cavaliers,Portland Trail Blazers,Player Rebounds,3.5,1.64,2.15,Dabble
Cleveland Cavaliers v Portland Trail Blazers,Cleveland Cavaliers,Portland Trail Blazers,Jaylon Tyson,Cleveland Cavaliers,Portland Trail Blazers,Player Rebounds,5.5,1.78,1.98,Dabble
Cleveland Cavaliers v Portland Trail Blazers,Cleveland Cavaliers,Portland Trail Blazers,Toumani Camara,Portland Trail Blazers,Cleveland Cavaliers,Player Rebounds,5.5,1.78,1.95,Dabble
Cleveland Cavaliers v Portland Trail Blazers,Cleveland Cavaliers,Portland Trail Blazers,Donovan Mitchell,Cleveland Cavaliers,Portland Trail Blazers,Player Rebounds,5.5,2.2,1.6,Dabble
Cleveland Cavaliers v Portland Trail Blazers,Cleveland Cavaliers,Portland Trail Blazers,De'Andre Hunter,Cleveland Cavaliers,Portland Trail Blazers,Player Rebounds,4.5,1.95,1.8,Dabble
Cleveland Cavaliers v Portland Trail Blazers,Cleveland Cavaliers,Portland Trail Blazers,Evan Mobley,Cleveland Cavaliers,Portland Trail Blazers,Player Rebounds,10.5,2.05,1.7,Dabble
Cleveland Cavaliers v Portland Trail Blazers,Cleveland Cavaliers,Portland Trail Blazers,Shaedon Sharpe,Portland Trail Blazers,Cleveland Cavaliers,Player Rebounds,3.5,1.72,2.02,Dabble
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Ben Sheppard,Indiana Pacers,Denver Nuggets,Player Rebounds,3.5,2.2,1.62,Dabble
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Jarace Walker,Indiana Pacers,Denver Nuggets,Player Rebounds,3.5,1.62,2.2,Dabble
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Isaiah Jackson,Indiana Pacers,Denver Nuggets,Player Rebounds,4.5,1.72,2.02,Dabble
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Pascal Siakam,Indiana Pacers,Denver Nuggets,Player Rebounds,6.5,1.7,2.05,Dabble
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Spencer Jones,Denver Nuggets,Indiana Pacers,Player Rebounds,4.5,1.82,1.9,Dabble
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Jay Huff,Indiana Pacers,Denver Nuggets,Player Rebounds,4.5,1.85,1.9,Dabble
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Bennedict Mathurin,Indiana Pacers,Denver Nuggets,Player Rebounds,5.5,2.05,1.7,Dabble
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Cameron Johnson,Denver Nuggets,Indiana Pacers,Player Rebounds,4.5,1.78,1.95,Dabble
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Nikola Joki<c4><87>,NA,NA,Player Rebounds,13.5,1.77,1.98,Dabble
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Bruce Brown,Denver Nuggets,Indiana Pacers,Player Rebounds,3.5,1.95,1.8,Dabble
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Peyton Watson,Denver Nuggets,Indiana Pacers,Player Rebounds,5.5,1.68,2.1,Dabble
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Jamal Murray,Denver Nuggets,Indiana Pacers,Player Rebounds,3.5,1.7,2.08,Dabble
Indiana Pacers v Denver Nuggets,Indiana Pacers,Denver Nuggets,Jonas Valanciunas,NA,NA,Player Rebounds,5.5,2,1.75,Dabble
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Luke Kornet,San Antonio Spurs,Orlando Magic,Player Rebounds,6.5,2.02,1.72,Dabble
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Desmond Bane,Orlando Magic,San Antonio Spurs,Player Rebounds,5.5,2.2,1.62,Dabble
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Jalen Suggs,Orlando Magic,San Antonio Spurs,Player Rebounds,3.5,1.6,2.2,Dabble
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Keldon Johnson,San Antonio Spurs,Orlando Magic,Player Rebounds,6.5,2.02,1.75,Dabble
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Wendell Carter Jr.,Orlando Magic,San Antonio Spurs,Player Rebounds,8.5,2.08,1.7,Dabble
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Anthony Black,Orlando Magic,San Antonio Spurs,Player Rebounds,3.5,1.85,1.9,Dabble
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Devin Vassell,San Antonio Spurs,Orlando Magic,Player Rebounds,3.5,1.82,1.92,Dabble
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,De'Aaron Fox,San Antonio Spurs,Orlando Magic,Player Rebounds,3.5,1.82,1.9,Dabble
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Franz Wagner,Orlando Magic,San Antonio Spurs,Player Rebounds,6.5,1.88,1.85,Dabble
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Harrison Barnes,San Antonio Spurs,Orlando Magic,Player Rebounds,3.5,1.9,1.82,Dabble
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Tristan da Silva,Orlando Magic,San Antonio Spurs,Player Rebounds,3.5,1.82,1.92,Dabble
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Goga Bitadze,Orlando Magic,San Antonio Spurs,Player Rebounds,5.5,2.02,1.75,Dabble
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Jeremy Sochan,San Antonio Spurs,Orlando Magic,Player Rebounds,3.5,1.67,2.1,Dabble
Orlando Magic v San Antonio Spurs,Orlando Magic,San Antonio Spurs,Julian Champagnie,San Antonio Spurs,Orlando Magic,Player Rebounds,5.5,1.95,1.8,Dabble
New York Knicks v Charlotte Hornets,New York Knicks,Charlotte Hornets,Mikal Bridges,New York Knicks,Charlotte Hornets,Player Rebounds,3.5,1.72,2.05,Dabble
