match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency
Utah Jazz v Detroit Pistons,Utah Jazz,Detroit Pistons,Isaiah Stewart,Detroit Pistons,Utah Jazz,Player Steals,3.5,3.3,NA,Dabble
Utah Jazz v Detroit Pistons,Utah Jazz,Detroit Pistons,Cade Cunningham,Detroit Pistons,Utah Jazz,Player Steals,3.5,3.6,NA,Dabble
Utah Jazz v Detroit Pistons,Utah Jazz,Detroit Pistons,Jalen Duren,Detroit Pistons,Utah Jazz,Player Steals,3.5,4.5,NA,Dabble
Utah Jazz v Detroit Pistons,Utah Jazz,Detroit Pistons,Lauri Markkanen,Utah Jazz,Detroit Pistons,Player Steals,3.5,5.75,NA,Dabble
Utah Jazz v Detroit Pistons,Utah Jazz,Detroit Pistons,Jusuf Nurki<c4><87>,NA,NA,Player Steals,3.5,6,NA,Dabble
Utah Jazz v Detroit Pistons,Utah Jazz,Detroit Pistons,Ace Bailey,Utah Jazz,Detroit Pistons,Player Steals,3.5,6,NA,Dabble
Utah Jazz v Detroit Pistons,Utah Jazz,Detroit Pistons,Caris LeVert,Detroit Pistons,Utah Jazz,Player Steals,3.5,7,NA,Dabble
Utah Jazz v Detroit Pistons,Utah Jazz,Detroit Pistons,Ronald Holland II,Detroit Pistons,Utah Jazz,Player Steals,3.5,7,NA,Dabble
Utah Jazz v Detroit Pistons,Utah Jazz,Detroit Pistons,Javonte Green,Detroit Pistons,Utah Jazz,Player Steals,3.5,7,NA,Dabble
Utah Jazz v Detroit Pistons,Utah Jazz,Detroit Pistons,Keyonte George,Utah Jazz,Detroit Pistons,Player Steals,3.5,7.5,NA,Dabble
Utah Jazz v Detroit Pistons,Utah Jazz,Detroit Pistons,Kyle Filipowski,Utah Jazz,Detroit Pistons,Player Steals,3.5,8,NA,Dabble
Utah Jazz v Detroit Pistons,Utah Jazz,Detroit Pistons,Tobias Harris,Detroit Pistons,Utah Jazz,Player Steals,3.5,8,NA,Dabble
Utah Jazz v Detroit Pistons,Utah Jazz,Detroit Pistons,Isaiah Collier,Utah Jazz,Detroit Pistons,Player Steals,3.5,8,NA,Dabble
Utah Jazz v Detroit Pistons,Utah Jazz,Detroit Pistons,Jaden Ivey,Detroit Pistons,Utah Jazz,Player Steals,3.5,9,NA,Dabble
Utah Jazz v Detroit Pistons,Utah Jazz,Detroit Pistons,Brice Sensabaugh,Utah Jazz,Detroit Pistons,Player Steals,3.5,9,NA,Dabble
Utah Jazz v Detroit Pistons,Utah Jazz,Detroit Pistons,Svi Mykhailiuk,Utah Jazz,Detroit Pistons,Player Steals,3.5,10,NA,Dabble
