match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Luka Don<c4><8d>i<c4><87>,NA,NA,Player Threes,3.5,1.68,2.1,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Jabari Smith Jr.,Houston Rockets,Los Angeles Lakers,Player Threes,1.5,1.48,2.45,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,LeBron James,Los Angeles Lakers,Houston Rockets,Player Threes,1.5,2.35,1.52,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Marcus Smart,Los Angeles Lakers,Houston Rockets,Player Threes,1.5,1.95,1.78,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Reed Sheppard,Houston Rockets,Los Angeles Lakers,Player Threes,2.5,1.62,2.2,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Luke Kennard,Los Angeles Lakers,Houston Rockets,Player Threes,1.5,2.1,1.68,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Amen Thompson,Houston Rockets,Los Angeles Lakers,Player Threes,0.5,2.9,1.35,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Kevin Durant,Houston Rockets,Los Angeles Lakers,Player Threes,2.5,2.35,1.53,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Alperen Sengun,Houston Rockets,Los Angeles Lakers,Player Threes,0.5,2.8,1.38,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Rui Hachimura,Los Angeles Lakers,Houston Rockets,Player Threes,1.5,2.45,1.48,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Tari Eason,Houston Rockets,Los Angeles Lakers,Player Threes,1.5,2.2,1.62,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Austin Reaves,Los Angeles Lakers,Houston Rockets,Player Threes,2.5,2.35,1.52,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Luka Don<c4><8d>i<c4><87>,NA,NA,Player Threes,4.5,2.25,NA,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Reed Sheppard,Houston Rockets,Los Angeles Lakers,Player Threes,4.5,3.6,NA,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Jabari Smith Jr.,Houston Rockets,Los Angeles Lakers,Player Threes,4.5,6,NA,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Austin Reaves,Los Angeles Lakers,Houston Rockets,Player Threes,4.5,6,NA,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Kevin Durant,Houston Rockets,Los Angeles Lakers,Player Threes,4.5,6,NA,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Marcus Smart,Los Angeles Lakers,Houston Rockets,Player Threes,4.5,9,NA,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Luke Kennard,Los Angeles Lakers,Houston Rockets,Player Threes,4.5,9,NA,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Tari Eason,Houston Rockets,Los Angeles Lakers,Player Threes,4.5,10,NA,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Reed Sheppard,Houston Rockets,Los Angeles Lakers,Player Threes,3.5,2.3,NA,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Kevin Durant,Houston Rockets,Los Angeles Lakers,Player Threes,3.5,3.6,NA,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Austin Reaves,Los Angeles Lakers,Houston Rockets,Player Threes,3.5,3.75,NA,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Jabari Smith Jr.,Houston Rockets,Los Angeles Lakers,Player Threes,3.5,4,NA,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Marcus Smart,Los Angeles Lakers,Houston Rockets,Player Threes,3.5,5.75,NA,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Luke Kennard,Los Angeles Lakers,Houston Rockets,Player Threes,3.5,6,NA,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Tari Eason,Houston Rockets,Los Angeles Lakers,Player Threes,3.5,7,NA,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,LeBron James,Los Angeles Lakers,Houston Rockets,Player Threes,3.5,7.5,NA,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Rui Hachimura,Los Angeles Lakers,Houston Rockets,Player Threes,3.5,8,NA,Dabble
Houston Rockets v Los Angeles Lakers,Houston Rockets,Los Angeles Lakers,Luka Don<c4><8d>i<c4><87>,NA,NA,Player Threes,2.5,1.2,NA,Dabble
