match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,agency
Philadelphia 76ers v Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,Player Assists,Joel Embiid,Philadelphia 76ers,Charlotte Hornets,1.5,1.01,NA,Neds
Philadelphia 76ers v Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,Player Assists,Seth Curry,Charlotte Hornets,Philadelphia 76ers,1.5,1.52,NA,Neds
Philadelphia 76ers v Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,Player Assists,Miles Bridges,Charlotte Hornets,Philadelphia 76ers,1.5,1.11,NA,Neds
Philadelphia 76ers v Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,Player Assists,Kelly Oubre Jr.,Philadelphia 76ers,Charlotte Hornets,1.5,1.42,NA,Neds
Philadelphia 76ers v Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,Player Assists,Josh Green,Charlotte Hornets,Philadelphia 76ers,1.5,1.5,NA,Neds
Philadelphia 76ers v Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,Player Assists,Tyrese Maxey,Philadelphia 76ers,Charlotte Hornets,3.5,1.12,NA,Neds
Philadelphia 76ers v Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,Player Assists,Joel Embiid,Philadelphia 76ers,Charlotte Hornets,3.5,1.48,NA,Neds
Philadelphia 76ers v Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,Player Assists,Paul George,Philadelphia 76ers,Charlotte Hornets,3.5,1.19,NA,Neds
Philadelphia 76ers v Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,Player Assists,Kelly Oubre Jr.,Philadelphia 76ers,Charlotte Hornets,3.5,3.75,NA,Neds
Philadelphia 76ers v Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,Player Assists,Miles Bridges,Charlotte Hornets,Philadelphia 76ers,3.5,2.05,1.5699999999999998,Neds
Philadelphia 76ers v Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,Player Assists,Vasilije Micic,NA,NA,3.5,1.05,NA,Neds
Philadelphia 76ers v Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,Player Assists,Joel Embiid,Philadelphia 76ers,Charlotte Hornets,4.5,2.25,1.6,Neds
Philadelphia 76ers v Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,Player Assists,Paul George,Philadelphia 76ers,Charlotte Hornets,5.5,2.1,1.67,Neds
Philadelphia 76ers v Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,Player Assists,Paul George,Philadelphia 76ers,Charlotte Hornets,11.5,19,NA,Neds
Philadelphia 76ers v Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,Player Assists,Tyrese Maxey,Philadelphia 76ers,Charlotte Hornets,11.5,14,NA,Neds
Philadelphia 76ers v Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,Player Assists,Vasilije Micic,NA,NA,11.5,9.75,NA,Neds
Philadelphia 76ers v Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,Player Assists,Tyrese Maxey,Philadelphia 76ers,Charlotte Hornets,9.5,6,NA,Neds
Philadelphia 76ers v Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,Player Assists,Vasilije Micic,NA,NA,9.5,4.5,NA,Neds
Philadelphia 76ers v Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,Player Assists,Paul George,Philadelphia 76ers,Charlotte Hornets,9.5,7.75,NA,Neds
Philadelphia 76ers v Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,Player Assists,Joel Embiid,Philadelphia 76ers,Charlotte Hornets,9.5,19,NA,Neds
Philadelphia 76ers v Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,Player Assists,Paul George,Philadelphia 76ers,Charlotte Hornets,7.5,3.5,NA,Neds
Philadelphia 76ers v Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,Player Assists,Joel Embiid,Philadelphia 76ers,Charlotte Hornets,7.5,6.6,NA,Neds
Philadelphia 76ers v Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,Player Assists,Vasilije Micic,NA,NA,7.5,2.4,NA,Neds
Philadelphia 76ers v Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,Player Assists,Tyrese Maxey,Philadelphia 76ers,Charlotte Hornets,7.5,2.95,NA,Neds
Philadelphia 76ers v Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,Player Assists,Miles Bridges,Charlotte Hornets,Philadelphia 76ers,7.5,16,NA,Neds
Philadelphia 76ers v Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,Player Assists,Miles Bridges,Charlotte Hornets,Philadelphia 76ers,5.5,5,NA,Neds
Philadelphia 76ers v Charlotte Hornets,Philadelphia 76ers,Charlotte Hornets,Player Assists,Vasilije Micic,NA,NA,5.5,1.46,NA,Neds
