match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,agency
Portland Trail Blazers v Phoenix Suns,Portland Trail Blazers,Phoenix Suns,Player Blocks,Donovan Clingan,Portland Trail Blazers,Phoenix Suns,3.5,7.5,NA,Neds
Portland Trail Blazers v Phoenix Suns,Portland Trail Blazers,Phoenix Suns,Player Blocks,Mark Williams,Phoenix Suns,Portland Trail Blazers,3.5,5.8,NA,Neds
Brooklyn Nets v Boston Celtics,Brooklyn Nets,Boston Celtics,Player Blocks,Terance Mann,Brooklyn Nets,Boston Celtics,0.5,3.5,NA,Neds
Brooklyn Nets v Boston Celtics,Brooklyn Nets,Boston Celtics,Player Blocks,Jaylen Brown,Boston Celtics,Brooklyn Nets,0.5,2.65,NA,Neds
Brooklyn Nets v Boston Celtics,Brooklyn Nets,Boston Celtics,Player Blocks,Egor Demin,NA,NA,0.5,3.5,NA,Neds
Brooklyn Nets v Boston Celtics,Brooklyn Nets,Boston Celtics,Player Blocks,Neemias Queta,Boston Celtics,Brooklyn Nets,0.5,1.22,NA,Neds
Brooklyn Nets v Boston Celtics,Brooklyn Nets,Boston Celtics,Player Blocks,Noah Clowney,Brooklyn Nets,Boston Celtics,0.5,1.77,NA,Neds
Brooklyn Nets v Boston Celtics,Brooklyn Nets,Boston Celtics,Player Blocks,Derrick White,Boston Celtics,Brooklyn Nets,0.5,1.33,NA,Neds
Brooklyn Nets v Boston Celtics,Brooklyn Nets,Boston Celtics,Player Blocks,Nicolas Claxton,NA,NA,0.5,1.1,NA,Neds
Brooklyn Nets v Boston Celtics,Brooklyn Nets,Boston Celtics,Player Blocks,Day'Ron Sharpe,Brooklyn Nets,Boston Celtics,0.5,1.46,NA,Neds
Brooklyn Nets v Boston Celtics,Brooklyn Nets,Boston Celtics,Player Blocks,Jordan Walsh,Boston Celtics,Brooklyn Nets,0.5,1.6800000000000002,NA,Neds
Brooklyn Nets v Boston Celtics,Brooklyn Nets,Boston Celtics,Player Blocks,Michael Porter Jr.,Brooklyn Nets,Boston Celtics,0.5,2.1,NA,Neds
Brooklyn Nets v Boston Celtics,Brooklyn Nets,Boston Celtics,Player Blocks,Drake Powell,Brooklyn Nets,Boston Celtics,0.5,2.7,NA,Neds
Brooklyn Nets v Boston Celtics,Brooklyn Nets,Boston Celtics,Player Blocks,Ziaire Williams,Brooklyn Nets,Boston Celtics,0.5,2.15,NA,Neds
Brooklyn Nets v Boston Celtics,Brooklyn Nets,Boston Celtics,Player Blocks,Neemias Queta,Boston Celtics,Brooklyn Nets,3.5,8.25,NA,Neds
Brooklyn Nets v Boston Celtics,Brooklyn Nets,Boston Celtics,Player Blocks,Nicolas Claxton,NA,NA,3.5,5,NA,Neds
Orlando Magic v Golden State Warriors,Orlando Magic,Golden State Warriors,Player Blocks,Jalen Suggs,Orlando Magic,Golden State Warriors,1.5,2.95,NA,Neds
Orlando Magic v Golden State Warriors,Orlando Magic,Golden State Warriors,Player Blocks,Draymond Green,Golden State Warriors,Orlando Magic,1.5,4,NA,Neds
