match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,agency
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,Anthony Edwards,Minnesota Timberwolves,Dallas Mavericks,44.5,19,NA,Neds
Miami Heat v New York Knicks,Miami Heat,New York Knicks,Player Points,Andrew Wiggins,Miami Heat,New York Knicks,11.5,1.15,NA,Neds
Miami Heat v New York Knicks,Miami Heat,New York Knicks,Player Points,Simone Fontecchio,Miami Heat,New York Knicks,11.5,2.5,NA,Neds
Miami Heat v New York Knicks,Miami Heat,New York Knicks,Player Points,Mikal Bridges,New York Knicks,Miami Heat,11.5,1.11,NA,Neds
Miami Heat v New York Knicks,Miami Heat,New York Knicks,Player Points,Jaime Jaquez Jr.,Miami Heat,New York Knicks,11.5,1.2,NA,Neds
Miami Heat v New York Knicks,Miami Heat,New York Knicks,Player Points,Kel'el Ware,Miami Heat,New York Knicks,11.5,1.53,NA,Neds
Miami Heat v New York Knicks,Miami Heat,New York Knicks,Player Points,Jordan Clarkson,New York Knicks,Miami Heat,11.5,1.3,NA,Neds
Miami Heat v New York Knicks,Miami Heat,New York Knicks,Player Points,Miles McBride,New York Knicks,Miami Heat,11.5,1.48,NA,Neds
Miami Heat v New York Knicks,Miami Heat,New York Knicks,Player Points,Davion Mitchell,Miami Heat,New York Knicks,11.5,2.15,NA,Neds
Miami Heat v New York Knicks,Miami Heat,New York Knicks,Player Points,Pelle Larsson,Miami Heat,New York Knicks,11.5,2.4,NA,Neds
Miami Heat v New York Knicks,Miami Heat,New York Knicks,Player Points,Josh Hart,New York Knicks,Miami Heat,11.5,1.6400000000000001,NA,Neds
Miami Heat v New York Knicks,Miami Heat,New York Knicks,Player Points,Nikola Jovi<c4><87>,NA,NA,11.5,2.35,NA,Neds
Miami Heat v New York Knicks,Miami Heat,New York Knicks,Player Points,Landry Shamet,New York Knicks,Miami Heat,11.5,1.53,NA,Neds
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,Klay Thompson,Dallas Mavericks,Minnesota Timberwolves,11.5,1.96,1.78,Neds
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Points,Jarrett Allen,Cleveland Cavaliers,Milwaukee Bucks,21.5,4.8,NA,Neds
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Points,Donovan Mitchell,Cleveland Cavaliers,Milwaukee Bucks,21.5,1.2,NA,Neds
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Points,Evan Mobley,Cleveland Cavaliers,Milwaukee Bucks,21.5,2.4,NA,Neds
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Points,Kyle Kuzma,Milwaukee Bucks,Cleveland Cavaliers,21.5,8.25,NA,Neds
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Points,Ryan Rollins,Milwaukee Bucks,Cleveland Cavaliers,21.5,4.8,NA,Neds
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Points,De'Andre Hunter,Cleveland Cavaliers,Milwaukee Bucks,21.5,2.5,NA,Neds
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Points,Myles Turner,Milwaukee Bucks,Cleveland Cavaliers,21.5,8.25,NA,Neds
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Points,Giannis Antetokounmpo,Milwaukee Bucks,Cleveland Cavaliers,21.5,1.1400000000000001,NA,Neds
Detroit Pistons v Indiana Pacers,Detroit Pistons,Indiana Pacers,Player Points,Ausar Thompson,Detroit Pistons,Indiana Pacers,15.5,1.92,1.8199999999999998,Neds
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Points,Jarrett Allen,Cleveland Cavaliers,Milwaukee Bucks,17.5,2.55,NA,Neds
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Points,Bobby Portis,Milwaukee Bucks,Cleveland Cavaliers,17.5,10,NA,Neds
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Points,Gary Trent Jr.,Milwaukee Bucks,Cleveland Cavaliers,17.5,8.5,NA,Neds
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Points,Sam Merrill,Cleveland Cavaliers,Milwaukee Bucks,17.5,5.6,NA,Neds
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Points,Kyle Kuzma,Milwaukee Bucks,Cleveland Cavaliers,17.5,3.6,NA,Neds
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Points,Evan Mobley,Cleveland Cavaliers,Milwaukee Bucks,17.5,1.6400000000000001,NA,Neds
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Points,Myles Turner,Milwaukee Bucks,Cleveland Cavaliers,17.5,3.6,NA,Neds
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Points,Ryan Rollins,Milwaukee Bucks,Cleveland Cavaliers,17.5,2.6,NA,Neds
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Points,Donovan Mitchell,Cleveland Cavaliers,Milwaukee Bucks,17.5,1.06,NA,Neds
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Points,De'Andre Hunter,Cleveland Cavaliers,Milwaukee Bucks,17.5,1.67,NA,Neds
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Points,Giannis Antetokounmpo,Milwaukee Bucks,Cleveland Cavaliers,17.5,1.03,NA,Neds
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Points,AJ Green,Milwaukee Bucks,Cleveland Cavaliers,17.5,8.5,NA,Neds
New Orleans Pelicans v Oklahoma City Thunder,New Orleans Pelicans,Oklahoma City Thunder,Player Points,Shai Gilgeous-Alexander,Oklahoma City Thunder,New Orleans Pelicans,34.5,2.5,NA,Neds
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,Donte DiVincenzo,Minnesota Timberwolves,Dallas Mavericks,15.5,2.25,NA,Neds
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,Cooper Flagg,Dallas Mavericks,Minnesota Timberwolves,15.5,1.77,1.92,Neds
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,Naji Marshall,Dallas Mavericks,Minnesota Timberwolves,15.5,6,NA,Neds
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,Brandon Williams,Dallas Mavericks,Minnesota Timberwolves,15.5,2.25,NA,Neds
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,Klay Thompson,Dallas Mavericks,Minnesota Timberwolves,15.5,3.45,NA,Neds
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,D'Angelo Russell,Dallas Mavericks,Minnesota Timberwolves,15.5,3.05,NA,Neds
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,Rudy Gobert,Minnesota Timberwolves,Dallas Mavericks,15.5,3.15,NA,Neds
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,Julius Randle,Minnesota Timberwolves,Dallas Mavericks,15.5,1.17,NA,Neds
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,Jaden McDaniels,Minnesota Timberwolves,Dallas Mavericks,15.5,1.98,NA,Neds
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,Naz Reid,Minnesota Timberwolves,Dallas Mavericks,15.5,2.6,NA,Neds
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,Anthony Edwards,Minnesota Timberwolves,Dallas Mavericks,15.5,1.03,NA,Neds
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,P.J. Washington,Dallas Mavericks,Minnesota Timberwolves,15.5,1.75,1.96,Neds
Minnesota Timberwolves v Dallas Mavericks,Minnesota Timberwolves,Dallas Mavericks,Player Points,Max Christie,Dallas Mavericks,Minnesota Timberwolves,15.5,3.15,NA,Neds
Denver Nuggets v Chicago Bulls,Denver Nuggets,Chicago Bulls,Player Points,Jonas Valanciunas,NA,NA,8.5,1.87,1.87,Neds
Miami Heat v New York Knicks,Miami Heat,New York Knicks,Player Points,Norman Powell,Miami Heat,New York Knicks,26.5,1.9100000000000001,1.83,Neds
Denver Nuggets v Chicago Bulls,Denver Nuggets,Chicago Bulls,Player Points,Jamal Murray,Denver Nuggets,Chicago Bulls,39.5,26,NA,Neds
Denver Nuggets v Chicago Bulls,Denver Nuggets,Chicago Bulls,Player Points,Nikola Joki<c4><87>,NA,NA,39.5,7.25,NA,Neds
Miami Heat v New York Knicks,Miami Heat,New York Knicks,Player Points,Jordan Clarkson,New York Knicks,Miami Heat,21.5,3.7,NA,Neds
Miami Heat v New York Knicks,Miami Heat,New York Knicks,Player Points,Norman Powell,Miami Heat,New York Knicks,21.5,1.33,NA,Neds
Miami Heat v New York Knicks,Miami Heat,New York Knicks,Player Points,Mikal Bridges,New York Knicks,Miami Heat,21.5,2.2,NA,Neds
Miami Heat v New York Knicks,Miami Heat,New York Knicks,Player Points,Miles McBride,New York Knicks,Miami Heat,21.5,6,NA,Neds
