match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,agency
Memphis Grizzlies v Atlanta Hawks,Memphis Grizzlies,Atlanta Hawks,Player Rebounds,Zach Edey,Memphis Grizzlies,Atlanta Hawks,17.5,26,NA,Neds
Memphis Grizzlies v Atlanta Hawks,Memphis Grizzlies,Atlanta Hawks,Player Rebounds,Onyeka Okongwu,Atlanta Hawks,Memphis Grizzlies,17.5,15,NA,Neds
Oklahoma City Thunder v Houston Rockets,Oklahoma City Thunder,Houston Rockets,Player Rebounds,Isaiah Hartenstein,Oklahoma City Thunder,Houston Rockets,9.5,1.8199999999999998,1.92,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Bam Adebayo,Miami Heat,Washington Wizards,9.5,1.33,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Alexandre Sarr,NA,NA,9.5,4.5,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Andrew Wiggins,Miami Heat,Washington Wizards,9.5,5.75,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Richaun Holmes,Washington Wizards,Miami Heat,9.5,5.6,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Kyshawn George,Washington Wizards,Miami Heat,9.5,7.75,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Bilal Coulibaly,Washington Wizards,Miami Heat,9.5,8,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Tyler Herro,Miami Heat,Washington Wizards,9.5,5.75,NA,Neds
Dallas Mavericks v Sacramento Kings,Dallas Mavericks,Sacramento Kings,Player Rebounds,DeMar DeRozan,Sacramento Kings,Dallas Mavericks,4.5,2.15,1.65,Neds
Philadelphia 76ers v Portland Trail Blazers,Philadelphia 76ers,Portland Trail Blazers,Player Rebounds,Paul George,Philadelphia 76ers,Portland Trail Blazers,5.5,1.88,1.87,Neds
Oklahoma City Thunder v Houston Rockets,Oklahoma City Thunder,Houston Rockets,Player Rebounds,Aaron Wiggins,Oklahoma City Thunder,Houston Rockets,3.5,2.05,1.7,Neds
Oklahoma City Thunder v Houston Rockets,Oklahoma City Thunder,Houston Rockets,Player Rebounds,Dillon Brooks,Houston Rockets,Oklahoma City Thunder,3.5,1.77,1.98,Neds
Memphis Grizzlies v Atlanta Hawks,Memphis Grizzlies,Atlanta Hawks,Player Rebounds,Zach Edey,Memphis Grizzlies,Atlanta Hawks,8.5,1.87,1.87,Neds
Memphis Grizzlies v Atlanta Hawks,Memphis Grizzlies,Atlanta Hawks,Player Rebounds,Desmond Bane,Memphis Grizzlies,Atlanta Hawks,5.5,1.88,1.87,Neds
Philadelphia 76ers v Portland Trail Blazers,Philadelphia 76ers,Portland Trail Blazers,Player Rebounds,Andre Drummond,Philadelphia 76ers,Portland Trail Blazers,9.5,2.02,1.75,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Duncan Robinson,Miami Heat,Washington Wizards,3.5,1.83,1.9100000000000001,Neds
Dallas Mavericks v Sacramento Kings,Dallas Mavericks,Sacramento Kings,Player Rebounds,Jonas Valanciunas,NA,NA,12.5,1.94,1.8,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Bam Adebayo,Miami Heat,Washington Wizards,19.5,12.5,NA,Neds
Philadelphia 76ers v Portland Trail Blazers,Philadelphia 76ers,Portland Trail Blazers,Player Rebounds,Toumani Camara,Portland Trail Blazers,Philadelphia 76ers,3.5,1.13,NA,Neds
Philadelphia 76ers v Portland Trail Blazers,Philadelphia 76ers,Portland Trail Blazers,Player Rebounds,Shaedon Sharpe,Portland Trail Blazers,Philadelphia 76ers,3.5,1.3599999999999999,NA,Neds
Philadelphia 76ers v Portland Trail Blazers,Philadelphia 76ers,Portland Trail Blazers,Player Rebounds,Paul George,Philadelphia 76ers,Portland Trail Blazers,3.5,1.2,NA,Neds
Philadelphia 76ers v Portland Trail Blazers,Philadelphia 76ers,Portland Trail Blazers,Player Rebounds,Deni Avdija,Portland Trail Blazers,Philadelphia 76ers,3.5,1.08,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Alexandre Sarr,NA,NA,6.5,2.02,1.73,Neds
Memphis Grizzlies v Atlanta Hawks,Memphis Grizzlies,Atlanta Hawks,Player Rebounds,Zaccharie Risacher,Atlanta Hawks,Memphis Grizzlies,3.5,1.75,2,Neds
Memphis Grizzlies v Atlanta Hawks,Memphis Grizzlies,Atlanta Hawks,Player Rebounds,Zach Edey,Memphis Grizzlies,Atlanta Hawks,13.5,6.2,NA,Neds
Memphis Grizzlies v Atlanta Hawks,Memphis Grizzlies,Atlanta Hawks,Player Rebounds,Onyeka Okongwu,Atlanta Hawks,Memphis Grizzlies,13.5,4.4,NA,Neds
Memphis Grizzlies v Atlanta Hawks,Memphis Grizzlies,Atlanta Hawks,Player Rebounds,Clint Capela,Atlanta Hawks,Memphis Grizzlies,13.5,11,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Bam Adebayo,Miami Heat,Washington Wizards,13.5,2.55,NA,Neds
