match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,agency
Milwaukee Bucks v Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,Player Steals,Brandon Miller,Charlotte Hornets,Milwaukee Bucks,2.5,4.25,NA,Neds
Milwaukee Bucks v Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,Player Steals,LaMelo Ball,Charlotte Hornets,Milwaukee Bucks,2.5,2.85,NA,Neds
Milwaukee Bucks v Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,Player Steals,Moussa Diabate,NA,NA,2.5,4.25,NA,Neds
Milwaukee Bucks v Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,Player Steals,Taurean Prince,Milwaukee Bucks,Charlotte Hornets,0.5,1.42,NA,Neds
Milwaukee Bucks v Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,Player Steals,Cody Martin,Charlotte Hornets,Milwaukee Bucks,0.5,1.24,NA,Neds
Milwaukee Bucks v Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,Player Steals,Tidjane Salaun,NA,NA,0.5,1.77,NA,Neds
Milwaukee Bucks v Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,Player Steals,Bobby Portis,Milwaukee Bucks,Charlotte Hornets,0.5,1.67,NA,Neds
Milwaukee Bucks v Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,Player Steals,Gary Trent,NA,NA,0.5,1.33,NA,Neds
Milwaukee Bucks v Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,Player Steals,Brook Lopez,Milwaukee Bucks,Charlotte Hornets,0.5,1.3,NA,Neds
Milwaukee Bucks v Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,Player Steals,Grant Williams,Charlotte Hornets,Milwaukee Bucks,0.5,1.22,NA,Neds
Milwaukee Bucks v Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,Player Steals,AJ Green,Milwaukee Bucks,Charlotte Hornets,0.5,1.9,NA,Neds
Milwaukee Bucks v Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,Player Steals,Moussa Diabate,NA,NA,0.5,1.16,NA,Neds
Milwaukee Bucks v Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,Player Steals,Seth Curry,Charlotte Hornets,Milwaukee Bucks,0.5,1.85,NA,Neds
Milwaukee Bucks v Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,Player Steals,Giannis Antetokounmpo,Milwaukee Bucks,Charlotte Hornets,0.5,1.3,NA,Neds
Milwaukee Bucks v Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,Player Steals,Brandon Miller,Charlotte Hornets,Milwaukee Bucks,0.5,1.16,NA,Neds
Milwaukee Bucks v Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,Player Steals,Josh Green,Charlotte Hornets,Milwaukee Bucks,0.5,1.44,NA,Neds
Milwaukee Bucks v Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,Player Steals,Damian Lillard,Milwaukee Bucks,Charlotte Hornets,0.5,1.38,NA,Neds
Milwaukee Bucks v Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,Player Steals,LaMelo Ball,Charlotte Hornets,Milwaukee Bucks,0.5,1.04,NA,Neds
