match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,agency
New York Knicks v Indiana Pacers,New York Knicks,Indiana Pacers,Player Steals,Donte DiVincenzo,New York Knicks,Indiana Pacers,7.5,3.05,NA,Neds
New York Knicks v Indiana Pacers,New York Knicks,Indiana Pacers,Player Steals,Jalen Brunson,New York Knicks,Indiana Pacers,7.5,14,NA,Neds
Boston Celtics v Los Angeles Lakers,Boston Celtics,Los Angeles Lakers,Player Steals,D'Angelo Russell,Los Angeles Lakers,Boston Celtics,7.5,5.8,NA,Neds
Boston Celtics v Los Angeles Lakers,Boston Celtics,Los Angeles Lakers,Player Steals,Jayson Tatum,Boston Celtics,Los Angeles Lakers,7.5,11,NA,Neds
Boston Celtics v Los Angeles Lakers,Boston Celtics,Los Angeles Lakers,Player Steals,Derrick White,Boston Celtics,Los Angeles Lakers,7.5,12.5,NA,Neds
New York Knicks v Indiana Pacers,New York Knicks,Indiana Pacers,Player Steals,Jalen Brunson,New York Knicks,Indiana Pacers,6.5,7.75,NA,Neds
New York Knicks v Indiana Pacers,New York Knicks,Indiana Pacers,Player Steals,Tyrese Haliburton,Indiana Pacers,New York Knicks,6.5,23,NA,Neds
New York Knicks v Indiana Pacers,New York Knicks,Indiana Pacers,Player Steals,Donte DiVincenzo,New York Knicks,Indiana Pacers,6.5,2.25,NA,Neds
New York Knicks v Indiana Pacers,New York Knicks,Indiana Pacers,Player Steals,O.G. Anunoby,NA,NA,6.5,17,NA,Neds
Utah Jazz v Philadelphia 76ers,Utah Jazz,Philadelphia 76ers,Player Steals,Tyrese Maxey,Philadelphia 76ers,Utah Jazz,7.5,5.25,NA,Neds
Utah Jazz v Philadelphia 76ers,Utah Jazz,Philadelphia 76ers,Player Steals,Lauri Markkanen,Utah Jazz,Philadelphia 76ers,7.5,19,NA,Neds
Memphis Grizzlies v Cleveland Cavaliers,Memphis Grizzlies,Cleveland Cavaliers,Player Steals,Donovan Mitchell,Cleveland Cavaliers,Memphis Grizzlies,8.5,19,NA,Neds
Boston Celtics v Los Angeles Lakers,Boston Celtics,Los Angeles Lakers,Player Steals,Derrick White,Boston Celtics,Los Angeles Lakers,3.5,1.83,NA,Neds
Boston Celtics v Los Angeles Lakers,Boston Celtics,Los Angeles Lakers,Player Steals,Christian Wood,Los Angeles Lakers,Boston Celtics,3.5,8,NA,Neds
Boston Celtics v Los Angeles Lakers,Boston Celtics,Los Angeles Lakers,Player Steals,Kristaps Porzingis,Boston Celtics,Los Angeles Lakers,3.5,3.45,NA,Neds
Boston Celtics v Los Angeles Lakers,Boston Celtics,Los Angeles Lakers,Player Steals,Taurean Prince,Los Angeles Lakers,Boston Celtics,3.5,3.45,NA,Neds
Boston Celtics v Los Angeles Lakers,Boston Celtics,Los Angeles Lakers,Player Steals,Austin Reaves,Los Angeles Lakers,Boston Celtics,3.5,3.6,NA,Neds
Boston Celtics v Los Angeles Lakers,Boston Celtics,Los Angeles Lakers,Player Steals,Jrue Holiday,Boston Celtics,Los Angeles Lakers,3.5,2.7,NA,Neds
Boston Celtics v Los Angeles Lakers,Boston Celtics,Los Angeles Lakers,Player Steals,D'Angelo Russell,Los Angeles Lakers,Boston Celtics,3.5,1.4,NA,Neds
Boston Celtics v Los Angeles Lakers,Boston Celtics,Los Angeles Lakers,Player Steals,Rui Hachimura,Los Angeles Lakers,Boston Celtics,3.5,7.25,NA,Neds
Boston Celtics v Los Angeles Lakers,Boston Celtics,Los Angeles Lakers,Player Steals,Jayson Tatum,Boston Celtics,Los Angeles Lakers,3.5,1.73,NA,Neds
Boston Celtics v Los Angeles Lakers,Boston Celtics,Los Angeles Lakers,Player Steals,Jaylen Brown,Boston Celtics,Los Angeles Lakers,3.5,2.7,NA,Neds
Memphis Grizzlies v Cleveland Cavaliers,Memphis Grizzlies,Cleveland Cavaliers,Player Steals,Jaren Jackson Jr.,Memphis Grizzlies,Cleveland Cavaliers,1.5,1.26,NA,Neds
Memphis Grizzlies v Cleveland Cavaliers,Memphis Grizzlies,Cleveland Cavaliers,Player Steals,Max Strus,Cleveland Cavaliers,Memphis Grizzlies,1.5,1.19,NA,Neds
Memphis Grizzlies v Cleveland Cavaliers,Memphis Grizzlies,Cleveland Cavaliers,Player Steals,Vince Williams Jr.,Memphis Grizzlies,Cleveland Cavaliers,1.5,1.18,NA,Neds
Memphis Grizzlies v Cleveland Cavaliers,Memphis Grizzlies,Cleveland Cavaliers,Player Steals,Donovan Mitchell,Cleveland Cavaliers,Memphis Grizzlies,1.5,1.06,NA,Neds
Memphis Grizzlies v Cleveland Cavaliers,Memphis Grizzlies,Cleveland Cavaliers,Player Steals,David Roddy,Memphis Grizzlies,Cleveland Cavaliers,1.5,2,NA,Neds
Memphis Grizzlies v Cleveland Cavaliers,Memphis Grizzlies,Cleveland Cavaliers,Player Steals,Santi Aldama,Memphis Grizzlies,Cleveland Cavaliers,1.5,1.33,NA,Neds
Memphis Grizzlies v Cleveland Cavaliers,Memphis Grizzlies,Cleveland Cavaliers,Player Steals,Darius Garland,Cleveland Cavaliers,Memphis Grizzlies,1.5,1.75,NA,Neds
Memphis Grizzlies v Cleveland Cavaliers,Memphis Grizzlies,Cleveland Cavaliers,Player Steals,Caris LeVert,Cleveland Cavaliers,Memphis Grizzlies,1.5,1.55,NA,Neds
New York Knicks v Indiana Pacers,New York Knicks,Indiana Pacers,Player Steals,Josh Hart,New York Knicks,Indiana Pacers,0.5,1.22,NA,Neds
New York Knicks v Indiana Pacers,New York Knicks,Indiana Pacers,Player Steals,Aaron Nesmith,Indiana Pacers,New York Knicks,0.5,1.01,NA,Neds
New York Knicks v Indiana Pacers,New York Knicks,Indiana Pacers,Player Steals,Pascal Siakam,Toronto Raptors,NA,0.5,1.3,NA,Neds
New York Knicks v Indiana Pacers,New York Knicks,Indiana Pacers,Player Steals,O.G. Anunoby,NA,NA,0.5,1.01,NA,Neds
New York Knicks v Indiana Pacers,New York Knicks,Indiana Pacers,Player Steals,Tyrese Haliburton,Indiana Pacers,New York Knicks,0.5,1.01,NA,Neds
New York Knicks v Indiana Pacers,New York Knicks,Indiana Pacers,Player Steals,Myles Turner,Indiana Pacers,New York Knicks,0.5,1.19,NA,Neds
New York Knicks v Indiana Pacers,New York Knicks,Indiana Pacers,Player Steals,Jalen Brunson,New York Knicks,Indiana Pacers,2.5,1.4,NA,Neds
New York Knicks v Indiana Pacers,New York Knicks,Indiana Pacers,Player Steals,O.G. Anunoby,NA,NA,2.5,1.73,NA,Neds
New York Knicks v Indiana Pacers,New York Knicks,Indiana Pacers,Player Steals,Tyrese Haliburton,Indiana Pacers,New York Knicks,2.5,1.87,NA,Neds
New York Knicks v Indiana Pacers,New York Knicks,Indiana Pacers,Player Steals,Josh Hart,New York Knicks,Indiana Pacers,2.5,3.75,NA,Neds
New York Knicks v Indiana Pacers,New York Knicks,Indiana Pacers,Player Steals,Donte DiVincenzo,New York Knicks,Indiana Pacers,2.5,1.01,NA,Neds
New York Knicks v Indiana Pacers,New York Knicks,Indiana Pacers,Player Steals,Myles Turner,Indiana Pacers,New York Knicks,2.5,3.45,NA,Neds
New York Knicks v Indiana Pacers,New York Knicks,Indiana Pacers,Player Steals,Pascal Siakam,Toronto Raptors,NA,2.5,4.6,NA,Neds
New York Knicks v Indiana Pacers,New York Knicks,Indiana Pacers,Player Steals,Aaron Nesmith,Indiana Pacers,New York Knicks,2.5,1.92,NA,Neds
