match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,agency
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Triple Double,LaMelo Ball,Charlotte Hornets,Memphis Grizzlies,0.5,51,Neds
Boston Celtics v Atlanta Hawks,Boston Celtics,Atlanta Hawks,Player Triple Double,Derrick White,Boston Celtics,Atlanta Hawks,0.5,51,Neds
Boston Celtics v Atlanta Hawks,Boston Celtics,Atlanta Hawks,Player Triple Double,Jalen Johnson,Atlanta Hawks,Boston Celtics,0.5,4.8,Neds
Boston Celtics v Atlanta Hawks,Boston Celtics,Atlanta Hawks,Player Triple Double,Dyson Daniels,Atlanta Hawks,Boston Celtics,0.5,26,Neds
Boston Celtics v Atlanta Hawks,Boston Celtics,Atlanta Hawks,Player Triple Double,Jaylen Brown,Boston Celtics,Atlanta Hawks,0.5,19,Neds
Dallas Mavericks v Minnesota Timberwolves,Dallas Mavericks,Minnesota Timberwolves,Player Triple Double,Cooper Flagg,Dallas Mavericks,Minnesota Timberwolves,0.5,51,Neds
Dallas Mavericks v Minnesota Timberwolves,Dallas Mavericks,Minnesota Timberwolves,Player Triple Double,Julius Randle,Minnesota Timberwolves,Dallas Mavericks,0.5,19,Neds
Miami Heat v Orlando Magic,Miami Heat,Orlando Magic,Player Triple Double,Paolo Banchero,Orlando Magic,Miami Heat,0.5,16,Neds
Indiana Pacers v Chicago Bulls,Indiana Pacers,Chicago Bulls,Player Triple Double,Nikola Vu<c4><8d>evi<c4><87>,NA,NA,0.5,34,Neds
Indiana Pacers v Chicago Bulls,Indiana Pacers,Chicago Bulls,Player Triple Double,Josh Giddey,Chicago Bulls,Indiana Pacers,0.5,9.75,Neds
Indiana Pacers v Chicago Bulls,Indiana Pacers,Chicago Bulls,Player Triple Double,Pascal Siakam,Indiana Pacers,Chicago Bulls,0.5,51,Neds
Cleveland Cavaliers v Los Angeles Lakers,Cleveland Cavaliers,Los Angeles Lakers,Player Triple Double,LeBron James,Los Angeles Lakers,Cleveland Cavaliers,0.5,19,Neds
Cleveland Cavaliers v Los Angeles Lakers,Cleveland Cavaliers,Los Angeles Lakers,Player Triple Double,Luka Don<c4><8d>i<c4><87>,NA,NA,0.5,5.25,Neds
Cleveland Cavaliers v Los Angeles Lakers,Cleveland Cavaliers,Los Angeles Lakers,Player Triple Double,Donovan Mitchell,Cleveland Cavaliers,Los Angeles Lakers,0.5,51,Neds
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Triple Double,Amen Thompson,Houston Rockets,San Antonio Spurs,0.5,15,Neds
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Triple Double,Alperen Sengun,Houston Rockets,San Antonio Spurs,0.5,8.5,Neds
Toronto Raptors v New York Knicks,Toronto Raptors,New York Knicks,Player Triple Double,Josh Hart,New York Knicks,Toronto Raptors,0.5,34,Neds
Toronto Raptors v New York Knicks,Toronto Raptors,New York Knicks,Player Triple Double,Scottie Barnes,Toronto Raptors,New York Knicks,0.5,17,Neds
