match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,EventKey,MarketKey,OutcomeKey,OutcomeKey_unders
Orlando Magic v Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,Player Assists,Alex Caruso,Oklahoma City Thunder,1.5,1.63,NA,Pointsbet,Orlando Magic,2037362,77249484,71,NA
Orlando Magic v Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,Player Assists,Alex Caruso,Oklahoma City Thunder,3.5,4.75,NA,Pointsbet,Orlando Magic,2037362,77249484,72,NA
Orlando Magic v Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,Player Assists,Anthony Black,Orlando Magic,1.5,1.22,NA,Pointsbet,Oklahoma City Thunder,2037362,77249484,41,NA
Orlando Magic v Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,Player Assists,Anthony Black,Orlando Magic,3.5,2.6,NA,Pointsbet,Oklahoma City Thunder,2037362,77249484,42,NA
Orlando Magic v Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,Player Assists,Anthony Black,Orlando Magic,5.5,8,NA,Pointsbet,Oklahoma City Thunder,2037362,77249484,43,NA
Orlando Magic v Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,Player Assists,Goga Bitadze,Orlando Magic,3.5,1.9,NA,Pointsbet,Oklahoma City Thunder,2037362,77249484,52,NA
Orlando Magic v Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,Player Assists,Goga Bitadze,Orlando Magic,5.5,8.5,NA,Pointsbet,Oklahoma City Thunder,2037362,77249484,53,NA
Orlando Magic v Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,Player Assists,Isaiah Hartenstein,Oklahoma City Thunder,1.5,1.07,NA,Pointsbet,Orlando Magic,2037362,77249484,31,NA
Orlando Magic v Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,Player Assists,Isaiah Hartenstein,Oklahoma City Thunder,3.5,2,NA,Pointsbet,Orlando Magic,2037362,77249484,32,NA
Orlando Magic v Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,Player Assists,Isaiah Hartenstein,Oklahoma City Thunder,5.5,6.5,NA,Pointsbet,Orlando Magic,2037362,77249484,33,NA
Orlando Magic v Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,Player Assists,Jalen Suggs,Orlando Magic,3.5,1.13,NA,Pointsbet,Oklahoma City Thunder,2037362,77249484,2,NA
Orlando Magic v Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,Player Assists,Jalen Suggs,Orlando Magic,5.5,2,NA,Pointsbet,Oklahoma City Thunder,2037362,77249484,3,NA
Orlando Magic v Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,Player Assists,Jalen Suggs,Orlando Magic,7.5,5.75,NA,Pointsbet,Oklahoma City Thunder,2037362,77249484,4,NA
Orlando Magic v Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,Player Assists,Jalen Williams,Oklahoma City Thunder,3.5,1.11,NA,Pointsbet,Orlando Magic,2037362,77249484,22,NA
Orlando Magic v Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,Player Assists,Jalen Williams,Oklahoma City Thunder,5.5,2,NA,Pointsbet,Orlando Magic,2037362,77249484,23,NA
Orlando Magic v Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,Player Assists,Jalen Williams,Oklahoma City Thunder,7.5,5.25,NA,Pointsbet,Orlando Magic,2037362,77249484,24,NA
Orlando Magic v Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,Player Assists,Kentavious Caldwell-Pope,Orlando Magic,3.5,1.9,NA,Pointsbet,Oklahoma City Thunder,2037362,77249484,82,NA
Orlando Magic v Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,Player Assists,Kentavious Caldwell-Pope,Orlando Magic,5.5,8.5,NA,Pointsbet,Oklahoma City Thunder,2037362,77249484,83,NA
Orlando Magic v Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,Player Assists,Luguentz Dort,Oklahoma City Thunder,1.5,1.4,NA,Pointsbet,Orlando Magic,2037362,77249484,91,NA
Orlando Magic v Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,Player Assists,Luguentz Dort,Oklahoma City Thunder,3.5,7.5,NA,Pointsbet,Orlando Magic,2037362,77249484,92,NA
Orlando Magic v Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,Player Assists,Shai Gilgeous-Alexander,Oklahoma City Thunder,9.5,7.5,NA,Pointsbet,Orlando Magic,2037362,77249484,15,NA
Orlando Magic v Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,Player Assists,Shai Gilgeous-Alexander,Oklahoma City Thunder,5.5,1.27,NA,Pointsbet,Orlando Magic,2037362,77249484,13,NA
Orlando Magic v Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,Player Assists,Shai Gilgeous-Alexander,Oklahoma City Thunder,7.5,2.55,NA,Pointsbet,Orlando Magic,2037362,77249484,14,NA
Orlando Magic v Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,Player Assists,Wendell Carter Jr.,Orlando Magic,1.5,1.67,NA,Pointsbet,Oklahoma City Thunder,2037362,77249484,61,NA
Orlando Magic v Oklahoma City Thunder,Orlando Magic,Oklahoma City Thunder,Player Assists,Wendell Carter Jr.,Orlando Magic,3.5,6,NA,Pointsbet,Oklahoma City Thunder,2037362,77249484,62,NA
Washington Wizards v Charlotte Hornets,Washington Wizards,Charlotte Hornets,Player Assists,Bilal Coulibaly,Washington Wizards,3.5,1.31,NA,Pointsbet,Charlotte Hornets,2037361,77249470,12,NA
Washington Wizards v Charlotte Hornets,Washington Wizards,Charlotte Hornets,Player Assists,Bilal Coulibaly,Washington Wizards,5.5,3.6,NA,Pointsbet,Charlotte Hornets,2037361,77249470,13,NA
Washington Wizards v Charlotte Hornets,Washington Wizards,Charlotte Hornets,Player Assists,Carlton Carrington,Washington Wizards,1.5,1.31,NA,Pointsbet,Charlotte Hornets,2037361,77249470,21,NA
Washington Wizards v Charlotte Hornets,Washington Wizards,Charlotte Hornets,Player Assists,Carlton Carrington,Washington Wizards,3.5,2.85,NA,Pointsbet,Charlotte Hornets,2037361,77249470,22,NA
Washington Wizards v Charlotte Hornets,Washington Wizards,Charlotte Hornets,Player Assists,Carlton Carrington,Washington Wizards,5.5,9.5,NA,Pointsbet,Charlotte Hornets,2037361,77249470,23,NA
Washington Wizards v Charlotte Hornets,Washington Wizards,Charlotte Hornets,Player Assists,Jordan Poole,Washington Wizards,3.5,1.07,NA,Pointsbet,Charlotte Hornets,2037361,77249470,2,NA
Washington Wizards v Charlotte Hornets,Washington Wizards,Charlotte Hornets,Player Assists,Jordan Poole,Washington Wizards,5.5,1.63,NA,Pointsbet,Charlotte Hornets,2037361,77249470,3,NA
Washington Wizards v Charlotte Hornets,Washington Wizards,Charlotte Hornets,Player Assists,Jordan Poole,Washington Wizards,7.5,3.7,NA,Pointsbet,Charlotte Hornets,2037361,77249470,4,NA
Washington Wizards v Charlotte Hornets,Washington Wizards,Charlotte Hornets,Player Assists,LaMelo Ball,Charlotte Hornets,9.5,1.4,NA,Pointsbet,Washington Wizards,2037361,77249470,35,NA
Washington Wizards v Charlotte Hornets,Washington Wizards,Charlotte Hornets,Player Assists,LaMelo Ball,Charlotte Hornets,11.5,2.55,NA,Pointsbet,Washington Wizards,2037361,77249470,36,NA
Washington Wizards v Charlotte Hornets,Washington Wizards,Charlotte Hornets,Player Assists,LaMelo Ball,Charlotte Hornets,13.5,6,NA,Pointsbet,Washington Wizards,2037361,77249470,37,NA
Washington Wizards v Charlotte Hornets,Washington Wizards,Charlotte Hornets,Player Assists,LaMelo Ball,Charlotte Hornets,7.5,1.06,NA,Pointsbet,Washington Wizards,2037361,77249470,34,NA
Washington Wizards v Charlotte Hornets,Washington Wizards,Charlotte Hornets,Player Assists,Malcolm Brogdon,Washington Wizards,1.5,1.05,NA,Pointsbet,Charlotte Hornets,2037361,77249470,41,NA
Washington Wizards v Charlotte Hornets,Washington Wizards,Charlotte Hornets,Player Assists,Malcolm Brogdon,Washington Wizards,3.5,2,NA,Pointsbet,Charlotte Hornets,2037361,77249470,42,NA
Washington Wizards v Charlotte Hornets,Washington Wizards,Charlotte Hornets,Player Assists,Malcolm Brogdon,Washington Wizards,5.5,5.75,NA,Pointsbet,Charlotte Hornets,2037361,77249470,43,NA
Washington Wizards v Charlotte Hornets,Washington Wizards,Charlotte Hornets,Player Assists,Miles Bridges,Charlotte Hornets,1.5,1.08,NA,Pointsbet,Washington Wizards,2037361,77249470,51,NA
Washington Wizards v Charlotte Hornets,Washington Wizards,Charlotte Hornets,Player Assists,Miles Bridges,Charlotte Hornets,3.5,2.2,NA,Pointsbet,Washington Wizards,2037361,77249470,52,NA
Washington Wizards v Charlotte Hornets,Washington Wizards,Charlotte Hornets,Player Assists,Miles Bridges,Charlotte Hornets,5.5,7,NA,Pointsbet,Washington Wizards,2037361,77249470,53,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Al Horford,Boston Celtics,1.5,1.44,NA,Pointsbet,Chicago Bulls,2037377,77250936,101,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Al Horford,Boston Celtics,3.5,4.4,NA,Pointsbet,Chicago Bulls,2037377,77250936,102,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Ayo Dosunmu,Chicago Bulls,1.5,1.03,NA,Pointsbet,Boston Celtics,2037377,77250936,71,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Ayo Dosunmu,Chicago Bulls,3.5,1.33,NA,Pointsbet,Boston Celtics,2037377,77250936,72,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Ayo Dosunmu,Chicago Bulls,5.5,2.4,NA,Pointsbet,Boston Celtics,2037377,77250936,73,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Ayo Dosunmu,Chicago Bulls,7.5,5.75,NA,Pointsbet,Boston Celtics,2037377,77250936,74,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Coby White,Chicago Bulls,1.5,1.06,NA,Pointsbet,Boston Celtics,2037377,77250936,61,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Coby White,Chicago Bulls,3.5,1.48,NA,Pointsbet,Boston Celtics,2037377,77250936,62,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Coby White,Chicago Bulls,5.5,3,NA,Pointsbet,Boston Celtics,2037377,77250936,63,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Coby White,Chicago Bulls,7.5,8,NA,Pointsbet,Boston Celtics,2037377,77250936,64,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Derrick White,Boston Celtics,3.5,1.29,NA,Pointsbet,Chicago Bulls,2037377,77250936,22,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Derrick White,Boston Celtics,5.5,2.35,NA,Pointsbet,Chicago Bulls,2037377,77250936,23,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Derrick White,Boston Celtics,7.5,5.75,NA,Pointsbet,Chicago Bulls,2037377,77250936,24,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Jaylen Brown,Boston Celtics,1.5,1.05,NA,Pointsbet,Chicago Bulls,2037377,77250936,31,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Jaylen Brown,Boston Celtics,3.5,1.42,NA,Pointsbet,Chicago Bulls,2037377,77250936,32,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Jaylen Brown,Boston Celtics,5.5,2.75,NA,Pointsbet,Chicago Bulls,2037377,77250936,33,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Jaylen Brown,Boston Celtics,7.5,8,NA,Pointsbet,Chicago Bulls,2037377,77250936,34,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Jayson Tatum,Boston Celtics,9.5,12,NA,Pointsbet,Chicago Bulls,2037377,77250936,15,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Jayson Tatum,Boston Celtics,3.5,1.18,NA,Pointsbet,Chicago Bulls,2037377,77250936,12,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Jayson Tatum,Boston Celtics,5.5,1.83,NA,Pointsbet,Chicago Bulls,2037377,77250936,13,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Jayson Tatum,Boston Celtics,7.5,4,NA,Pointsbet,Chicago Bulls,2037377,77250936,14,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Jrue Holiday,Boston Celtics,1.5,1.08,NA,Pointsbet,Chicago Bulls,2037377,77250936,1,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Jrue Holiday,Boston Celtics,3.5,1.69,NA,Pointsbet,Chicago Bulls,2037377,77250936,2,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Jrue Holiday,Boston Celtics,5.5,4,NA,Pointsbet,Chicago Bulls,2037377,77250936,3,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Kristaps Porzingis,NA,1.5,1.44,NA,Pointsbet,NA,2037377,77250936,91,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Kristaps Porzingis,NA,3.5,4.2,NA,Pointsbet,NA,2037377,77250936,92,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Nikola Vucevic,NA,1.5,1.18,NA,Pointsbet,NA,2037377,77250936,51,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Nikola Vucevic,NA,3.5,2.35,NA,Pointsbet,NA,2037377,77250936,52,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Nikola Vucevic,NA,5.5,7,NA,Pointsbet,NA,2037377,77250936,53,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Payton Pritchard,Boston Celtics,1.5,1.13,NA,Pointsbet,Chicago Bulls,2037377,77250936,81,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Payton Pritchard,Boston Celtics,3.5,1.95,NA,Pointsbet,Chicago Bulls,2037377,77250936,82,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Payton Pritchard,Boston Celtics,5.5,5,NA,Pointsbet,Chicago Bulls,2037377,77250936,83,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Zach LaVine,Chicago Bulls,1.5,1.09,NA,Pointsbet,Boston Celtics,2037377,77250936,41,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Zach LaVine,Chicago Bulls,3.5,1.65,NA,Pointsbet,Boston Celtics,2037377,77250936,42,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Zach LaVine,Chicago Bulls,5.5,3.6,NA,Pointsbet,Boston Celtics,2037377,77250936,43,NA
Boston Celtics v Chicago Bulls,Boston Celtics,Chicago Bulls,Player Assists,Zach LaVine,Chicago Bulls,7.5,10.5,NA,Pointsbet,Boston Celtics,2037377,77250936,44,NA
Toronto Raptors v Brooklyn Nets,Toronto Raptors,Brooklyn Nets,Player Assists,Ben Simmons,Brooklyn Nets,9.5,2.75,NA,Pointsbet,Toronto Raptors,2037378,77250950,15,NA
Toronto Raptors v Brooklyn Nets,Toronto Raptors,Brooklyn Nets,Player Assists,Ben Simmons,Brooklyn Nets,11.5,5.25,NA,Pointsbet,Toronto Raptors,2037378,77250950,16,NA
Toronto Raptors v Brooklyn Nets,Toronto Raptors,Brooklyn Nets,Player Assists,Ben Simmons,Brooklyn Nets,13.5,12,NA,Pointsbet,Toronto Raptors,2037378,77250950,17,NA
Toronto Raptors v Brooklyn Nets,Toronto Raptors,Brooklyn Nets,Player Assists,Ben Simmons,Brooklyn Nets,3.5,1.04,NA,Pointsbet,Toronto Raptors,2037378,77250950,12,NA
Toronto Raptors v Brooklyn Nets,Toronto Raptors,Brooklyn Nets,Player Assists,Ben Simmons,Brooklyn Nets,5.5,1.21,NA,Pointsbet,Toronto Raptors,2037378,77250950,13,NA
Toronto Raptors v Brooklyn Nets,Toronto Raptors,Brooklyn Nets,Player Assists,Ben Simmons,Brooklyn Nets,7.5,1.69,NA,Pointsbet,Toronto Raptors,2037378,77250950,14,NA
Toronto Raptors v Brooklyn Nets,Toronto Raptors,Brooklyn Nets,Player Assists,Cameron Johnson,Brooklyn Nets,1.5,1.15,NA,Pointsbet,Toronto Raptors,2037378,77250950,1,NA
Toronto Raptors v Brooklyn Nets,Toronto Raptors,Brooklyn Nets,Player Assists,Cameron Johnson,Brooklyn Nets,3.5,2.2,NA,Pointsbet,Toronto Raptors,2037378,77250950,2,NA
Toronto Raptors v Brooklyn Nets,Toronto Raptors,Brooklyn Nets,Player Assists,Cameron Johnson,Brooklyn Nets,5.5,6,NA,Pointsbet,Toronto Raptors,2037378,77250950,3,NA
Toronto Raptors v Brooklyn Nets,Toronto Raptors,Brooklyn Nets,Player Assists,Gradey Dick,Toronto Raptors,1.5,1.24,NA,Pointsbet,Brooklyn Nets,2037378,77250950,41,NA
Toronto Raptors v Brooklyn Nets,Toronto Raptors,Brooklyn Nets,Player Assists,Gradey Dick,Toronto Raptors,3.5,2.9,NA,Pointsbet,Brooklyn Nets,2037378,77250950,42,NA
Toronto Raptors v Brooklyn Nets,Toronto Raptors,Brooklyn Nets,Player Assists,Gradey Dick,Toronto Raptors,5.5,11,NA,Pointsbet,Brooklyn Nets,2037378,77250950,43,NA
Toronto Raptors v Brooklyn Nets,Toronto Raptors,Brooklyn Nets,Player Assists,Jonathan Mogbo,Toronto Raptors,1.5,1.22,NA,Pointsbet,Brooklyn Nets,2037378,77250950,51,NA
