match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,EventKey,MarketKey,OutcomeKey,OutcomeKey_unders
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Blocks,Giannis Antetokounmpo,Milwaukee Bucks,0.5,1.4,NA,Pointsbet,Cleveland Cavaliers,2507566,99536688,1,NA
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Blocks,Giannis Antetokounmpo,Milwaukee Bucks,1.5,2.75,NA,Pointsbet,Cleveland Cavaliers,2507566,99536688,2,NA
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Blocks,Giannis Antetokounmpo,Milwaukee Bucks,2.5,6.5,NA,Pointsbet,Cleveland Cavaliers,2507566,99536688,3,NA
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Blocks,Myles Turner,Milwaukee Bucks,0.5,1.25,NA,Pointsbet,Cleveland Cavaliers,2507566,99536688,9,NA
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Blocks,Myles Turner,Milwaukee Bucks,1.5,2.2,NA,Pointsbet,Cleveland Cavaliers,2507566,99536688,10,NA
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Blocks,Myles Turner,Milwaukee Bucks,2.5,4.4,NA,Pointsbet,Cleveland Cavaliers,2507566,99536688,11,NA
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Blocks,Jarrett Allen,Cleveland Cavaliers,0.5,1.5,NA,Pointsbet,Milwaukee Bucks,2507566,99536688,17,NA
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Blocks,Jarrett Allen,Cleveland Cavaliers,1.5,3.25,NA,Pointsbet,Milwaukee Bucks,2507566,99536688,18,NA
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Blocks,Jarrett Allen,Cleveland Cavaliers,2.5,9,NA,Pointsbet,Milwaukee Bucks,2507566,99536688,19,NA
Cleveland Cavaliers v Milwaukee Bucks,Cleveland Cavaliers,Milwaukee Bucks,Player Blocks,Evan Mobley,Cleveland Cavaliers,0.5,1.27,NA,Pointsbet,Milwaukee Bucks,2507566,99536688,25,NA
