match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,EventKey,MarketKey,OutcomeKey,OutcomeKey_unders
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Bilal Coulibaly,Washington Wizards,9.5,1.4,NA,Pointsbet,Charlotte Hornets,2174460,79672391,38,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Bilal Coulibaly,Washington Wizards,14.5,2.75,NA,Pointsbet,Charlotte Hornets,2174460,79672391,39,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Bilal Coulibaly,Washington Wizards,19.5,8.5,NA,Pointsbet,Charlotte Hornets,2174460,79672391,40,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Bilal Coulibaly,Washington Wizards,4.5,1.03,NA,Pointsbet,Charlotte Hornets,2174460,79672391,37,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Corey Kispert,Washington Wizards,9.5,1.65,NA,Pointsbet,Charlotte Hornets,2174460,79672391,122,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Corey Kispert,Washington Wizards,14.5,3.4,NA,Pointsbet,Charlotte Hornets,2174460,79672391,123,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Corey Kispert,Washington Wizards,19.5,10,NA,Pointsbet,Charlotte Hornets,2174460,79672391,124,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Corey Kispert,Washington Wizards,4.5,1.08,NA,Pointsbet,Charlotte Hornets,2174460,79672391,121,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Jonas Valanciunas,NA,9.5,1.22,NA,Pointsbet,NA,2174460,79672391,2,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Jonas Valanciunas,NA,14.5,2,NA,Pointsbet,NA,2174460,79672391,3,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Jonas Valanciunas,NA,19.5,4.4,NA,Pointsbet,NA,2174460,79672391,4,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Jonas Valanciunas,NA,24.5,11,NA,Pointsbet,NA,2174460,79672391,5,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Josh Green,Charlotte Hornets,9.5,2.25,NA,Pointsbet,Washington Wizards,2174460,79672391,62,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Josh Green,Charlotte Hornets,14.5,5.75,NA,Pointsbet,Washington Wizards,2174460,79672391,63,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Josh Green,Charlotte Hornets,4.5,1.18,NA,Pointsbet,Washington Wizards,2174460,79672391,61,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Kyle Kuzma,Washington Wizards,9.5,1.06,NA,Pointsbet,Charlotte Hornets,2174460,79672391,14,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Kyle Kuzma,Washington Wizards,14.5,1.31,NA,Pointsbet,Charlotte Hornets,2174460,79672391,15,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Kyle Kuzma,Washington Wizards,19.5,2.2,NA,Pointsbet,Charlotte Hornets,2174460,79672391,16,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Kyle Kuzma,Washington Wizards,24.5,4.4,NA,Pointsbet,Charlotte Hornets,2174460,79672391,17,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Kyle Kuzma,Washington Wizards,29.5,11,NA,Pointsbet,Charlotte Hornets,2174460,79672391,18,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Kyshawn George,Washington Wizards,9.5,2.35,NA,Pointsbet,Charlotte Hornets,2174460,79672391,134,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Kyshawn George,Washington Wizards,14.5,5.75,NA,Pointsbet,Charlotte Hornets,2174460,79672391,135,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Kyshawn George,Washington Wizards,4.5,1.25,NA,Pointsbet,Charlotte Hornets,2174460,79672391,133,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Malcolm Brogdon,Washington Wizards,9.5,1.33,NA,Pointsbet,Charlotte Hornets,2174460,79672391,110,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Malcolm Brogdon,Washington Wizards,14.5,2.5,NA,Pointsbet,Charlotte Hornets,2174460,79672391,111,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Malcolm Brogdon,Washington Wizards,19.5,6,NA,Pointsbet,Charlotte Hornets,2174460,79672391,112,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Mark Williams,Charlotte Hornets,14.5,1.19,NA,Pointsbet,Washington Wizards,2174460,79672391,75,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Mark Williams,Charlotte Hornets,19.5,1.83,NA,Pointsbet,Washington Wizards,2174460,79672391,76,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Mark Williams,Charlotte Hornets,24.5,4,NA,Pointsbet,Washington Wizards,2174460,79672391,77,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Mark Williams,Charlotte Hornets,29.5,10.5,NA,Pointsbet,Washington Wizards,2174460,79672391,78,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Miles Bridges,Charlotte Hornets,14.5,1.06,NA,Pointsbet,Washington Wizards,2174460,79672391,51,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Miles Bridges,Charlotte Hornets,19.5,1.27,NA,Pointsbet,Washington Wizards,2174460,79672391,52,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Miles Bridges,Charlotte Hornets,24.5,1.87,NA,Pointsbet,Washington Wizards,2174460,79672391,53,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Miles Bridges,Charlotte Hornets,29.5,3.6,NA,Pointsbet,Washington Wizards,2174460,79672391,54,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Miles Bridges,Charlotte Hornets,34.5,8.5,NA,Pointsbet,Washington Wizards,2174460,79672391,55,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Nick Smith Jr.,Charlotte Hornets,9.5,1.33,NA,Pointsbet,Washington Wizards,2174460,79672391,86,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Nick Smith Jr.,Charlotte Hornets,14.5,2.4,NA,Pointsbet,Washington Wizards,2174460,79672391,87,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Nick Smith Jr.,Charlotte Hornets,19.5,5.25,NA,Pointsbet,Washington Wizards,2174460,79672391,88,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Nick Smith Jr.,Charlotte Hornets,4.5,1.04,NA,Pointsbet,Washington Wizards,2174460,79672391,85,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Vasilije Micic,NA,9.5,1.44,NA,Pointsbet,NA,2174460,79672391,98,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Vasilije Micic,NA,14.5,2.85,NA,Pointsbet,NA,2174460,79672391,99,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Vasilije Micic,NA,19.5,8.5,NA,Pointsbet,NA,2174460,79672391,100,NA
Charlotte Hornets v Washington Wizards,Charlotte Hornets,Washington Wizards,Player Points,Vasilije Micic,NA,4.5,1.05,NA,Pointsbet,NA,2174460,79672391,97,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Ausar Thompson,Detroit Pistons,9.5,1.77,NA,Pointsbet,Atlanta Hawks,2174461,79672251,74,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Ausar Thompson,Detroit Pistons,14.5,4.75,NA,Pointsbet,Atlanta Hawks,2174461,79672251,75,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Ausar Thompson,Detroit Pistons,4.5,1.08,NA,Pointsbet,Atlanta Hawks,2174461,79672251,73,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Cade Cunningham,Detroit Pistons,19.5,1.13,NA,Pointsbet,Atlanta Hawks,2174461,79672251,40,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Cade Cunningham,Detroit Pistons,24.5,1.5,NA,Pointsbet,Atlanta Hawks,2174461,79672251,41,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Cade Cunningham,Detroit Pistons,29.5,2.4,NA,Pointsbet,Atlanta Hawks,2174461,79672251,42,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Cade Cunningham,Detroit Pistons,34.5,4.75,NA,Pointsbet,Atlanta Hawks,2174461,79672251,43,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,Cade Cunningham,Detroit Pistons,39.5,11,NA,Pointsbet,Atlanta Hawks,2174461,79672251,44,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,De'Andre Hunter,Atlanta Hawks,9.5,1.04,NA,Pointsbet,Detroit Pistons,2174461,79672251,86,NA
Detroit Pistons v Atlanta Hawks,Detroit Pistons,Atlanta Hawks,Player Points,De'Andre Hunter,Atlanta Hawks,14.5,1.25,NA,Pointsbet,Detroit Pistons,2174461,79672251,87,NA
