match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,EventKey,MarketKey,OutcomeKey,OutcomeKey_unders
Oklahoma City Thunder v Boston Celtics,Oklahoma City Thunder,Boston Celtics,Player PRAs,Ajay Mitchell,Oklahoma City Thunder,20.5,1.9,1.83,Pointsbet,Boston Celtics,2642544,104999872,33,34
Oklahoma City Thunder v Boston Celtics,Oklahoma City Thunder,Boston Celtics,Player PRAs,Cason Wallace,Oklahoma City Thunder,13.5,1.87,1.87,Pointsbet,Boston Celtics,2642544,104999872,61,62
Oklahoma City Thunder v Boston Celtics,Oklahoma City Thunder,Boston Celtics,Player PRAs,Chet Holmgren,Oklahoma City Thunder,26.5,1.83,1.9,Pointsbet,Boston Celtics,2642544,104999872,15,16
Oklahoma City Thunder v Boston Celtics,Oklahoma City Thunder,Boston Celtics,Player PRAs,Jaylen Brown,Boston Celtics,38.5,1.83,1.9,Pointsbet,Oklahoma City Thunder,2642544,104999872,73,74
Oklahoma City Thunder v Boston Celtics,Oklahoma City Thunder,Boston Celtics,Player PRAs,Jaylin Williams,Oklahoma City Thunder,15.5,1.77,2,Pointsbet,Boston Celtics,2642544,104999872,85,86
Oklahoma City Thunder v Boston Celtics,Oklahoma City Thunder,Boston Celtics,Player PRAs,Luguentz Dort,Oklahoma City Thunder,14.5,1.87,1.87,Pointsbet,Boston Celtics,2642544,104999872,69,70
Oklahoma City Thunder v Boston Celtics,Oklahoma City Thunder,Boston Celtics,Player PRAs,Neemias Queta,Boston Celtics,21.5,1.87,1.87,Pointsbet,Oklahoma City Thunder,2642544,104999872,79,80
Oklahoma City Thunder v Boston Celtics,Oklahoma City Thunder,Boston Celtics,Player PRAs,Payton Pritchard,Boston Celtics,27.5,1.87,1.87,Pointsbet,Oklahoma City Thunder,2642544,104999872,77,78
Oklahoma City Thunder v Boston Celtics,Oklahoma City Thunder,Boston Celtics,Player PRAs,Shai Gilgeous-Alexander,Oklahoma City Thunder,43.5,1.9,1.83,Pointsbet,Boston Celtics,2642544,104999872,1,2
Oklahoma City Thunder v Boston Celtics,Oklahoma City Thunder,Boston Celtics,Player PRAs,Sam Hauser,Boston Celtics,17.5,1.87,1.87,Pointsbet,Oklahoma City Thunder,2642544,104999872,87,88
Los Angeles Lakers v Chicago Bulls,Los Angeles Lakers,Chicago Bulls,Player PRAs,Austin Reaves,Los Angeles Lakers,31.5,1.87,1.87,Pointsbet,Chicago Bulls,2642584,105002964,23,24
Los Angeles Lakers v Chicago Bulls,Los Angeles Lakers,Chicago Bulls,Player PRAs,Deandre Ayton,Los Angeles Lakers,22.5,1.87,1.87,Pointsbet,Chicago Bulls,2642584,105002964,47,48
Los Angeles Lakers v Chicago Bulls,Los Angeles Lakers,Chicago Bulls,Player PRAs,Jalen Smith,Chicago Bulls,20.5,1.63,2.25,Pointsbet,Los Angeles Lakers,2642584,105002964,45,46
Los Angeles Lakers v Chicago Bulls,Los Angeles Lakers,Chicago Bulls,Player PRAs,Jalen Smith,Chicago Bulls,21.5,1.8,1.95,Pointsbet,Los Angeles Lakers,2642584,105002964,39,40
Los Angeles Lakers v Chicago Bulls,Los Angeles Lakers,Chicago Bulls,Player PRAs,Jalen Smith,Chicago Bulls,22.5,2,1.77,Pointsbet,Los Angeles Lakers,2642584,105002964,69,70
Los Angeles Lakers v Chicago Bulls,Los Angeles Lakers,Chicago Bulls,Player PRAs,Josh Giddey,Chicago Bulls,33.5,1.56,2.4,Pointsbet,Los Angeles Lakers,2642584,105002964,11,12
Los Angeles Lakers v Chicago Bulls,Los Angeles Lakers,Chicago Bulls,Player PRAs,Josh Giddey,Chicago Bulls,34.5,1.67,2.2,Pointsbet,Los Angeles Lakers,2642584,105002964,15,16
Los Angeles Lakers v Chicago Bulls,Los Angeles Lakers,Chicago Bulls,Player PRAs,Josh Giddey,Chicago Bulls,35.5,1.8,1.95,Pointsbet,Los Angeles Lakers,2642584,105002964,27,28
Los Angeles Lakers v Chicago Bulls,Los Angeles Lakers,Chicago Bulls,Player PRAs,Josh Giddey,Chicago Bulls,36.5,1.9,1.83,Pointsbet,Los Angeles Lakers,2642584,105002964,29,30
Los Angeles Lakers v Chicago Bulls,Los Angeles Lakers,Chicago Bulls,Player PRAs,LeBron James,Los Angeles Lakers,31.5,1.95,1.8,Pointsbet,Chicago Bulls,2642584,105002964,1,2
Los Angeles Lakers v Chicago Bulls,Los Angeles Lakers,Chicago Bulls,Player PRAs,Luka Don<c4><8d>i<c4><87>,NA,47.5,1.83,1.9,Pointsbet,NA,2642584,105002964,3,4
Los Angeles Lakers v Chicago Bulls,Los Angeles Lakers,Chicago Bulls,Player PRAs,Matas Buzelis,Chicago Bulls,25.5,1.48,2.6,Pointsbet,Los Angeles Lakers,2642584,105002964,17,18
Los Angeles Lakers v Chicago Bulls,Los Angeles Lakers,Chicago Bulls,Player PRAs,Matas Buzelis,Chicago Bulls,26.5,1.57,2.35,Pointsbet,Los Angeles Lakers,2642584,105002964,13,14
Los Angeles Lakers v Chicago Bulls,Los Angeles Lakers,Chicago Bulls,Player PRAs,Matas Buzelis,Chicago Bulls,27.5,1.69,2.15,Pointsbet,Los Angeles Lakers,2642584,105002964,31,32
Los Angeles Lakers v Chicago Bulls,Los Angeles Lakers,Chicago Bulls,Player PRAs,Matas Buzelis,Chicago Bulls,28.5,1.8,1.95,Pointsbet,Los Angeles Lakers,2642584,105002964,49,50
Los Angeles Lakers v Chicago Bulls,Los Angeles Lakers,Chicago Bulls,Player PRAs,Matas Buzelis,Chicago Bulls,29.5,1.9,1.83,Pointsbet,Los Angeles Lakers,2642584,105002964,65,66
Los Angeles Lakers v Chicago Bulls,Los Angeles Lakers,Chicago Bulls,Player PRAs,Tre Jones,Chicago Bulls,22.5,1.8,1.95,Pointsbet,Los Angeles Lakers,2642584,105002964,37,38
Los Angeles Lakers v Chicago Bulls,Los Angeles Lakers,Chicago Bulls,Player PRAs,Tre Jones,Chicago Bulls,23.5,2,1.77,Pointsbet,Los Angeles Lakers,2642584,105002964,67,68
