match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,EventKey,MarketKey,OutcomeKey,OutcomeKey_unders
Dallas Mavericks v Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,Player Rebounds,Anthony Davis,Los Angeles Lakers,13.5,1.19,NA,Pointsbet,Dallas Mavericks,2080329,77973764,67,NA
Dallas Mavericks v Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,Player Rebounds,Anthony Davis,Los Angeles Lakers,15.5,1.8,NA,Pointsbet,Dallas Mavericks,2080329,77973764,68,NA
Dallas Mavericks v Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,Player Rebounds,Anthony Davis,Los Angeles Lakers,17.5,3.6,NA,Pointsbet,Dallas Mavericks,2080329,77973764,69,NA
Dallas Mavericks v Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,Player Rebounds,Anthony Davis,Los Angeles Lakers,19.5,10,NA,Pointsbet,Dallas Mavericks,2080329,77973764,70,NA
Dallas Mavericks v Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,Player Rebounds,Dereck Lively Ii,NA,9.5,5,NA,Pointsbet,NA,2080329,77973764,45,NA
Dallas Mavericks v Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,Player Rebounds,Dereck Lively Ii,NA,5.5,1.14,NA,Pointsbet,NA,2080329,77973764,43,NA
Dallas Mavericks v Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,Player Rebounds,Dereck Lively Ii,NA,7.5,2.2,NA,Pointsbet,NA,2080329,77973764,44,NA
Dallas Mavericks v Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,Player Rebounds,LeBron James,Los Angeles Lakers,9.5,1.63,NA,Pointsbet,Dallas Mavericks,2080329,77973764,55,NA
Dallas Mavericks v Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,Player Rebounds,LeBron James,Los Angeles Lakers,11.5,3.9,NA,Pointsbet,Dallas Mavericks,2080329,77973764,56,NA
Dallas Mavericks v Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,Player Rebounds,LeBron James,Los Angeles Lakers,7.5,1.04,NA,Pointsbet,Dallas Mavericks,2080329,77973764,54,NA
Dallas Mavericks v Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,Player Rebounds,Maxi Kleber,Dallas Mavericks,3.5,1.59,NA,Pointsbet,Los Angeles Lakers,2080329,77973764,122,NA
Dallas Mavericks v Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,Player Rebounds,Maxi Kleber,Dallas Mavericks,5.5,4.75,NA,Pointsbet,Los Angeles Lakers,2080329,77973764,123,NA
Dallas Mavericks v Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,Player Rebounds,Naji Marshall,Dallas Mavericks,3.5,2.1,NA,Pointsbet,Los Angeles Lakers,2080329,77973764,22,NA
Dallas Mavericks v Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,Player Rebounds,Naji Marshall,Dallas Mavericks,5.5,5.25,NA,Pointsbet,Los Angeles Lakers,2080329,77973764,23,NA
Dallas Mavericks v Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,Player Rebounds,P.J. Washington Jr.,NA,9.5,3.1,NA,Pointsbet,NA,2080329,77973764,15,NA
Dallas Mavericks v Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,Player Rebounds,P.J. Washington Jr.,NA,11.5,9,NA,Pointsbet,NA,2080329,77973764,16,NA
Dallas Mavericks v Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,Player Rebounds,P.J. Washington Jr.,NA,7.5,1.42,NA,Pointsbet,NA,2080329,77973764,14,NA
Dallas Mavericks v Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,Player Rebounds,Quentin Grimes,Dallas Mavericks,3.5,1.13,NA,Pointsbet,Los Angeles Lakers,2080329,77973764,32,NA
Dallas Mavericks v Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,Player Rebounds,Quentin Grimes,Dallas Mavericks,5.5,2.85,NA,Pointsbet,Los Angeles Lakers,2080329,77973764,33,NA
Dallas Mavericks v Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,Player Rebounds,Quentin Grimes,Dallas Mavericks,7.5,10.5,NA,Pointsbet,Los Angeles Lakers,2080329,77973764,34,NA
