match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,EventKey,MarketKey,OutcomeKey,OutcomeKey_unders
Houston Rockets v Golden State Warriors,Houston Rockets,Golden State Warriors,Player Steals,Jimmy Butler,NA,0.5,1.22,NA,Pointsbet,NA,2251653,86214186,1,NA
Houston Rockets v Golden State Warriors,Houston Rockets,Golden State Warriors,Player Steals,Jimmy Butler,NA,1.5,2.05,NA,Pointsbet,NA,2251653,86214186,2,NA
Houston Rockets v Golden State Warriors,Houston Rockets,Golden State Warriors,Player Steals,Jimmy Butler,NA,2.5,4.2,NA,Pointsbet,NA,2251653,86214186,3,NA
Houston Rockets v Golden State Warriors,Houston Rockets,Golden State Warriors,Player Steals,Draymond Green,Golden State Warriors,0.5,1.24,NA,Pointsbet,Houston Rockets,2251653,86214186,7,NA
Houston Rockets v Golden State Warriors,Houston Rockets,Golden State Warriors,Player Steals,Draymond Green,Golden State Warriors,1.5,2.05,NA,Pointsbet,Houston Rockets,2251653,86214186,8,NA
Houston Rockets v Golden State Warriors,Houston Rockets,Golden State Warriors,Player Steals,Draymond Green,Golden State Warriors,2.5,4.4,NA,Pointsbet,Houston Rockets,2251653,86214186,9,NA
Houston Rockets v Golden State Warriors,Houston Rockets,Golden State Warriors,Player Steals,Stephen Curry,Golden State Warriors,0.5,1.42,NA,Pointsbet,Houston Rockets,2251653,86214186,13,NA
Houston Rockets v Golden State Warriors,Houston Rockets,Golden State Warriors,Player Steals,Stephen Curry,Golden State Warriors,1.5,2.9,NA,Pointsbet,Houston Rockets,2251653,86214186,14,NA
Houston Rockets v Golden State Warriors,Houston Rockets,Golden State Warriors,Player Steals,Stephen Curry,Golden State Warriors,2.5,7.5,NA,Pointsbet,Houston Rockets,2251653,86214186,15,NA
Houston Rockets v Golden State Warriors,Houston Rockets,Golden State Warriors,Player Steals,Fred VanVleet,Houston Rockets,0.5,1.21,NA,Pointsbet,Golden State Warriors,2251653,86214186,19,NA
Houston Rockets v Golden State Warriors,Houston Rockets,Golden State Warriors,Player Steals,Fred VanVleet,Houston Rockets,1.5,1.9,NA,Pointsbet,Golden State Warriors,2251653,86214186,20,NA
Houston Rockets v Golden State Warriors,Houston Rockets,Golden State Warriors,Player Steals,Fred VanVleet,Houston Rockets,2.5,3.9,NA,Pointsbet,Golden State Warriors,2251653,86214186,21,NA
Houston Rockets v Golden State Warriors,Houston Rockets,Golden State Warriors,Player Steals,Fred VanVleet,Houston Rockets,3.5,9,NA,Pointsbet,Golden State Warriors,2251653,86214186,22,NA
