match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,EventKey,MarketKey,OutcomeKey,OutcomeKey_unders
Portland Trail Blazers v Chicago Bulls,Portland Trail Blazers,Chicago Bulls,Player Threes,Ayo Dosunmu,Chicago Bulls,0.5,2.3,NA,Pointsbet,Portland Trail Blazers,2108714,78730945,97,NA
Portland Trail Blazers v Chicago Bulls,Portland Trail Blazers,Chicago Bulls,Player Threes,Ayo Dosunmu,Chicago Bulls,1.5,7,NA,Pointsbet,Portland Trail Blazers,2108714,78730945,98,NA
Portland Trail Blazers v Chicago Bulls,Portland Trail Blazers,Chicago Bulls,Player Threes,Coby White,Chicago Bulls,3.5,4.75,NA,Pointsbet,Portland Trail Blazers,2108714,78730945,64,NA
Portland Trail Blazers v Chicago Bulls,Portland Trail Blazers,Chicago Bulls,Player Threes,Deni Avdija,Portland Trail Blazers,0.5,1.69,NA,Pointsbet,Chicago Bulls,2108714,78730945,133,NA
Portland Trail Blazers v Chicago Bulls,Portland Trail Blazers,Chicago Bulls,Player Threes,Deni Avdija,Portland Trail Blazers,1.5,4,NA,Pointsbet,Chicago Bulls,2108714,78730945,134,NA
Portland Trail Blazers v Chicago Bulls,Portland Trail Blazers,Chicago Bulls,Player Threes,Josh Giddey,Chicago Bulls,0.5,2.25,NA,Pointsbet,Portland Trail Blazers,2108714,78730945,85,NA
Portland Trail Blazers v Chicago Bulls,Portland Trail Blazers,Chicago Bulls,Player Threes,Josh Giddey,Chicago Bulls,1.5,7,NA,Pointsbet,Portland Trail Blazers,2108714,78730945,86,NA
Portland Trail Blazers v Chicago Bulls,Portland Trail Blazers,Chicago Bulls,Player Threes,Nikola Vucevic,NA,0.5,1.83,NA,Pointsbet,NA,2108714,78730945,49,NA
Portland Trail Blazers v Chicago Bulls,Portland Trail Blazers,Chicago Bulls,Player Threes,Nikola Vucevic,NA,1.5,4.75,NA,Pointsbet,NA,2108714,78730945,50,NA
Portland Trail Blazers v Chicago Bulls,Portland Trail Blazers,Chicago Bulls,Player Threes,Shaedon Sharpe,Portland Trail Blazers,1.5,1.5,NA,Pointsbet,Chicago Bulls,2108714,78730945,14,NA
Portland Trail Blazers v Chicago Bulls,Portland Trail Blazers,Chicago Bulls,Player Threes,Shaedon Sharpe,Portland Trail Blazers,2.5,3.6,NA,Pointsbet,Chicago Bulls,2108714,78730945,15,NA
Portland Trail Blazers v Chicago Bulls,Portland Trail Blazers,Chicago Bulls,Player Threes,Shaedon Sharpe,Portland Trail Blazers,3.5,9,NA,Pointsbet,Chicago Bulls,2108714,78730945,16,NA
Portland Trail Blazers v Chicago Bulls,Portland Trail Blazers,Chicago Bulls,Player Threes,Toumani Camara,Portland Trail Blazers,0.5,1.77,NA,Pointsbet,Chicago Bulls,2108714,78730945,25,NA
Portland Trail Blazers v Chicago Bulls,Portland Trail Blazers,Chicago Bulls,Player Threes,Toumani Camara,Portland Trail Blazers,1.5,4,NA,Pointsbet,Chicago Bulls,2108714,78730945,26,NA
Portland Trail Blazers v Chicago Bulls,Portland Trail Blazers,Chicago Bulls,Player Threes,Zach LaVine,Chicago Bulls,3.5,4.5,NA,Pointsbet,Portland Trail Blazers,2108714,78730945,40,NA
Portland Trail Blazers v Chicago Bulls,Portland Trail Blazers,Chicago Bulls,Player Threes,Shaedon Sharpe,Portland Trail Blazers,1.5,1.57,NA,Pointsbet,Chicago Bulls,2108714,78735164,7,NA
Portland Trail Blazers v Chicago Bulls,Portland Trail Blazers,Chicago Bulls,Player Threes,Toumani Camara,Portland Trail Blazers,0.5,1.8,1.95,Pointsbet,Chicago Bulls,2108714,78735164,13,14
Portland Trail Blazers v Chicago Bulls,Portland Trail Blazers,Chicago Bulls,Player Threes,Nikola Vucevic,NA,0.5,1.83,1.9,Pointsbet,NA,2108714,78735164,25,26
Portland Trail Blazers v Chicago Bulls,Portland Trail Blazers,Chicago Bulls,Player Threes,Josh Giddey,Chicago Bulls,0.5,2.35,1.57,Pointsbet,Portland Trail Blazers,2108714,78735164,43,44
Portland Trail Blazers v Chicago Bulls,Portland Trail Blazers,Chicago Bulls,Player Threes,Ayo Dosunmu,Chicago Bulls,0.5,2.35,1.57,Pointsbet,Portland Trail Blazers,2108714,78735164,53,54
Portland Trail Blazers v Chicago Bulls,Portland Trail Blazers,Chicago Bulls,Player Threes,Deni Avdija,Portland Trail Blazers,0.5,1.74,2.05,Pointsbet,Chicago Bulls,2108714,78735164,71,72
