match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team
Dallas Mavericks v San Antonio Spurs,Dallas Mavericks,San Antonio Spurs,Player Assists,Caleb Martin,Dallas Mavericks,2.5,1.6,NA,BetMakers,San Antonio Spurs
Dallas Mavericks v San Antonio Spurs,Dallas Mavericks,San Antonio Spurs,Player Assists,Caleb Martin,Dallas Mavericks,4.5,4.2,NA,BetMakers,San Antonio Spurs
Dallas Mavericks v San Antonio Spurs,Dallas Mavericks,San Antonio Spurs,Player Assists,Cooper Flagg,Dallas Mavericks,2.5,1.1,NA,BetMakers,San Antonio Spurs
Dallas Mavericks v San Antonio Spurs,Dallas Mavericks,San Antonio Spurs,Player Assists,Cooper Flagg,Dallas Mavericks,3.5,1.29,3.4,BetMakers,San Antonio Spurs
Dallas Mavericks v San Antonio Spurs,Dallas Mavericks,San Antonio Spurs,Player Assists,Cooper Flagg,Dallas Mavericks,4.5,1.62,NA,BetMakers,San Antonio Spurs
Dallas Mavericks v San Antonio Spurs,Dallas Mavericks,San Antonio Spurs,Player Assists,Cooper Flagg,Dallas Mavericks,4.5,1.62,2.2,BetMakers,San Antonio Spurs
Dallas Mavericks v San Antonio Spurs,Dallas Mavericks,San Antonio Spurs,Player Assists,Cooper Flagg,Dallas Mavericks,5.5,2.25,1.6,BetMakers,San Antonio Spurs
Dallas Mavericks v San Antonio Spurs,Dallas Mavericks,San Antonio Spurs,Player Assists,Cooper Flagg,Dallas Mavericks,6.5,3.4,NA,BetMakers,San Antonio Spurs
Dallas Mavericks v San Antonio Spurs,Dallas Mavericks,San Antonio Spurs,Player Assists,De'Aaron Fox,San Antonio Spurs,4.5,1.18,NA,BetMakers,Dallas Mavericks
Dallas Mavericks v San Antonio Spurs,Dallas Mavericks,San Antonio Spurs,Player Assists,De'Aaron Fox,San Antonio Spurs,4.5,1.18,4.6,BetMakers,Dallas Mavericks
Dallas Mavericks v San Antonio Spurs,Dallas Mavericks,San Antonio Spurs,Player Assists,De'Aaron Fox,San Antonio Spurs,5.5,1.38,2.9,BetMakers,Dallas Mavericks
Dallas Mavericks v San Antonio Spurs,Dallas Mavericks,San Antonio Spurs,Player Assists,De'Aaron Fox,San Antonio Spurs,6.5,1.75,NA,BetMakers,Dallas Mavericks
Dallas Mavericks v San Antonio Spurs,Dallas Mavericks,San Antonio Spurs,Player Assists,De'Aaron Fox,San Antonio Spurs,6.5,1.75,2,BetMakers,Dallas Mavericks
Dallas Mavericks v San Antonio Spurs,Dallas Mavericks,San Antonio Spurs,Player Assists,De'Aaron Fox,San Antonio Spurs,7.5,2.3,1.57,BetMakers,Dallas Mavericks
Dallas Mavericks v San Antonio Spurs,Dallas Mavericks,San Antonio Spurs,Player Assists,De'Aaron Fox,San Antonio Spurs,8.5,3.3,1.3,BetMakers,Dallas Mavericks
Dallas Mavericks v San Antonio Spurs,Dallas Mavericks,San Antonio Spurs,Player Assists,De'Aaron Fox,San Antonio Spurs,9.5,4.75,NA,BetMakers,Dallas Mavericks
Dallas Mavericks v San Antonio Spurs,Dallas Mavericks,San Antonio Spurs,Player Assists,De'Aaron Fox,San Antonio Spurs,11.5,12,NA,BetMakers,Dallas Mavericks
Dallas Mavericks v San Antonio Spurs,Dallas Mavericks,San Antonio Spurs,Player Assists,Dylan Harper,San Antonio Spurs,2.5,1.53,NA,BetMakers,Dallas Mavericks
Dallas Mavericks v San Antonio Spurs,Dallas Mavericks,San Antonio Spurs,Player Assists,Dylan Harper,San Antonio Spurs,2.5,1.53,2.4,BetMakers,Dallas Mavericks
Dallas Mavericks v San Antonio Spurs,Dallas Mavericks,San Antonio Spurs,Player Assists,Dylan Harper,San Antonio Spurs,3.5,2.3,1.57,BetMakers,Dallas Mavericks
