match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Anfernee Simons,Chicago Bulls,5.5,1.3,BetMakers,Brooklyn Nets
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Anfernee Simons,Chicago Bulls,7.5,2,BetMakers,Brooklyn Nets
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Anfernee Simons,Chicago Bulls,9.5,4,BetMakers,Brooklyn Nets
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Anfernee Simons,Chicago Bulls,11.5,9,BetMakers,Brooklyn Nets
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Collin Sexton,Chicago Bulls,5.5,1.33,BetMakers,Brooklyn Nets
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Collin Sexton,Chicago Bulls,7.5,2.1,BetMakers,Brooklyn Nets
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Collin Sexton,Chicago Bulls,9.5,4.1,BetMakers,Brooklyn Nets
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Collin Sexton,Chicago Bulls,11.5,9,BetMakers,Brooklyn Nets
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Danny Wolf,Brooklyn Nets,5.5,1.06,BetMakers,Chicago Bulls
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Danny Wolf,Brooklyn Nets,7.5,1.26,BetMakers,Chicago Bulls
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Danny Wolf,Brooklyn Nets,9.5,1.7999999999999998,BetMakers,Chicago Bulls
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Danny Wolf,Brooklyn Nets,11.5,3.1,BetMakers,Chicago Bulls
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Danny Wolf,Brooklyn Nets,13.5,6,BetMakers,Chicago Bulls
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Jaden Ivey,Chicago Bulls,5.5,1.11,BetMakers,Brooklyn Nets
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Jaden Ivey,Chicago Bulls,7.5,1.48,BetMakers,Brooklyn Nets
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Jaden Ivey,Chicago Bulls,9.5,2.38,BetMakers,Brooklyn Nets
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Jaden Ivey,Chicago Bulls,11.5,4.75,BetMakers,Brooklyn Nets
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Matas Buzelis,Chicago Bulls,5.5,1.08,BetMakers,Brooklyn Nets
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Matas Buzelis,Chicago Bulls,7.5,1.32,BetMakers,Brooklyn Nets
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Matas Buzelis,Chicago Bulls,9.5,1.98,BetMakers,Brooklyn Nets
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Matas Buzelis,Chicago Bulls,11.5,3.5,BetMakers,Brooklyn Nets
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Matas Buzelis,Chicago Bulls,13.5,7,BetMakers,Brooklyn Nets
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Nicolas Claxton,Brooklyn Nets,5.5,1.05,BetMakers,Chicago Bulls
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Nicolas Claxton,Brooklyn Nets,7.5,1.22,BetMakers,Chicago Bulls
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Nicolas Claxton,Brooklyn Nets,9.5,1.65,BetMakers,Chicago Bulls
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Nicolas Claxton,Brooklyn Nets,11.5,2.63,BetMakers,Chicago Bulls
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Nicolas Claxton,Brooklyn Nets,13.5,5,BetMakers,Chicago Bulls
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Nolan Traoré,Brooklyn Nets,5.5,1.26,BetMakers,Chicago Bulls
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Nolan Traoré,Brooklyn Nets,7.5,1.9499999999999997,BetMakers,Chicago Bulls
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Nolan Traoré,Brooklyn Nets,9.5,3.5999999999999996,BetMakers,Chicago Bulls
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Nolan Traoré,Brooklyn Nets,11.5,8,BetMakers,Chicago Bulls
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Terance Mann,Brooklyn Nets,5.5,1.5,BetMakers,Chicago Bulls
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Terance Mann,Brooklyn Nets,7.5,2.6,BetMakers,Chicago Bulls
Brooklyn Nets v Chicago Bulls,Brooklyn Nets,Chicago Bulls,Player Assists + Rebounds,Terance Mann,Brooklyn Nets,9.5,5.5,BetMakers,Chicago Bulls
Charlotte Hornets v Detroit Pistons,Charlotte Hornets,Detroit Pistons,Player Assists + Rebounds,Ausar Thompson,Detroit Pistons,5.5,1.15,BetMakers,Charlotte Hornets
Charlotte Hornets v Detroit Pistons,Charlotte Hornets,Detroit Pistons,Player Assists + Rebounds,Ausar Thompson,Detroit Pistons,7.5,1.57,BetMakers,Charlotte Hornets
