match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team
Chicago Bulls v New York Knicks,Chicago Bulls,New York Knicks,Player Blocks,Jalen Smith,Chicago Bulls,0.5,1.6,BetMakers,New York Knicks
Chicago Bulls v New York Knicks,Chicago Bulls,New York Knicks,Player Blocks,Jalen Smith,Chicago Bulls,1.5,3.5999999999999996,BetMakers,New York Knicks
Chicago Bulls v New York Knicks,Chicago Bulls,New York Knicks,Player Blocks,Karl-Anthony Towns,New York Knicks,0.5,2,BetMakers,Chicago Bulls
Chicago Bulls v New York Knicks,Chicago Bulls,New York Knicks,Player Blocks,Karl-Anthony Towns,New York Knicks,1.5,5.5,BetMakers,Chicago Bulls
Chicago Bulls v New York Knicks,Chicago Bulls,New York Knicks,Player Blocks,Matas Buzelis,Chicago Bulls,0.5,1.26,BetMakers,New York Knicks
Chicago Bulls v New York Knicks,Chicago Bulls,New York Knicks,Player Blocks,Matas Buzelis,Chicago Bulls,1.5,2.2,BetMakers,New York Knicks
Chicago Bulls v New York Knicks,Chicago Bulls,New York Knicks,Player Blocks,Matas Buzelis,Chicago Bulls,2.5,4.6,BetMakers,New York Knicks
Chicago Bulls v New York Knicks,Chicago Bulls,New York Knicks,Player Blocks,Mikal Bridges,New York Knicks,0.5,2.05,BetMakers,Chicago Bulls
Chicago Bulls v New York Knicks,Chicago Bulls,New York Knicks,Player Blocks,Mikal Bridges,New York Knicks,1.5,6,BetMakers,Chicago Bulls
Chicago Bulls v New York Knicks,Chicago Bulls,New York Knicks,Player Blocks,O.G. Anunoby,New York Knicks,0.5,1.53,BetMakers,Chicago Bulls
Chicago Bulls v New York Knicks,Chicago Bulls,New York Knicks,Player Blocks,O.G. Anunoby,New York Knicks,1.5,3.3,BetMakers,Chicago Bulls
Chicago Bulls v New York Knicks,Chicago Bulls,New York Knicks,Player Blocks,O.G. Anunoby,New York Knicks,2.5,8,BetMakers,Chicago Bulls
Minnesota Timberwolves v Philadelphia 76ers,Minnesota Timberwolves,Philadelphia 76ers,Player Blocks,Anthony Edwards,Minnesota Timberwolves,0.5,1.6,BetMakers,Philadelphia 76ers
Minnesota Timberwolves v Philadelphia 76ers,Minnesota Timberwolves,Philadelphia 76ers,Player Blocks,Anthony Edwards,Minnesota Timberwolves,1.5,3.8000000000000003,BetMakers,Philadelphia 76ers
Minnesota Timberwolves v Philadelphia 76ers,Minnesota Timberwolves,Philadelphia 76ers,Player Blocks,Dominick Barlow,Philadelphia 76ers,0.5,2.2,BetMakers,Minnesota Timberwolves
Minnesota Timberwolves v Philadelphia 76ers,Minnesota Timberwolves,Philadelphia 76ers,Player Blocks,Dominick Barlow,Philadelphia 76ers,1.5,6.5,BetMakers,Minnesota Timberwolves
Minnesota Timberwolves v Philadelphia 76ers,Minnesota Timberwolves,Philadelphia 76ers,Player Blocks,Naz Reid,Minnesota Timberwolves,0.5,1.44,BetMakers,Philadelphia 76ers
Minnesota Timberwolves v Philadelphia 76ers,Minnesota Timberwolves,Philadelphia 76ers,Player Blocks,Naz Reid,Minnesota Timberwolves,1.5,2.9,BetMakers,Philadelphia 76ers
Minnesota Timberwolves v Philadelphia 76ers,Minnesota Timberwolves,Philadelphia 76ers,Player Blocks,Naz Reid,Minnesota Timberwolves,2.5,6.75,BetMakers,Philadelphia 76ers
Phoenix Suns v Portland Trail Blazers,Phoenix Suns,Portland Trail Blazers,Player Blocks,Donovan Clingan,Portland Trail Blazers,0.5,1.25,BetMakers,Phoenix Suns
Phoenix Suns v Portland Trail Blazers,Phoenix Suns,Portland Trail Blazers,Player Blocks,Donovan Clingan,Portland Trail Blazers,1.5,2.15,BetMakers,Phoenix Suns
Phoenix Suns v Portland Trail Blazers,Phoenix Suns,Portland Trail Blazers,Player Blocks,Donovan Clingan,Portland Trail Blazers,2.5,4.33,BetMakers,Phoenix Suns
Phoenix Suns v Portland Trail Blazers,Phoenix Suns,Portland Trail Blazers,Player Blocks,Mark Williams,Phoenix Suns,0.5,1.57,BetMakers,Portland Trail Blazers
Phoenix Suns v Portland Trail Blazers,Phoenix Suns,Portland Trail Blazers,Player Blocks,Mark Williams,Phoenix Suns,1.5,3.5999999999999996,BetMakers,Portland Trail Blazers
