match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team
Denver Nuggets v Boston Celtics,Denver Nuggets,Boston Celtics,Player Blocks + Steals,Derrick White,Boston Celtics,1.5,1.4,BetMakers,Denver Nuggets
Denver Nuggets v Boston Celtics,Denver Nuggets,Boston Celtics,Player Blocks + Steals,Derrick White,Boston Celtics,2.5,2.2,BetMakers,Denver Nuggets
Denver Nuggets v Boston Celtics,Denver Nuggets,Boston Celtics,Player Blocks + Steals,Derrick White,Boston Celtics,3.5,4,BetMakers,Denver Nuggets
Denver Nuggets v Boston Celtics,Denver Nuggets,Boston Celtics,Player Blocks + Steals,Nikola Jokic,Denver Nuggets,1.5,1.55,BetMakers,Boston Celtics
Denver Nuggets v Boston Celtics,Denver Nuggets,Boston Celtics,Player Blocks + Steals,Nikola Jokic,Denver Nuggets,2.5,2.63,BetMakers,Boston Celtics
Denver Nuggets v Boston Celtics,Denver Nuggets,Boston Celtics,Player Blocks + Steals,Nikola Jokic,Denver Nuggets,3.5,5.25,BetMakers,Boston Celtics
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player Blocks + Steals,Alperen Sengün,Houston Rockets,1.5,1.48,BetMakers,Sacramento Kings
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player Blocks + Steals,Alperen Sengün,Houston Rockets,2.5,2.3,BetMakers,Sacramento Kings
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player Blocks + Steals,Alperen Sengün,Houston Rockets,3.5,4.2,BetMakers,Sacramento Kings
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player Blocks + Steals,Jabari Smith Jr.,Houston Rockets,1.5,1.6,BetMakers,Sacramento Kings
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player Blocks + Steals,Jabari Smith Jr.,Houston Rockets,2.5,2.63,BetMakers,Sacramento Kings
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player Blocks + Steals,Jabari Smith Jr.,Houston Rockets,3.5,5.25,BetMakers,Sacramento Kings
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player Blocks + Steals,Kevin Durant,Houston Rockets,0.5,1.18,BetMakers,Sacramento Kings
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player Blocks + Steals,Kevin Durant,Houston Rockets,1.5,1.8300000000000003,BetMakers,Sacramento Kings
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player Blocks + Steals,Kevin Durant,Houston Rockets,2.5,3.4,BetMakers,Sacramento Kings
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player Blocks + Steals,Reed Sheppard,Houston Rockets,1.5,1.65,BetMakers,Sacramento Kings
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player Blocks + Steals,Reed Sheppard,Houston Rockets,2.5,2.9,BetMakers,Sacramento Kings
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player Blocks + Steals,Reed Sheppard,Houston Rockets,3.5,5.75,BetMakers,Sacramento Kings
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player Blocks + Steals,Tari Eason,Houston Rockets,1.5,1.57,BetMakers,Sacramento Kings
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player Blocks + Steals,Tari Eason,Houston Rockets,2.5,2.75,BetMakers,Sacramento Kings
Houston Rockets v Sacramento Kings,Houston Rockets,Sacramento Kings,Player Blocks + Steals,Tari Eason,Houston Rockets,3.5,5.25,BetMakers,Sacramento Kings
Memphis Grizzlies v Golden State Warriors,Memphis Grizzlies,Golden State Warriors,Player Blocks + Steals,Al Horford,Golden State Warriors,1.5,1.53,BetMakers,Memphis Grizzlies
Memphis Grizzlies v Golden State Warriors,Memphis Grizzlies,Golden State Warriors,Player Blocks + Steals,Al Horford,Golden State Warriors,2.5,2.5,BetMakers,Memphis Grizzlies
Memphis Grizzlies v Golden State Warriors,Memphis Grizzlies,Golden State Warriors,Player Blocks + Steals,Al Horford,Golden State Warriors,3.5,4.75,BetMakers,Memphis Grizzlies
Memphis Grizzlies v Golden State Warriors,Memphis Grizzlies,Golden State Warriors,Player Blocks + Steals,Gui Santos,Golden State Warriors,0.5,1.14,BetMakers,Memphis Grizzlies
Memphis Grizzlies v Golden State Warriors,Memphis Grizzlies,Golden State Warriors,Player Blocks + Steals,Gui Santos,Golden State Warriors,1.5,1.65,BetMakers,Memphis Grizzlies
Memphis Grizzlies v Golden State Warriors,Memphis Grizzlies,Golden State Warriors,Player Blocks + Steals,Gui Santos,Golden State Warriors,2.5,2.8,BetMakers,Memphis Grizzlies
Memphis Grizzlies v Golden State Warriors,Memphis Grizzlies,Golden State Warriors,Player Blocks + Steals,Moses Moody,Golden State Warriors,0.5,1.22,BetMakers,Memphis Grizzlies
Memphis Grizzlies v Golden State Warriors,Memphis Grizzlies,Golden State Warriors,Player Blocks + Steals,Moses Moody,Golden State Warriors,1.5,2,BetMakers,Memphis Grizzlies
Memphis Grizzlies v Golden State Warriors,Memphis Grizzlies,Golden State Warriors,Player Blocks + Steals,Moses Moody,Golden State Warriors,2.5,3.8999999999999995,BetMakers,Memphis Grizzlies
Milwaukee Bucks v Cleveland Cavaliers,Milwaukee Bucks,Cleveland Cavaliers,Player Blocks + Steals,Jarrett Allen,Cleveland Cavaliers,0.5,1.18,BetMakers,Milwaukee Bucks
Milwaukee Bucks v Cleveland Cavaliers,Milwaukee Bucks,Cleveland Cavaliers,Player Blocks + Steals,Jarrett Allen,Cleveland Cavaliers,1.5,1.8300000000000003,BetMakers,Milwaukee Bucks
Milwaukee Bucks v Cleveland Cavaliers,Milwaukee Bucks,Cleveland Cavaliers,Player Blocks + Steals,Jarrett Allen,Cleveland Cavaliers,2.5,3.4,BetMakers,Milwaukee Bucks
Milwaukee Bucks v Cleveland Cavaliers,Milwaukee Bucks,Cleveland Cavaliers,Player Blocks + Steals,Myles Turner,Milwaukee Bucks,1.5,1.4,BetMakers,Cleveland Cavaliers
Milwaukee Bucks v Cleveland Cavaliers,Milwaukee Bucks,Cleveland Cavaliers,Player Blocks + Steals,Myles Turner,Milwaukee Bucks,2.5,2.2,BetMakers,Cleveland Cavaliers
Milwaukee Bucks v Cleveland Cavaliers,Milwaukee Bucks,Cleveland Cavaliers,Player Blocks + Steals,Myles Turner,Milwaukee Bucks,3.5,3.8000000000000003,BetMakers,Cleveland Cavaliers
Milwaukee Bucks v Cleveland Cavaliers,Milwaukee Bucks,Cleveland Cavaliers,Player Blocks + Steals,Ryan Rollins,Milwaukee Bucks,1.5,1.53,BetMakers,Cleveland Cavaliers
Milwaukee Bucks v Cleveland Cavaliers,Milwaukee Bucks,Cleveland Cavaliers,Player Blocks + Steals,Ryan Rollins,Milwaukee Bucks,2.5,2.4,BetMakers,Cleveland Cavaliers
Milwaukee Bucks v Cleveland Cavaliers,Milwaukee Bucks,Cleveland Cavaliers,Player Blocks + Steals,Ryan Rollins,Milwaukee Bucks,3.5,4.6,BetMakers,Cleveland Cavaliers
Toronto Raptors v San Antonio Spurs,Toronto Raptors,San Antonio Spurs,Player Blocks + Steals,Brandon Ingram,Toronto Raptors,0.5,1.26,BetMakers,San Antonio Spurs
Toronto Raptors v San Antonio Spurs,Toronto Raptors,San Antonio Spurs,Player Blocks + Steals,Brandon Ingram,Toronto Raptors,1.5,2.1,BetMakers,San Antonio Spurs
Toronto Raptors v San Antonio Spurs,Toronto Raptors,San Antonio Spurs,Player Blocks + Steals,Brandon Ingram,Toronto Raptors,2.5,4.33,BetMakers,San Antonio Spurs
Toronto Raptors v San Antonio Spurs,Toronto Raptors,San Antonio Spurs,Player Blocks + Steals,Scottie Barnes,Toronto Raptors,1.5,1.45,BetMakers,San Antonio Spurs
Toronto Raptors v San Antonio Spurs,Toronto Raptors,San Antonio Spurs,Player Blocks + Steals,Scottie Barnes,Toronto Raptors,2.5,2.3,BetMakers,San Antonio Spurs
Toronto Raptors v San Antonio Spurs,Toronto Raptors,San Antonio Spurs,Player Blocks + Steals,Scottie Barnes,Toronto Raptors,3.5,4.2,BetMakers,San Antonio Spurs
Toronto Raptors v San Antonio Spurs,Toronto Raptors,San Antonio Spurs,Player Blocks + Steals,Victor Wembanyama,San Antonio Spurs,2.5,1.3,BetMakers,Toronto Raptors
Toronto Raptors v San Antonio Spurs,Toronto Raptors,San Antonio Spurs,Player Blocks + Steals,Victor Wembanyama,San Antonio Spurs,3.5,1.7,BetMakers,Toronto Raptors
Toronto Raptors v San Antonio Spurs,Toronto Raptors,San Antonio Spurs,Player Blocks + Steals,Victor Wembanyama,San Antonio Spurs,4.5,2.5,BetMakers,Toronto Raptors
