match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,DeMar DeRozan,Sacramento Kings,14.5,1.15,NA,BetMakers,New Orleans Pelicans
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,DeMar DeRozan,Sacramento Kings,17.5,1.4,NA,BetMakers,New Orleans Pelicans
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,DeMar DeRozan,Sacramento Kings,19.5,1.68,NA,BetMakers,New Orleans Pelicans
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,DeMar DeRozan,Sacramento Kings,20.5,1.8800000000000001,1.86,BetMakers,New Orleans Pelicans
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,DeMar DeRozan,Sacramento Kings,24.5,3.3,NA,BetMakers,New Orleans Pelicans
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,DeMar DeRozan,Sacramento Kings,29.5,8.5,NA,BetMakers,New Orleans Pelicans
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,Derik Queen,New Orleans Pelicans,4.5,1.04,NA,BetMakers,Sacramento Kings
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,Derik Queen,New Orleans Pelicans,7.5,1.2,NA,BetMakers,Sacramento Kings
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,Derik Queen,New Orleans Pelicans,9.5,1.44,NA,BetMakers,Sacramento Kings
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,Derik Queen,New Orleans Pelicans,11.5,1.8300000000000003,NA,BetMakers,Sacramento Kings
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,Derik Queen,New Orleans Pelicans,11.5,1.8300000000000003,1.92,BetMakers,Sacramento Kings
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,Derik Queen,New Orleans Pelicans,14.5,2.9,NA,BetMakers,Sacramento Kings
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,Devin Carter,Sacramento Kings,7.5,1.1,NA,BetMakers,New Orleans Pelicans
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,Devin Carter,Sacramento Kings,9.5,1.22,NA,BetMakers,New Orleans Pelicans
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,Devin Carter,Sacramento Kings,11.5,1.4600000000000002,NA,BetMakers,New Orleans Pelicans
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,Devin Carter,Sacramento Kings,13.5,1.9000000000000001,1.86,BetMakers,New Orleans Pelicans
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,Devin Carter,Sacramento Kings,14.5,2.2,NA,BetMakers,New Orleans Pelicans
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,Devin Carter,Sacramento Kings,17.5,3.5999999999999996,NA,BetMakers,New Orleans Pelicans
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,Herb Jones,New Orleans Pelicans,4.5,1.14,NA,BetMakers,Sacramento Kings
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,Herb Jones,New Orleans Pelicans,7.5,1.5,NA,BetMakers,Sacramento Kings
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,Herb Jones,New Orleans Pelicans,9.5,1.98,NA,BetMakers,Sacramento Kings
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,Herb Jones,New Orleans Pelicans,9.5,1.98,1.7799999999999998,BetMakers,Sacramento Kings
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,Herb Jones,New Orleans Pelicans,11.5,2.75,NA,BetMakers,Sacramento Kings
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,Jeremiah Fears,New Orleans Pelicans,9.5,1.18,NA,BetMakers,Sacramento Kings
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,Jeremiah Fears,New Orleans Pelicans,11.5,1.38,NA,BetMakers,Sacramento Kings
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,Jeremiah Fears,New Orleans Pelicans,14.5,1.96,NA,BetMakers,Sacramento Kings
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,Jeremiah Fears,New Orleans Pelicans,14.5,1.96,1.7999999999999998,BetMakers,Sacramento Kings
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,Jeremiah Fears,New Orleans Pelicans,17.5,3.2,NA,BetMakers,Sacramento Kings
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,Jeremiah Fears,New Orleans Pelicans,19.5,4.75,NA,BetMakers,Sacramento Kings
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,Maxime Raynaud,Sacramento Kings,9.5,1.15,NA,BetMakers,New Orleans Pelicans
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,Maxime Raynaud,Sacramento Kings,11.5,1.33,NA,BetMakers,New Orleans Pelicans
Sacramento Kings v New Orleans Pelicans,Sacramento Kings,New Orleans Pelicans,Player Points,Maxime Raynaud,Sacramento Kings,14.5,1.8200000000000003,NA,BetMakers,New Orleans Pelicans
