match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team
Los Angeles Clippers v Philadelphia 76ers,Los Angeles Clippers,Philadelphia 76ers,Player PRAs,Ivica Zubac,Los Angeles Clippers,17.5,1.02,BetMakers,Philadelphia 76ers
Los Angeles Clippers v Philadelphia 76ers,Los Angeles Clippers,Philadelphia 76ers,Player PRAs,Ivica Zubac,Los Angeles Clippers,22.5,1.17,BetMakers,Philadelphia 76ers
Los Angeles Clippers v Philadelphia 76ers,Los Angeles Clippers,Philadelphia 76ers,Player PRAs,Ivica Zubac,Los Angeles Clippers,27.5,1.62,BetMakers,Philadelphia 76ers
Los Angeles Clippers v Philadelphia 76ers,Los Angeles Clippers,Philadelphia 76ers,Player PRAs,Ivica Zubac,Los Angeles Clippers,32.5,2.75,BetMakers,Philadelphia 76ers
Los Angeles Clippers v Philadelphia 76ers,Los Angeles Clippers,Philadelphia 76ers,Player PRAs,Ivica Zubac,Los Angeles Clippers,37.5,5.75,BetMakers,Philadelphia 76ers
Los Angeles Clippers v Philadelphia 76ers,Los Angeles Clippers,Philadelphia 76ers,Player PRAs,Joel Embiid,Philadelphia 76ers,31.5,1.06,BetMakers,Los Angeles Clippers
Los Angeles Clippers v Philadelphia 76ers,Los Angeles Clippers,Philadelphia 76ers,Player PRAs,Joel Embiid,Philadelphia 76ers,36.5,1.25,BetMakers,Los Angeles Clippers
Los Angeles Clippers v Philadelphia 76ers,Los Angeles Clippers,Philadelphia 76ers,Player PRAs,Joel Embiid,Philadelphia 76ers,41.5,1.7,BetMakers,Los Angeles Clippers
Los Angeles Clippers v Philadelphia 76ers,Los Angeles Clippers,Philadelphia 76ers,Player PRAs,Joel Embiid,Philadelphia 76ers,46.5,2.75,BetMakers,Los Angeles Clippers
Los Angeles Clippers v Philadelphia 76ers,Los Angeles Clippers,Philadelphia 76ers,Player PRAs,Joel Embiid,Philadelphia 76ers,51.5,5.25,BetMakers,Los Angeles Clippers
Los Angeles Clippers v Philadelphia 76ers,Los Angeles Clippers,Philadelphia 76ers,Player PRAs,Kawhi Leonard,Los Angeles Clippers,25.5,1.06,BetMakers,Philadelphia 76ers
Los Angeles Clippers v Philadelphia 76ers,Los Angeles Clippers,Philadelphia 76ers,Player PRAs,Kawhi Leonard,Los Angeles Clippers,30.5,1.24,BetMakers,Philadelphia 76ers
Los Angeles Clippers v Philadelphia 76ers,Los Angeles Clippers,Philadelphia 76ers,Player PRAs,Kawhi Leonard,Los Angeles Clippers,35.5,1.68,BetMakers,Philadelphia 76ers
Los Angeles Clippers v Philadelphia 76ers,Los Angeles Clippers,Philadelphia 76ers,Player PRAs,Kawhi Leonard,Los Angeles Clippers,40.5,2.63,BetMakers,Philadelphia 76ers
Los Angeles Clippers v Philadelphia 76ers,Los Angeles Clippers,Philadelphia 76ers,Player PRAs,Kawhi Leonard,Los Angeles Clippers,45.5,5,BetMakers,Philadelphia 76ers
Los Angeles Clippers v Philadelphia 76ers,Los Angeles Clippers,Philadelphia 76ers,Player PRAs,Kris Dunn,Los Angeles Clippers,12.5,1.18,BetMakers,Philadelphia 76ers
Los Angeles Clippers v Philadelphia 76ers,Los Angeles Clippers,Philadelphia 76ers,Player PRAs,Kris Dunn,Los Angeles Clippers,14.5,1.36,BetMakers,Philadelphia 76ers
Los Angeles Clippers v Philadelphia 76ers,Los Angeles Clippers,Philadelphia 76ers,Player PRAs,Kris Dunn,Los Angeles Clippers,16.5,1.67,BetMakers,Philadelphia 76ers
Los Angeles Clippers v Philadelphia 76ers,Los Angeles Clippers,Philadelphia 76ers,Player PRAs,Kris Dunn,Los Angeles Clippers,18.5,2.15,BetMakers,Philadelphia 76ers
Los Angeles Clippers v Philadelphia 76ers,Los Angeles Clippers,Philadelphia 76ers,Player PRAs,Kris Dunn,Los Angeles Clippers,20.5,2.9,BetMakers,Philadelphia 76ers
Los Angeles Clippers v Philadelphia 76ers,Los Angeles Clippers,Philadelphia 76ers,Player PRAs,Quentin Grimes,Philadelphia 76ers,11.5,1.5,BetMakers,Los Angeles Clippers
