match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Austin Reaves,Los Angeles Lakers,2.5,1.24,NA,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Austin Reaves,Los Angeles Lakers,3.5,1.6,2.25,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Austin Reaves,Los Angeles Lakers,4.5,2.3,NA,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Austin Reaves,Los Angeles Lakers,4.5,2.3,1.57,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Austin Reaves,Los Angeles Lakers,5.5,3.5,1.26,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Austin Reaves,Los Angeles Lakers,6.5,6,NA,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Bruce Brown,Denver Nuggets,2.5,1.24,NA,BetMakers,Los Angeles Lakers
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Bruce Brown,Denver Nuggets,2.5,1.24,3.8999999999999995,BetMakers,Los Angeles Lakers
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Bruce Brown,Denver Nuggets,3.5,1.57,2.3,BetMakers,Los Angeles Lakers
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Bruce Brown,Denver Nuggets,4.5,2.25,NA,BetMakers,Los Angeles Lakers
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Bruce Brown,Denver Nuggets,4.5,2.25,1.6,BetMakers,Los Angeles Lakers
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Christian Braun,Denver Nuggets,2.5,1.09,NA,BetMakers,Los Angeles Lakers
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Christian Braun,Denver Nuggets,3.5,1.24,3.8000000000000003,BetMakers,Los Angeles Lakers
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Christian Braun,Denver Nuggets,4.5,1.55,NA,BetMakers,Los Angeles Lakers
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Christian Braun,Denver Nuggets,4.5,1.55,2.4,BetMakers,Los Angeles Lakers
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Christian Braun,Denver Nuggets,5.5,2.1,1.7,BetMakers,Los Angeles Lakers
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Christian Braun,Denver Nuggets,6.5,3,NA,BetMakers,Los Angeles Lakers
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Christian Braun,Denver Nuggets,6.5,3,1.35,BetMakers,Los Angeles Lakers
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Christian Braun,Denver Nuggets,7.5,4.75,1.17,BetMakers,Los Angeles Lakers
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Deandre Ayton,Los Angeles Lakers,4.5,1.15,NA,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Deandre Ayton,Los Angeles Lakers,5.5,1.33,3.2,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Deandre Ayton,Los Angeles Lakers,6.5,1.62,NA,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Deandre Ayton,Los Angeles Lakers,6.5,1.62,2.25,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Deandre Ayton,Los Angeles Lakers,7.5,2.05,1.7,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Deandre Ayton,Los Angeles Lakers,8.5,2.8,1.4,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Deandre Ayton,Los Angeles Lakers,9.5,4,NA,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Deandre Ayton,Los Angeles Lakers,9.5,4,1.22,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Deandre Ayton,Los Angeles Lakers,11.5,9,NA,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Jamal Murray,Denver Nuggets,2.5,1.2,NA,BetMakers,Los Angeles Lakers
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Jamal Murray,Denver Nuggets,3.5,1.5,2.4,BetMakers,Los Angeles Lakers
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Jamal Murray,Denver Nuggets,4.5,2.1,NA,BetMakers,Los Angeles Lakers
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Jamal Murray,Denver Nuggets,4.5,2.1,1.68,BetMakers,Los Angeles Lakers
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Jamal Murray,Denver Nuggets,5.5,3.3,1.3,BetMakers,Los Angeles Lakers
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Jamal Murray,Denver Nuggets,6.5,5.25,NA,BetMakers,Los Angeles Lakers
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Julian Strawther,Denver Nuggets,2.5,1.26,NA,BetMakers,Los Angeles Lakers
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Julian Strawther,Denver Nuggets,4.5,2.4,NA,BetMakers,Los Angeles Lakers
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,LeBron James,Los Angeles Lakers,2.5,1.09,NA,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,LeBron James,Los Angeles Lakers,3.5,1.24,3.8000000000000003,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,LeBron James,Los Angeles Lakers,4.5,1.53,NA,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,LeBron James,Los Angeles Lakers,4.5,1.53,2.4,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,LeBron James,Los Angeles Lakers,5.5,2,1.7299999999999998,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,LeBron James,Los Angeles Lakers,6.5,2.9,NA,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,LeBron James,Los Angeles Lakers,6.5,2.9,1.38,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,LeBron James,Los Angeles Lakers,7.5,4.5,1.18,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Luka Doncic,Los Angeles Lakers,4.5,1.11,NA,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Luka Doncic,Los Angeles Lakers,5.5,1.26,3.5,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Luka Doncic,Los Angeles Lakers,6.5,1.53,NA,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Luka Doncic,Los Angeles Lakers,6.5,1.53,2.4,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Luka Doncic,Los Angeles Lakers,7.5,1.9499999999999997,1.8200000000000003,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Luka Doncic,Los Angeles Lakers,8.5,2.6,1.4600000000000002,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Luka Doncic,Los Angeles Lakers,9.5,3.5999999999999996,NA,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Luka Doncic,Los Angeles Lakers,9.5,3.5999999999999996,1.26,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Luka Doncic,Los Angeles Lakers,11.5,8,NA,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Luke Kennard,Los Angeles Lakers,2.5,2.25,NA,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Luke Kennard,Los Angeles Lakers,4.5,7.5,NA,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Marcus Smart,Los Angeles Lakers,2.5,2.25,NA,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Marcus Smart,Los Angeles Lakers,4.5,7.5,NA,BetMakers,Denver Nuggets
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Nikola Jokic,Denver Nuggets,6.5,1.01,NA,BetMakers,Los Angeles Lakers
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Nikola Jokic,Denver Nuggets,9.5,1.14,NA,BetMakers,Los Angeles Lakers
Denver Nuggets v Los Angeles Lakers,Denver Nuggets,Los Angeles Lakers,Player Rebounds,Nikola Jokic,Denver Nuggets,11.5,1.4,NA,BetMakers,Los Angeles Lakers
