match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_unders
Utah Jazz v Milwaukee Bucks,Utah Jazz,Milwaukee Bucks,Player Assists,Ryan Rollins,Milwaukee Bucks,9.5,3.15,NA,Sportsbet,Utah Jazz,16,19476,15412499,563549150,2691347357,NA
Utah Jazz v Milwaukee Bucks,Utah Jazz,Milwaukee Bucks,Player Assists,Kyle Kuzma,Milwaukee Bucks,1.5,1.16,NA,Sportsbet,Utah Jazz,16,19476,15412499,563549146,2691347342,NA
Utah Jazz v Milwaukee Bucks,Utah Jazz,Milwaukee Bucks,Player Assists,Ousmane Dieng,Milwaukee Bucks,1.5,1.16,NA,Sportsbet,Utah Jazz,16,19476,15412499,563549146,2691347343,NA
Utah Jazz v Milwaukee Bucks,Utah Jazz,Milwaukee Bucks,Player Assists,Ace Bailey,Utah Jazz,1.5,1.36,NA,Sportsbet,Milwaukee Bucks,16,19476,15412499,563549146,2691345698,NA
Utah Jazz v Milwaukee Bucks,Utah Jazz,Milwaukee Bucks,Player Assists,Cody Williams,Utah Jazz,1.5,1.1,NA,Sportsbet,Milwaukee Bucks,16,19476,15412499,563549146,2691345700,NA
Utah Jazz v Milwaukee Bucks,Utah Jazz,Milwaukee Bucks,Player Assists,Kyle Filipowski,Utah Jazz,1.5,1.08,NA,Sportsbet,Milwaukee Bucks,16,19476,15412499,563549146,2691345702,NA
Utah Jazz v Milwaukee Bucks,Utah Jazz,Milwaukee Bucks,Player Assists,Ryan Rollins,Milwaukee Bucks,11.5,7.25,NA,Sportsbet,Utah Jazz,16,19476,15412499,563549151,2691347361,NA
Utah Jazz v Milwaukee Bucks,Utah Jazz,Milwaukee Bucks,Player Assists,Ryan Rollins,Milwaukee Bucks,7.5,1.85,NA,Sportsbet,Utah Jazz,16,19476,15412499,563549149,2691347353,NA
Utah Jazz v Milwaukee Bucks,Utah Jazz,Milwaukee Bucks,Player Assists,Kyle Filipowski,Utah Jazz,7.5,8.5,NA,Sportsbet,Milwaukee Bucks,16,19476,15412499,563549149,2691345717,NA
Utah Jazz v Milwaukee Bucks,Utah Jazz,Milwaukee Bucks,Player Assists,Ryan Rollins,Milwaukee Bucks,5.5,1.22,NA,Sportsbet,Utah Jazz,16,19476,15412499,563549148,2691347349,NA
Utah Jazz v Milwaukee Bucks,Utah Jazz,Milwaukee Bucks,Player Assists,Ousmane Dieng,Milwaukee Bucks,5.5,6.5,NA,Sportsbet,Utah Jazz,16,19476,15412499,563549148,2691347351,NA
Utah Jazz v Milwaukee Bucks,Utah Jazz,Milwaukee Bucks,Player Assists,Kyle Kuzma,Milwaukee Bucks,5.5,7.25,NA,Sportsbet,Utah Jazz,16,19476,15412499,563549148,2691347350,NA
Utah Jazz v Milwaukee Bucks,Utah Jazz,Milwaukee Bucks,Player Assists,Kyle Filipowski,Utah Jazz,5.5,3.45,NA,Sportsbet,Milwaukee Bucks,16,19476,15412499,563549148,2691345712,NA
Utah Jazz v Milwaukee Bucks,Utah Jazz,Milwaukee Bucks,Player Assists,Cody Williams,Utah Jazz,5.5,4.1,NA,Sportsbet,Milwaukee Bucks,16,19476,15412499,563549148,2691345710,NA
Utah Jazz v Milwaukee Bucks,Utah Jazz,Milwaukee Bucks,Player Assists,Ryan Rollins,Milwaukee Bucks,3.5,1.03,NA,Sportsbet,Utah Jazz,16,19476,15412499,563549147,2691347345,NA
Utah Jazz v Milwaukee Bucks,Utah Jazz,Milwaukee Bucks,Player Assists,Kyle Kuzma,Milwaukee Bucks,3.5,2.4,NA,Sportsbet,Utah Jazz,16,19476,15412499,563549147,2691347346,NA
Utah Jazz v Milwaukee Bucks,Utah Jazz,Milwaukee Bucks,Player Assists,Ousmane Dieng,Milwaukee Bucks,3.5,2.25,NA,Sportsbet,Utah Jazz,16,19476,15412499,563549147,2691347347,NA
Utah Jazz v Milwaukee Bucks,Utah Jazz,Milwaukee Bucks,Player Assists,Cody Williams,Utah Jazz,3.5,1.81,NA,Sportsbet,Milwaukee Bucks,16,19476,15412499,563549147,2691345705,NA
Utah Jazz v Milwaukee Bucks,Utah Jazz,Milwaukee Bucks,Player Assists,Kyle Filipowski,Utah Jazz,3.5,1.64,NA,Sportsbet,Milwaukee Bucks,16,19476,15412499,563549147,2691345707,NA
Utah Jazz v Milwaukee Bucks,Utah Jazz,Milwaukee Bucks,Player Assists,Ace Bailey,Utah Jazz,3.5,3.45,NA,Sportsbet,Milwaukee Bucks,16,19476,15412499,563549147,2691345703,NA
Sacramento Kings v Philadelphia 76ers,Sacramento Kings,Philadelphia 76ers,Player Assists,Quentin Grimes,Philadelphia 76ers,3.5,1.41,NA,Sportsbet,Sacramento Kings,16,19476,15412502,563546429,2691335735,NA
Sacramento Kings v Philadelphia 76ers,Sacramento Kings,Philadelphia 76ers,Player Assists,VJ Edgecombe,Philadelphia 76ers,3.5,1.42,NA,Sportsbet,Sacramento Kings,16,19476,15412502,563546429,2691334197,NA
Sacramento Kings v Philadelphia 76ers,Sacramento Kings,Philadelphia 76ers,Player Assists,Cameron Payne,Philadelphia 76ers,3.5,2,NA,Sportsbet,Sacramento Kings,16,19476,15412502,563546429,2691339631,NA
Sacramento Kings v Philadelphia 76ers,Sacramento Kings,Philadelphia 76ers,Player Assists,DeMar DeRozan,Sacramento Kings,3.5,1.53,NA,Sportsbet,Philadelphia 76ers,16,19476,15412502,563546429,2691346908,NA
Sacramento Kings v Philadelphia 76ers,Sacramento Kings,Philadelphia 76ers,Player Assists,Russell Westbrook,Sacramento Kings,3.5,1.04,NA,Sportsbet,Philadelphia 76ers,16,19476,15412502,563546429,2691347768,NA
Sacramento Kings v Philadelphia 76ers,Sacramento Kings,Philadelphia 76ers,Player Assists,Malik Monk,Sacramento Kings,3.5,2.15,NA,Sportsbet,Philadelphia 76ers,16,19476,15412502,563546429,2691351528,NA
Sacramento Kings v Philadelphia 76ers,Sacramento Kings,Philadelphia 76ers,Player Assists,Russell Westbrook,Sacramento Kings,9.5,3.15,NA,Sportsbet,Philadelphia 76ers,16,19476,15412502,563546432,2691347771,NA
Sacramento Kings v Philadelphia 76ers,Sacramento Kings,Philadelphia 76ers,Player Assists,Cameron Payne,Philadelphia 76ers,1.5,1.13,NA,Sportsbet,Sacramento Kings,16,19476,15412502,563546428,2691339630,NA
Sacramento Kings v Philadelphia 76ers,Sacramento Kings,Philadelphia 76ers,Player Assists,Quentin Grimes,Philadelphia 76ers,1.5,1.03,NA,Sportsbet,Sacramento Kings,16,19476,15412502,563546428,2691335734,NA
Sacramento Kings v Philadelphia 76ers,Sacramento Kings,Philadelphia 76ers,Player Assists,VJ Edgecombe,Philadelphia 76ers,1.5,1.03,NA,Sportsbet,Sacramento Kings,16,19476,15412502,563546428,2691334196,NA
Sacramento Kings v Philadelphia 76ers,Sacramento Kings,Philadelphia 76ers,Player Assists,DeMar DeRozan,Sacramento Kings,1.5,1.05,NA,Sportsbet,Philadelphia 76ers,16,19476,15412502,563546428,2691346907,NA
Sacramento Kings v Philadelphia 76ers,Sacramento Kings,Philadelphia 76ers,Player Assists,Malik Monk,Sacramento Kings,1.5,1.14,NA,Sportsbet,Philadelphia 76ers,16,19476,15412502,563546428,2691351527,NA
Sacramento Kings v Philadelphia 76ers,Sacramento Kings,Philadelphia 76ers,Player Assists,Russell Westbrook,Sacramento Kings,11.5,7,NA,Sportsbet,Philadelphia 76ers,16,19476,15412502,563546433,2691347772,NA
Sacramento Kings v Philadelphia 76ers,Sacramento Kings,Philadelphia 76ers,Player Assists,Quentin Grimes,Philadelphia 76ers,5.5,2.95,NA,Sportsbet,Sacramento Kings,16,19476,15412502,563546430,2691335736,NA
Sacramento Kings v Philadelphia 76ers,Sacramento Kings,Philadelphia 76ers,Player Assists,VJ Edgecombe,Philadelphia 76ers,5.5,2.9,NA,Sportsbet,Sacramento Kings,16,19476,15412502,563546430,2691334198,NA
Sacramento Kings v Philadelphia 76ers,Sacramento Kings,Philadelphia 76ers,Player Assists,Cameron Payne,Philadelphia 76ers,5.5,5.1,NA,Sportsbet,Sacramento Kings,16,19476,15412502,563546430,2691339632,NA
Sacramento Kings v Philadelphia 76ers,Sacramento Kings,Philadelphia 76ers,Player Assists,Russell Westbrook,Sacramento Kings,5.5,1.27,NA,Sportsbet,Philadelphia 76ers,16,19476,15412502,563546430,2691347769,NA
Sacramento Kings v Philadelphia 76ers,Sacramento Kings,Philadelphia 76ers,Player Assists,DeMar DeRozan,Sacramento Kings,5.5,3.35,NA,Sportsbet,Philadelphia 76ers,16,19476,15412502,563546430,2691346909,NA
Sacramento Kings v Philadelphia 76ers,Sacramento Kings,Philadelphia 76ers,Player Assists,Malik Monk,Sacramento Kings,5.5,6.25,NA,Sportsbet,Philadelphia 76ers,16,19476,15412502,563546430,2691351529,NA
Sacramento Kings v Philadelphia 76ers,Sacramento Kings,Philadelphia 76ers,Player Assists,Quentin Grimes,Philadelphia 76ers,7.5,8.5,NA,Sportsbet,Sacramento Kings,16,19476,15412502,563546431,2691335737,NA
Sacramento Kings v Philadelphia 76ers,Sacramento Kings,Philadelphia 76ers,Player Assists,VJ Edgecombe,Philadelphia 76ers,7.5,8.75,NA,Sportsbet,Sacramento Kings,16,19476,15412502,563546431,2691334199,NA
