match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_unders
Indiana Pacers v Los Angeles Clippers,Indiana Pacers,Los Angeles Clippers,Player Blocks,Brook Lopez,Los Angeles Clippers,0.5,1.3,NA,Sportsbet,Indiana Pacers,16,19476,15453244,565441088,2699996129,NA
Indiana Pacers v Los Angeles Clippers,Indiana Pacers,Los Angeles Clippers,Player Blocks,Jay Huff,Indiana Pacers,0.5,1.18,NA,Sportsbet,Los Angeles Clippers,16,19476,15453244,565441088,2700134454,NA
Indiana Pacers v Los Angeles Clippers,Indiana Pacers,Los Angeles Clippers,Player Blocks,Brook Lopez,Los Angeles Clippers,2.5,5.8,NA,Sportsbet,Indiana Pacers,16,19476,15453244,565441090,2699996131,NA
Indiana Pacers v Los Angeles Clippers,Indiana Pacers,Los Angeles Clippers,Player Blocks,Jay Huff,Indiana Pacers,2.5,3.9,NA,Sportsbet,Los Angeles Clippers,16,19476,15453244,565441090,2700134456,NA
Indiana Pacers v Los Angeles Clippers,Indiana Pacers,Los Angeles Clippers,Player Blocks,Brook Lopez,Los Angeles Clippers,1.5,2.45,NA,Sportsbet,Indiana Pacers,16,19476,15453244,565441089,2699996130,NA
Indiana Pacers v Los Angeles Clippers,Indiana Pacers,Los Angeles Clippers,Player Blocks,Jay Huff,Indiana Pacers,1.5,1.92,NA,Sportsbet,Los Angeles Clippers,16,19476,15453244,565441089,2700134455,NA
Cleveland Cavaliers v Miami Heat,Cleveland Cavaliers,Miami Heat,Player Blocks,Evan Mobley,Cleveland Cavaliers,2.5,4.25,NA,Sportsbet,Miami Heat,16,19476,15453247,565472698,2700137584,NA
Cleveland Cavaliers v Miami Heat,Cleveland Cavaliers,Miami Heat,Player Blocks,Andrew Wiggins,Miami Heat,0.5,1.53,NA,Sportsbet,Cleveland Cavaliers,16,19476,15453247,565472696,2700137581,NA
Cleveland Cavaliers v Miami Heat,Cleveland Cavaliers,Miami Heat,Player Blocks,Evan Mobley,Cleveland Cavaliers,0.5,1.19,NA,Sportsbet,Miami Heat,16,19476,15453247,565472696,2700137580,NA
Cleveland Cavaliers v Miami Heat,Cleveland Cavaliers,Miami Heat,Player Blocks,Andrew Wiggins,Miami Heat,1.5,3.5,NA,Sportsbet,Cleveland Cavaliers,16,19476,15453247,565472697,2700137583,NA
Cleveland Cavaliers v Miami Heat,Cleveland Cavaliers,Miami Heat,Player Blocks,Evan Mobley,Cleveland Cavaliers,1.5,1.99,NA,Sportsbet,Miami Heat,16,19476,15453247,565472697,2700137582,NA
Boston Celtics v Atlanta Hawks,Boston Celtics,Atlanta Hawks,Player Blocks,Neemias Queta,Boston Celtics,2.5,5.9,NA,Sportsbet,Atlanta Hawks,16,19476,15453248,565474998,2700148033,NA
Boston Celtics v Atlanta Hawks,Boston Celtics,Atlanta Hawks,Player Blocks,Derrick White,Boston Celtics,2.5,6.25,NA,Sportsbet,Atlanta Hawks,16,19476,15453248,565474998,2700148032,NA
Boston Celtics v Atlanta Hawks,Boston Celtics,Atlanta Hawks,Player Blocks,Onyeka Okongwu,Atlanta Hawks,0.5,1.63,NA,Sportsbet,Boston Celtics,16,19476,15453248,565474996,2701054415,NA
Boston Celtics v Atlanta Hawks,Boston Celtics,Atlanta Hawks,Player Blocks,Derrick White,Boston Celtics,0.5,1.35,NA,Sportsbet,Atlanta Hawks,16,19476,15453248,565474996,2700148028,NA
Boston Celtics v Atlanta Hawks,Boston Celtics,Atlanta Hawks,Player Blocks,Neemias Queta,Boston Celtics,0.5,1.32,NA,Sportsbet,Atlanta Hawks,16,19476,15453248,565474996,2700148029,NA
Boston Celtics v Atlanta Hawks,Boston Celtics,Atlanta Hawks,Player Blocks,Onyeka Okongwu,Atlanta Hawks,1.5,4,NA,Sportsbet,Boston Celtics,16,19476,15453248,565474997,2701054416,NA
Boston Celtics v Atlanta Hawks,Boston Celtics,Atlanta Hawks,Player Blocks,Derrick White,Boston Celtics,1.5,2.7,NA,Sportsbet,Atlanta Hawks,16,19476,15453248,565474997,2700148030,NA
Boston Celtics v Atlanta Hawks,Boston Celtics,Atlanta Hawks,Player Blocks,Neemias Queta,Boston Celtics,1.5,2.5,NA,Sportsbet,Atlanta Hawks,16,19476,15453248,565474997,2700148031,NA
Oklahoma City Thunder v Chicago Bulls,Oklahoma City Thunder,Chicago Bulls,Player Blocks,Matas Buzelis,Chicago Bulls,2.5,4.5,NA,Sportsbet,Oklahoma City Thunder,16,19476,15453250,565478723,2700163412,NA
Oklahoma City Thunder v Chicago Bulls,Oklahoma City Thunder,Chicago Bulls,Player Blocks,Matas Buzelis,Chicago Bulls,0.5,1.21,NA,Sportsbet,Oklahoma City Thunder,16,19476,15453250,565478721,2700163408,NA
Oklahoma City Thunder v Chicago Bulls,Oklahoma City Thunder,Chicago Bulls,Player Blocks,Matas Buzelis,Chicago Bulls,1.5,2.05,NA,Sportsbet,Oklahoma City Thunder,16,19476,15453250,565478722,2700163410,NA
Memphis Grizzlies v Houston Rockets,Memphis Grizzlies,Houston Rockets,Player Blocks,Alperen Sengun,Houston Rockets,2.5,7,NA,Sportsbet,Memphis Grizzlies,16,19476,15453251,565476172,2700153109,NA
Memphis Grizzlies v Houston Rockets,Memphis Grizzlies,Houston Rockets,Player Blocks,Taylor Hendricks,Memphis Grizzlies,2.5,8.75,NA,Sportsbet,Houston Rockets,16,19476,15453251,565476172,2700153108,NA
Memphis Grizzlies v Houston Rockets,Memphis Grizzlies,Houston Rockets,Player Blocks,Alperen Sengun,Houston Rockets,1.5,2.85,NA,Sportsbet,Memphis Grizzlies,16,19476,15453251,565476171,2700153107,NA
Memphis Grizzlies v Houston Rockets,Memphis Grizzlies,Houston Rockets,Player Blocks,Taylor Hendricks,Memphis Grizzlies,1.5,3.3,NA,Sportsbet,Houston Rockets,16,19476,15453251,565476171,2700153106,NA
