match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_unders
Portland Trail Blazers v Milwaukee Bucks,Portland Trail Blazers,Milwaukee Bucks,Player Points,Giannis Antetokounmpo,Milwaukee Bucks,34.5,2.6,NA,Sportsbet,Portland Trail Blazers,16,19476,13302528,476478779,2295997524,NA
Portland Trail Blazers v Milwaukee Bucks,Portland Trail Blazers,Milwaukee Bucks,Player Points,Damian Lillard,Milwaukee Bucks,34.5,4.8,NA,Sportsbet,Portland Trail Blazers,16,19476,13302528,476478779,2295997526,NA
Portland Trail Blazers v Milwaukee Bucks,Portland Trail Blazers,Milwaukee Bucks,Player Points,Giannis Antetokounmpo,Milwaukee Bucks,39.5,5,NA,Sportsbet,Portland Trail Blazers,16,19476,13302528,476478780,2295997534,NA
Portland Trail Blazers v Milwaukee Bucks,Portland Trail Blazers,Milwaukee Bucks,Player Points,Damian Lillard,Milwaukee Bucks,39.5,11,NA,Sportsbet,Portland Trail Blazers,16,19476,13302528,476478780,2295997536,NA
Portland Trail Blazers v Milwaukee Bucks,Portland Trail Blazers,Milwaukee Bucks,Player Points,Brook Lopez,Milwaukee Bucks,9.5,1.35,NA,Sportsbet,Portland Trail Blazers,16,19476,13302528,476478774,2295997475,NA
Portland Trail Blazers v Milwaukee Bucks,Portland Trail Blazers,Milwaukee Bucks,Player Points,Gary Trent Jr.,Milwaukee Bucks,9.5,1.72,NA,Sportsbet,Portland Trail Blazers,16,19476,13302528,476478774,2296139417,NA
Portland Trail Blazers v Milwaukee Bucks,Portland Trail Blazers,Milwaukee Bucks,Player Points,Khris Middleton,Milwaukee Bucks,9.5,1.39,NA,Sportsbet,Portland Trail Blazers,16,19476,13302528,476478774,2295997477,NA
Portland Trail Blazers v Milwaukee Bucks,Portland Trail Blazers,Milwaukee Bucks,Player Points,Taurean Prince,Milwaukee Bucks,9.5,2.6,NA,Sportsbet,Portland Trail Blazers,16,19476,13302528,476478774,2295997473,NA
Portland Trail Blazers v Milwaukee Bucks,Portland Trail Blazers,Milwaukee Bucks,Player Points,Anfernee Simons,Portland Trail Blazers,9.5,1.03,NA,Sportsbet,Milwaukee Bucks,16,19476,13302528,476478774,2295997471,NA
Portland Trail Blazers v Milwaukee Bucks,Portland Trail Blazers,Milwaukee Bucks,Player Points,Deni Avdija,Portland Trail Blazers,9.5,1.1,NA,Sportsbet,Milwaukee Bucks,16,19476,13302528,476478774,2295997470,NA
Portland Trail Blazers v Milwaukee Bucks,Portland Trail Blazers,Milwaukee Bucks,Player Points,Jerami Grant,Portland Trail Blazers,9.5,1.21,NA,Sportsbet,Milwaukee Bucks,16,19476,13302528,476478774,2295997469,NA
Portland Trail Blazers v Milwaukee Bucks,Portland Trail Blazers,Milwaukee Bucks,Player Points,Scoot Henderson,Portland Trail Blazers,9.5,1.43,NA,Sportsbet,Milwaukee Bucks,16,19476,13302528,476478774,2296522860,NA
Portland Trail Blazers v Milwaukee Bucks,Portland Trail Blazers,Milwaukee Bucks,Player Points,Shaedon Sharpe,Portland Trail Blazers,9.5,1.26,NA,Sportsbet,Milwaukee Bucks,16,19476,13302528,476478774,2296140278,NA
Portland Trail Blazers v Milwaukee Bucks,Portland Trail Blazers,Milwaukee Bucks,Player Points,Toumani Camara,Portland Trail Blazers,9.5,1.6,NA,Sportsbet,Milwaukee Bucks,16,19476,13302528,476478774,2295997468,NA
Portland Trail Blazers v Milwaukee Bucks,Portland Trail Blazers,Milwaukee Bucks,Player Points,Donovan Clingan,Portland Trail Blazers,9.5,4.8,NA,Sportsbet,Milwaukee Bucks,16,19476,13302528,476478774,2295997472,NA
Portland Trail Blazers v Milwaukee Bucks,Portland Trail Blazers,Milwaukee Bucks,Player Points,Damian Lillard,Milwaukee Bucks,19.5,1.18,NA,Sportsbet,Portland Trail Blazers,16,19476,13302528,476478776,2295997496,NA
Portland Trail Blazers v Milwaukee Bucks,Portland Trail Blazers,Milwaukee Bucks,Player Points,Giannis Antetokounmpo,Milwaukee Bucks,19.5,1.04,NA,Sportsbet,Portland Trail Blazers,16,19476,13302528,476478776,2295997494,NA
Portland Trail Blazers v Milwaukee Bucks,Portland Trail Blazers,Milwaukee Bucks,Player Points,Khris Middleton,Milwaukee Bucks,19.5,6,NA,Sportsbet,Portland Trail Blazers,16,19476,13302528,476478776,2295997497,NA
Portland Trail Blazers v Milwaukee Bucks,Portland Trail Blazers,Milwaukee Bucks,Player Points,Brook Lopez,Milwaukee Bucks,19.5,7,NA,Sportsbet,Portland Trail Blazers,16,19476,13302528,476478776,2295997495,NA
