match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_unders
Atlanta Hawks v Brooklyn Nets,Atlanta Hawks,Brooklyn Nets,Player PRAs,Jalen Johnson,Atlanta Hawks,44.5,3,NA,Sportsbet,Brooklyn Nets,16,19476,15371053,562056762,2683528045,NA
Atlanta Hawks v Brooklyn Nets,Atlanta Hawks,Brooklyn Nets,Player PRAs,Jalen Johnson,Atlanta Hawks,49.5,5.5,NA,Sportsbet,Brooklyn Nets,16,19476,15371053,562056763,2683528052,NA
Atlanta Hawks v Brooklyn Nets,Atlanta Hawks,Brooklyn Nets,Player PRAs,Jalen Johnson,Atlanta Hawks,39.5,1.83,NA,Sportsbet,Brooklyn Nets,16,19476,15371053,562056761,2683528038,NA
Miami Heat v Milwaukee Bucks,Miami Heat,Milwaukee Bucks,Player PRAs,Giannis Antetokounmpo,Milwaukee Bucks,49.5,3.6,NA,Sportsbet,Miami Heat,16,19476,15371070,562005121,2683289787,NA
Miami Heat v Milwaukee Bucks,Miami Heat,Milwaukee Bucks,Player PRAs,Bam Adebayo,Miami Heat,49.5,5,NA,Sportsbet,Milwaukee Bucks,16,19476,15371070,562005121,2683301317,NA
Miami Heat v Milwaukee Bucks,Miami Heat,Milwaukee Bucks,Player PRAs,Giannis Antetokounmpo,Milwaukee Bucks,39.5,1.62,NA,Sportsbet,Miami Heat,16,19476,15371070,562005119,2683289783,NA
Miami Heat v Milwaukee Bucks,Miami Heat,Milwaukee Bucks,Player PRAs,Bam Adebayo,Miami Heat,39.5,2.1,NA,Sportsbet,Milwaukee Bucks,16,19476,15371070,562005119,2683301313,NA
Miami Heat v Milwaukee Bucks,Miami Heat,Milwaukee Bucks,Player PRAs,Giannis Antetokounmpo,Milwaukee Bucks,44.5,2.25,NA,Sportsbet,Miami Heat,16,19476,15371070,562005120,2683289785,NA
Miami Heat v Milwaukee Bucks,Miami Heat,Milwaukee Bucks,Player PRAs,Bam Adebayo,Miami Heat,44.5,3.2,NA,Sportsbet,Milwaukee Bucks,16,19476,15371070,562005120,2683301315,NA
Memphis Grizzlies v Dallas Mavericks,Memphis Grizzlies,Dallas Mavericks,Player PRAs,Cooper Flagg,Dallas Mavericks,44.5,5.5,NA,Sportsbet,Memphis Grizzlies,16,19476,15371124,562013545,2683339152,NA
Memphis Grizzlies v Dallas Mavericks,Memphis Grizzlies,Dallas Mavericks,Player PRAs,Cooper Flagg,Dallas Mavericks,39.5,3,NA,Sportsbet,Memphis Grizzlies,16,19476,15371124,562013544,2683339151,NA
Memphis Grizzlies v Dallas Mavericks,Memphis Grizzlies,Dallas Mavericks,Player PRAs,GG Jackson II,NA,39.5,5,NA,Sportsbet,NA,16,19476,15371124,562013544,2683325754,NA
San Antonio Spurs v Denver Nuggets,San Antonio Spurs,Denver Nuggets,Player PRAs,Nikola Joki<c4><87>,NA,39.5,1.11,NA,Sportsbet,NA,16,19476,15371125,562045874,2683467229,NA
San Antonio Spurs v Denver Nuggets,San Antonio Spurs,Denver Nuggets,Player PRAs,Jamal Murray,Denver Nuggets,39.5,3.25,NA,Sportsbet,San Antonio Spurs,16,19476,15371125,562045874,2683467230,NA
San Antonio Spurs v Denver Nuggets,San Antonio Spurs,Denver Nuggets,Player PRAs,Victor Wembanyama,San Antonio Spurs,39.5,1.83,NA,Sportsbet,Denver Nuggets,16,19476,15371125,562045874,2683466528,NA
San Antonio Spurs v Denver Nuggets,San Antonio Spurs,Denver Nuggets,Player PRAs,Nikola Joki<c4><87>,NA,54.5,2.4,NA,Sportsbet,NA,16,19476,15371125,562045877,2683467238,NA
San Antonio Spurs v Denver Nuggets,San Antonio Spurs,Denver Nuggets,Player PRAs,Nikola Joki<c4><87>,NA,59.5,3.75,NA,Sportsbet,NA,16,19476,15371125,562045878,2683467241,NA
San Antonio Spurs v Denver Nuggets,San Antonio Spurs,Denver Nuggets,Player PRAs,Nikola Joki<c4><87>,NA,49.5,1.67,NA,Sportsbet,NA,16,19476,15371125,562045876,2683467235,NA
