match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_unders
New Orleans Pelicans v Memphis Grizzlies,New Orleans Pelicans,Memphis Grizzlies,Player Rebounds,Brandon Clarke,Memphis Grizzlies,3.5,1.32,NA,Sportsbet,New Orleans Pelicans,16,19476,13159569,470983923,2273354845,NA
New Orleans Pelicans v Memphis Grizzlies,New Orleans Pelicans,Memphis Grizzlies,Player Rebounds,Desmond Bane,Memphis Grizzlies,3.5,1.29,NA,Sportsbet,New Orleans Pelicans,16,19476,13159569,470983923,2272927519,NA
New Orleans Pelicans v Memphis Grizzlies,New Orleans Pelicans,Memphis Grizzlies,Player Rebounds,Ja Morant,Memphis Grizzlies,3.5,1.37,NA,Sportsbet,New Orleans Pelicans,16,19476,13159569,470983923,2272927518,NA
New Orleans Pelicans v Memphis Grizzlies,New Orleans Pelicans,Memphis Grizzlies,Player Rebounds,Jake LaRavia,Memphis Grizzlies,3.5,1.61,NA,Sportsbet,New Orleans Pelicans,16,19476,13159569,470983923,2273278217,NA
New Orleans Pelicans v Memphis Grizzlies,New Orleans Pelicans,Memphis Grizzlies,Player Rebounds,Jaren Jackson Jr.,Memphis Grizzlies,3.5,1.11,NA,Sportsbet,New Orleans Pelicans,16,19476,13159569,470983923,2272927517,NA
New Orleans Pelicans v Memphis Grizzlies,New Orleans Pelicans,Memphis Grizzlies,Player Rebounds,Zach Edey,Memphis Grizzlies,3.5,1.02,NA,Sportsbet,New Orleans Pelicans,16,19476,13159569,470983923,2272927516,NA
New Orleans Pelicans v Memphis Grizzlies,New Orleans Pelicans,Memphis Grizzlies,Player Rebounds,Jaylen Wells,Memphis Grizzlies,3.5,2.05,NA,Sportsbet,New Orleans Pelicans,16,19476,13159569,470983923,2272927515,NA
New Orleans Pelicans v Memphis Grizzlies,New Orleans Pelicans,Memphis Grizzlies,Player Rebounds,CJ McCollum,New Orleans Pelicans,3.5,1.55,NA,Sportsbet,Memphis Grizzlies,16,19476,13159569,470983923,2272927511,NA
New Orleans Pelicans v Memphis Grizzlies,New Orleans Pelicans,Memphis Grizzlies,Player Rebounds,Dejounte Murray,New Orleans Pelicans,3.5,1.1,NA,Sportsbet,Memphis Grizzlies,16,19476,13159569,470983923,2272927514,NA
New Orleans Pelicans v Memphis Grizzlies,New Orleans Pelicans,Memphis Grizzlies,Player Rebounds,Herbert Jones,New Orleans Pelicans,3.5,1.69,NA,Sportsbet,Memphis Grizzlies,16,19476,13159569,470983923,2272927513,NA
New Orleans Pelicans v Memphis Grizzlies,New Orleans Pelicans,Memphis Grizzlies,Player Rebounds,Trey Murphy III,New Orleans Pelicans,3.5,1.33,NA,Sportsbet,Memphis Grizzlies,16,19476,13159569,470983923,2272927512,NA
New Orleans Pelicans v Memphis Grizzlies,New Orleans Pelicans,Memphis Grizzlies,Player Rebounds,Javonte Green,New Orleans Pelicans,3.5,2.4,NA,Sportsbet,Memphis Grizzlies,16,19476,13159569,470983923,2273258805,NA
